Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-18,617.0,617.0,617.0,"617,00","-3,44",50.0,30.850,30.850,617.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-02,620.0,620.0,620.0,"620,00","0,49",50.0,31.000,31.000,620.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-05,630.0,630.0,630.0,"630,00","1,61",87.0,54.810,54.810,630.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-10,630.0,630.0,630.0,"630,00","0,00",50.0,31.500,31.500,630.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-11,650.0,650.0,650.0,"650,00","3,17",216.0,140.400,140.400,650.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-25,650.0,650.0,650.0,"650,00","0,00",107.0,69.550,69.550,650.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-30,650.0,650.0,650.0,"650,00","0,00",53.0,34.450,34.450,650.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-30,650.0,650.0,650.0,"650,00","0,00",300.0,195.000,195.000,650.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-11,650.0,650.0,650.0,"650,00","0,00",20.0,13.000,13.000,650.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-13,650.0,650.0,650.0,"650,00","0,00",50.0,32.500,32.500,650.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-16,650.0,650.0,650.0,"650,00","0,00",50.0,32.500,32.500,650.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-17,650.0,650.0,650.0,"650,00","0,00",50.0,32.500,32.500,650.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-18,650.0,650.0,650.0,"650,00","0,00",30.0,19.500,19.500,650.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-24,650.0,650.0,650.0,"650,00","0,00",2.05,1.332.500,1.332.500,650.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL,642.6428571428571,642.9561088141527,647.7809523809523,BUY,BUY,BUY
2015-04-01,650.0,650.0,650.0,"650,00","0,00",100.0,65.000,65.000,650.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL,645.0,643.895294305599,648.7619047619047,BUY,BUY,BUY
2015-04-02,649.0,649.0,649.0,"649,00","-0,15",100.0,64.900,64.900,649.0,93.2111566683712,SELL,95.0,98.33333333333333,SELL,-5.0,SELL,,HOLD,75.04901772327092,HOLD,647.0714285714286,644.5759217315192,649.2952380952381,BUY,BUY,SELL
2015-04-22,650.0,650.0,650.0,"650,00","0,15",202.0,131.300,131.300,650.0,93.67367799556334,SELL,100.0,98.33333333333333,SELL,-0.0,SELL,,HOLD,80.71895424836602,SELL,648.5,645.2991321673167,649.6857142857143,BUY,BUY,BUY
2015-04-23,638.0,638.0,638.0,"638,00","-1,85",200.0,127.600,127.600,638.0,49.81465070681124,HOLD,0.0,65.0,BUY,-100.0,BUY,,HOLD,58.530805687203795,HOLD,649.0714285714286,644.3259145450078,648.2857142857142,SELL,SELL,SELL
2015-04-28,637.0,637.0,637.0,"637,00","-0,16",35.0,22.295,22.295,637.0,47.80589859569584,HOLD,0.0,33.333333333333336,BUY,-100.0,BUY,,HOLD,37.9375604963955,HOLD,648.1428571428571,643.3491259390067,646.6761904761904,SELL,SELL,SELL
2015-04-29,650.0,650.0,650.0,"650,00","2,04",135.0,87.750,87.750,650.0,66.63940212288182,HOLD,100.0,33.333333333333336,SELL,-0.0,SELL,48.152295632699015,HOLD,50.490382509882565,HOLD,648.1428571428571,644.2359091471392,646.9238095238095,BUY,BUY,BUY
2015-05-07,600.0,600.0,600.0,"600,00","-7,69",200.0,120.000,120.000,600.0,26.71360748714916,BUY,0.0,33.333333333333336,BUY,-100.0,BUY,-281.29117259552123,BUY,39.550776841896194,HOLD,644.5714285714286,638.3377879275206,640.5047619047618,SELL,SELL,SELL
2015-05-21,600.0,600.0,600.0,"600,00","0,00",350.0,210.000,210.000,600.0,26.71360748714916,BUY,0.0,33.333333333333336,BUY,-100.0,BUY,-241.31944444444508,BUY,39.550776841896194,HOLD,641.0,633.2260828705179,634.5619047619048,SELL,SELL,SELL
2015-06-03,551.0,551.0,551.0,"551,00","-8,17",200.0,110.200,110.200,551.0,15.891930360130246,BUY,0.0,0.0,BUY,-100.0,BUY,-338.7018057589068,BUY,32.987222251504036,HOLD,633.9285714285714,622.2626051544488,622.5619047619049,SELL,SELL,SELL
2015-06-11,560.0,560.0,560.0,"560,00","1,63",450.0,252.000,252.000,560.0,22.131504219776588,BUY,9.090909090909092,3.0303030303030307,BUY,-90.9090909090909,BUY,-219.02654867256635,BUY,51.42214629193981,HOLD,627.5,613.960924467189,612.7047619047619,SELL,SELL,SELL
2015-06-19,601.0,601.0,601.0,"601,00","7,32",226.0,135.826,135.826,601.0,42.909622342770255,HOLD,50.505050505050505,19.865319865319865,HOLD,-49.494949494949495,HOLD,-83.13090418353556,HOLD,57.69490745538189,HOLD,624.0,612.2328012048971,609.1714285714286,SELL,SELL,SELL
2015-06-24,615.0,615.0,615.0,"615,00","2,33",200.0,123.000,123.000,615.0,48.01097086318353,HOLD,64.64646464646465,41.41414141414142,HOLD,-35.35353535353536,HOLD,-39.61047506250807,HOLD,62.123926797069636,HOLD,621.5,612.6017610442442,607.9714285714285,SELL,BUY,BUY
2015-07-02,615.0,615.0,615.0,"615,00","0,00",80.0,49.200,49.200,615.0,48.01097086318353,HOLD,64.64646464646465,59.93265993265993,HOLD,-35.35353535353536,HOLD,-34.62189248991265,HOLD,62.123926797069636,HOLD,619.0,612.921526238345,607.1047619047619,SELL,BUY,BUY
2015-07-03,605.0,605.0,605.0,"605,00","-1,63",580.0,350.900,350.900,605.0,44.70201829155337,HOLD,54.54545454545455,61.27946127946128,HOLD,-45.45454545454545,HOLD,-53.68528436623297,HOLD,47.836536413393624,HOLD,615.7857142857143,611.865322739899,605.2380952380952,SELL,SELL,SELL
2015-07-08,605.0,605.0,605.0,"605,00","0,00",13.0,7.865,7.865,605.0,44.702018291553365,HOLD,54.54545454545455,57.91245791245791,HOLD,-45.45454545454545,HOLD,-47.80066107297216,HOLD,47.836536413393624,HOLD,612.5714285714286,610.9499463745792,603.8,SELL,SELL,BUY
2015-07-09,605.0,605.0,605.0,"605,00","0,00",50.0,30.250,30.250,605.0,44.702018291553365,HOLD,54.54545454545455,54.54545454545455,HOLD,-45.45454545454545,HOLD,-42.68214055448087,HOLD,49.9617009304723,HOLD,609.4285714285714,610.156620191302,602.7904761904762,SELL,SELL,BUY
2015-07-20,650.0,650.0,650.0,"650,00","7,44",40.0,26.000,26.000,650.0,60.141624318195866,HOLD,100.0,69.6969696969697,SELL,-0.0,SELL,73.37201805286924,HOLD,46.07475373846151,HOLD,609.4285714285714,615.4690708324617,608.1999999999999,BUY,BUY,BUY
2015-07-21,650.0,650.0,650.0,"650,00","0,00",50.0,32.500,32.500,650.0,60.141624318195866,HOLD,100.0,84.84848484848486,SELL,-0.0,SELL,73.37201805286924,HOLD,50.862438933818474,HOLD,610.2857142857143,620.0731947214668,613.6095238095237,BUY,BUY,BUY
2015-07-30,650.0,650.0,645.0,"647,62","-0,37",210.0,136.000,136.000,650.0,60.141624318195866,HOLD,100.0,100.0,SELL,-0.0,SELL,69.51272100043124,HOLD,46.54672066273869,HOLD,611.2142857142857,624.0634354252713,618.9047619047618,BUY,BUY,BUY
2015-07-31,660.0,660.0,651.0,"655,50","1,22",180.0,117.990,117.990,660.0,63.00826445744821,HOLD,100.0,100.0,SELL,-0.0,SELL,89.8106785790256,HOLD,47.73510277366476,HOLD,611.9285714285714,628.8549773685685,625.4095238095238,BUY,BUY,BUY
2015-08-10,660.0,660.0,660.0,"660,00","0,69",100.0,66.000,66.000,660.0,63.00826445744821,HOLD,100.0,100.0,SELL,-0.0,SELL,94.38530578167384,HOLD,54.696678236807614,HOLD,616.2142857142857,633.0076470527594,631.8190476190476,BUY,BUY,BUY
2015-08-11,660.0,660.0,660.0,"660,00","0,00",88.0,58.080,58.080,660.0,63.00826445744821,HOLD,100.0,100.0,SELL,-0.0,SELL,91.12474437627809,HOLD,54.696678236807614,HOLD,620.5,636.6066274457248,637.6571428571428,BUY,BUY,BUY
2015-08-14,600.0,614.0,600.0,"605,26","-8,29",133.0,80.500,80.500,600.0,40.9420291495094,HOLD,40.0,80.0,HOLD,-60.0,HOLD,-40.09394396913284,HOLD,55.96075195244291,HOLD,624.0,631.7257437862949,634.9238095238095,SELL,SELL,SELL
2015-08-17,600.0,600.0,600.0,"600,00","-0,87",67.0,40.200,40.200,600.0,40.9420291495094,HOLD,0.0,46.666666666666664,BUY,-100.0,BUY,-47.44988581578289,HOLD,43.56471750039471,HOLD,626.8571428571429,627.495644614789,631.7238095238096,SELL,SELL,SELL
2015-08-19,618.0,618.0,618.0,"618,00","3,00",100.0,61.800,61.800,618.0,47.356569369641505,HOLD,30.0,23.333333333333332,HOLD,-70.0,HOLD,0.663129973474801,HOLD,39.39841605854946,HOLD,628.0714285714286,626.2295586661504,630.5428571428571,SELL,SELL,SELL
2015-09-04,602.0,602.0,602.0,"602,00","-2,59",65.0,39.130,39.130,602.0,42.896505417839016,HOLD,3.3333333333333335,11.111111111111112,BUY,-96.66666666666667,BUY,-37.73051649826896,HOLD,29.608406352504673,HOLD,627.1428571428571,622.998950843997,627.0666666666666,SELL,SELL,SELL
2015-09-14,601.0,601.0,601.0,"601,00","-0,17",200.0,120.200,120.200,601.0,42.62629435055789,HOLD,1.6666666666666667,11.666666666666666,BUY,-98.33333333333333,BUY,-40.75856212850263,HOLD,26.183264243152948,HOLD,626.1428571428571,620.0657573981308,623.5809523809525,SELL,SELL,SELL
2015-09-21,615.0,615.0,600.0,"609,68","1,44",310.0,189.000,189.000,615.0,47.60256471852119,HOLD,25.0,10.0,HOLD,-75.0,HOLD,-16.951587415601146,HOLD,52.568183838934985,HOLD,626.8571428571429,619.3903230783801,622.0952380952381,SELL,SELL,SELL
