Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2016-10-14,161.0,161.0,161.0,"161,00","61,00",194.0,31.234,31.234,161.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-02,157.0,157.0,157.0,"157,00","-2,48",124.0,19.468,19.468,157.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-01-18,153.0,153.0,153.0,"153,00","-2,55",55.0,8.415,8.415,153.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-01-23,153.0,153.0,153.0,"153,00","0,00",17.0,2.601,2.601,153.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-07-18,157.0,157.0,157.0,"157,00","2,61",422.0,66.254,66.254,157.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-03-16,157.0,157.0,157.0,"157,00","0,00",280.0,43.96,43.96,157.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-03-10,1000.0,1000.0,1000.0,"1.000,00","536,94",20.0,20.0,20.0,1000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-03-30,1030.0,1030.0,1030.0,"1.030,00","3,00",24.0,24.72,24.72,1030.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-04-14,1000.0,1000.0,1000.0,"1.000,00","-2,91",32.0,32.0,32.0,1000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-12-13,1000.0,1000.0,1000.0,"1.000,00","0,00",266.0,266.0,266.0,1000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-02-17,1000.0,1000.0,1000.0,"1.000,00","0,00",18.0,18.0,18.0,1000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-05-02,1000.0,1000.0,1000.0,"1.000,00","0,00",18.0,18.0,18.0,1000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-05-19,1000.0,1000.0,1000.0,"1.000,00","0,00",15.0,15.0,15.0,1000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-06-01,1000.0,1000.0,1000.0,"1.000,00","0,00",49.0,49.0,49.0,1000.0,95.59133285446008,SELL,96.57924743443557,,SELL,-3.420752565564424,SELL,,HOLD,64.95139209982617,HOLD
2024-03-27,1000.0,1000.0,1000.0,"1.000,00","0,00",39.0,39.0,39.0,1000.0,95.59133285446008,SELL,96.57924743443557,,SELL,-3.420752565564424,SELL,,HOLD,64.95139209982617,HOLD
2024-10-18,1000.0,1000.0,1000.0,"1.000,00","0,00",36.0,36.0,36.0,1000.0,95.59133285446008,SELL,96.57924743443557,96.57924743443557,SELL,-3.420752565564424,SELL,,HOLD,73.30387280449702,HOLD
2024-11-07,1000.0,1000.0,1000.0,"1.000,00","0,00",126.0,126.0,126.0,1000.0,95.59133285446008,SELL,96.57924743443557,96.57924743443557,SELL,-3.420752565564424,SELL,,HOLD,77.61830822387287,HOLD
