Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2016-10-14,161.0,161.0,161.0,194.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-28,157.0,157.0,157.0,124.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-01-12,153.0,153.0,153.0,55.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-01-19,153.0,153.0,153.0,17.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-07-13,157.0,157.0,157.0,422.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-03-13,157.0,157.0,157.0,280.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-03-04,1000.0,1000.0,1000.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-03-25,1030.0,1030.0,1030.0,24.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-04-08,1000.0,1000.0,1000.0,32.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-12-09,1000.0,1000.0,1000.0,266.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-02-17,1000.0,1000.0,1000.0,18.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-04-28,1000.0,1000.0,1000.0,18.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-05-19,1000.0,1000.0,1000.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-05-26,1000.0,1000.0,1000.0,49.0,95.59133285446008,SELL,96.57924743443557,,SELL,-3.420752565564424,SELL,,HOLD,64.95139209982617,HOLD
2024-03-22,1000.0,1000.0,1000.0,39.0,95.59133285446008,SELL,96.57924743443557,,SELL,-3.420752565564424,SELL,,HOLD,64.95139209982617,HOLD
2024-10-18,1000.0,1000.0,1000.0,36.0,95.59133285446008,SELL,96.57924743443557,96.57924743443557,SELL,-3.420752565564424,SELL,,HOLD,73.30387280449702,HOLD
2024-11-01,1000.0,1000.0,1000.0,126.0,95.59133285446008,SELL,96.57924743443557,96.57924743443557,SELL,-3.420752565564424,SELL,,HOLD,77.61830822387287,HOLD
