Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-10,1500.0,1500.0,1390.0,52.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-29,1055.0,1055.0,1055.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-26,1051.0,1051.0,1051.0,11.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-02,1085.0,1085.0,1085.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-16,1085.0,1085.0,1085.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-06,1117.0,1117.0,1117.0,2.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-20,1200.0,1200.0,1150.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-11,1101.0,1101.0,1101.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-25,1100.0,1100.0,1100.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-01,1100.0,1100.0,1100.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-08,1201.0,1201.0,1201.0,61.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-20,1237.0,1237.0,1237.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-14,1500.0,1500.0,1500.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-02,1711.0,1711.0,1711.0,17.0,72.33197354861701,SELL,100.0,,SELL,-0.0,SELL,,HOLD,89.73012457307563,SELL
2015-11-16,1900.0,1900.0,1900.0,25.0,77.43874188443375,SELL,100.0,,SELL,-0.0,SELL,,HOLD,90.94339059519339,SELL
2015-12-07,1950.0,1950.0,1950.0,50.0,78.5658538143712,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,94.71106557796087,SELL
2015-12-28,2600.0,2600.0,2600.0,62.0,87.38730053717046,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,97.76046722825917,SELL
2016-01-11,2700.0,2700.0,2700.0,37.0,88.19242958930673,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,97.9895563192702,SELL
2016-01-18,2781.0,2781.0,2781.0,75.0,88.81523722720061,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,98.44534298540233,SELL
2016-02-08,2507.0,2507.0,2507.0,70.0,74.49996304413946,SELL,83.70017846519929,94.56672615506643,SELL,-16.299821534800714,SELL,121.13149856992891,SELL,82.63981501299776,SELL
2016-02-29,2500.0,2500.0,2500.0,200.0,74.17105174861815,SELL,83.28375966686497,88.99464604402142,SELL,-16.71624033313504,SELL,103.2129081370391,SELL,56.217962876924126,HOLD
2016-03-07,2500.0,2551.0,2500.0,118.0,74.17105174861815,SELL,83.28375966686497,83.42256593297641,SELL,-16.71624033313504,SELL,92.74594174113592,HOLD,63.27396629287419,HOLD
2016-11-21,2003.0,2003.0,2003.0,54.0,54.39600724855282,HOLD,53.7180249851279,73.42851477295261,HOLD,-46.2819750148721,HOLD,29.97218727555805,HOLD,60.147499391013234,HOLD
2016-11-28,2350.0,2350.0,2350.0,14.0,62.01142605841718,HOLD,72.72151898734177,69.9077678797782,HOLD,-27.27848101265823,HOLD,63.08714432370657,HOLD,60.80330878950983,HOLD
2016-12-05,2300.0,2300.0,2300.0,133.0,60.44511735062553,HOLD,68.84715025906736,65.09556474384567,HOLD,-31.15284974093264,HOLD,51.80001298746708,HOLD,51.18319653034159,HOLD
2017-01-30,2001.0,2001.0,2001.0,5.0,51.988464524902014,HOLD,39.11007025761124,60.22624650134012,HOLD,-60.88992974238876,HOLD,11.44876340259909,HOLD,48.090641928973554,HOLD
2017-02-13,2001.0,2001.0,2001.0,50.0,51.988464524902014,HOLD,27.102803738317757,45.020008084998786,HOLD,-72.89719626168224,HOLD,6.6987649152187565,HOLD,46.96393300293022,HOLD
2017-02-20,2100.0,2132.0,2100.0,30.0,54.43633963026903,HOLD,22.701475595913735,29.638116530614244,HOLD,-77.29852440408627,HOLD,16.48600253532212,HOLD,47.82543709056124,HOLD
2017-02-27,2150.0,2150.0,2150.0,20.0,55.66576555489906,HOLD,24.067388688327316,24.623889340852937,HOLD,-75.93261131167269,HOLD,15.844392949933326,HOLD,47.71379171623969,HOLD
2017-03-20,2024.0,2086.0,2024.0,63.0,51.8676713267712,HOLD,2.948717948717949,16.572527410986332,BUY,-97.05128205128206,BUY,-11.20520549256007,HOLD,42.4454333843109,HOLD
2017-04-03,2025.0,2025.0,2025.0,100.0,51.89572407210409,HOLD,3.076923076923077,10.031009904656115,BUY,-96.92307692307692,BUY,-25.637585093345468,HOLD,34.23012430753843,HOLD
2017-04-24,2085.0,2085.0,2085.0,42.0,53.64155928621559,HOLD,10.76923076923077,5.598290598290599,BUY,-89.23076923076923,BUY,-24.589240144581016,HOLD,33.855250591473364,HOLD
2017-05-15,2505.0,2505.0,2332.0,130.0,63.60022203220564,HOLD,91.63636363636364,35.16083916083917,SELL,-8.363636363636363,SELL,54.76583526570361,HOLD,37.044253827953256,HOLD
2017-05-29,2999.0,2999.0,2510.0,110.0,71.3861565078883,SELL,100.0,67.46853146853147,SELL,-0.0,SELL,138.08318569138612,SELL,47.894158598015935,HOLD
