Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-10,5301.0,5458.0,5199.0,471.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-17,5470.0,5500.0,5310.0,94.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-24,5300.0,5311.0,5300.0,336.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-01,5300.0,5300.0,5300.0,78.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-15,5120.0,5152.0,5100.0,290.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-29,5298.0,5299.0,5120.0,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-05,5301.0,5400.0,5299.0,65.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-12,5350.0,5350.0,5300.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-19,5400.0,5450.0,5350.0,197.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-26,5450.0,5450.0,5350.0,143.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-02,5450.0,5450.0,5450.0,142.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-09,5450.0,5450.0,5450.0,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-16,5450.0,5450.0,5400.0,378.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-23,5400.0,5401.0,5400.0,450.0,55.61896769159796,HOLD,75.0,,HOLD,-25.0,HOLD,,HOLD,31.961882696255287,HOLD,5360.0,5376.905348715619,5386.057142857143,BUY,BUY,BUY
2015-03-02,5400.0,5400.0,5399.0,103.0,55.61896769159796,HOLD,75.0,,HOLD,-25.0,HOLD,,HOLD,30.546283019619693,HOLD,5367.071428571428,5379.9846355535365,5391.390476190476,BUY,BUY,BUY
2015-03-09,5250.0,5350.0,5250.0,134.0,41.05394383670425,HOLD,42.857142857142854,64.28571428571429,HOLD,-57.142857142857146,HOLD,,HOLD,26.07322430673321,HOLD,5351.357142857143,5362.653350813065,5375.780952380952,SELL,SELL,SELL
2015-03-16,5399.0,5400.0,5300.0,194.0,53.95326394836138,HOLD,85.42857142857143,67.76190476190476,SELL,-14.571428571428571,SELL,,HOLD,36.34658935143171,HOLD,5358.428571428572,5367.499570704656,5382.133333333334,BUY,BUY,BUY
2015-03-23,5450.0,5450.0,5350.0,1017.0,57.39033696008132,HOLD,100.0,76.09523809523809,SELL,-0.0,SELL,,HOLD,57.719249550099946,HOLD,5369.142857142857,5378.499627944036,5394.342857142858,BUY,BUY,BUY
2015-03-30,5350.0,5450.0,5350.0,212.0,49.576252381614935,HOLD,69.6969696969697,85.04184704184705,HOLD,-30.303030303030305,HOLD,,HOLD,58.9059850886805,HOLD,5385.571428571428,5374.699677551498,5391.790476190476,SELL,SELL,SELL
2015-04-06,6402.0,6600.0,5350.0,603.0,80.1680549175095,SELL,85.33333333333333,85.01010101010101,SELL,-14.666666666666666,SELL,500.4444444444439,SELL,65.70222680623755,HOLD,5464.428571428572,5511.673053877965,5527.314285714287,BUY,BUY,BUY
2015-04-13,6240.0,6400.0,6120.0,644.0,72.83946144990657,SELL,73.33333333333333,76.12121212121212,HOLD,-26.666666666666668,HOLD,359.7043141772651,SELL,71.01338981156067,HOLD,5531.5,5608.783313360903,5630.72380952381,BUY,BUY,BUY
2015-04-20,6051.0,6229.0,6050.0,385.0,65.33535458813066,HOLD,59.333333333333336,72.66666666666667,HOLD,-40.666666666666664,HOLD,205.91855561056298,SELL,64.6178971506551,HOLD,5581.571428571428,5667.745538246116,5699.990476190476,BUY,BUY,BUY
2015-04-27,6000.0,6001.0,5900.0,312.177,63.43619073649904,HOLD,55.55555555555556,62.74074074074074,HOLD,-44.44444444444444,HOLD,126.61673667919528,SELL,58.748098044569026,HOLD,5624.428571428572,5712.046133146634,5755.780952380953,BUY,BUY,BUY
2015-05-04,6098.0,6100.0,6000.0,360.216,65.51080709182659,HOLD,62.81481481481482,59.23456790123456,HOLD,-37.18518518518518,HOLD,124.5177741112946,SELL,60.801999235457735,HOLD,5670.714285714285,5763.506648727083,5818.92380952381,BUY,BUY,BUY
2015-05-18,5520.0,5520.0,5461.0,45.0,48.15589942515495,HOLD,20.0,46.12345679012346,HOLD,-80.0,HOLD,-16.303380322507177,HOLD,59.16961681088927,HOLD,5675.714285714285,5731.039095563472,5798.828571428571,SELL,SELL,SELL
2015-06-01,5400.0,5500.0,5336.0,35.0,45.463085434482736,HOLD,11.11111111111111,31.308641975308646,BUY,-88.88888888888889,BUY,-41.055743154395614,HOLD,58.76922255376832,HOLD,5672.142857142857,5686.900549488342,5762.066666666667,SELL,SELL,SELL
2015-06-08,5400.0,5400.0,5400.0,50.0,45.463085434482736,HOLD,11.11111111111111,14.074074074074074,BUY,-88.88888888888889,BUY,-45.212309842157126,HOLD,62.76918486346257,HOLD,5668.571428571428,5648.647142889897,5725.780952380953,SELL,SELL,SELL
2015-06-15,5300.0,5301.0,5300.0,18.0,43.132069342073116,HOLD,3.7037037037037037,8.641975308641975,BUY,-96.29629629629629,BUY,-69.89594546106946,HOLD,68.90775407900205,HOLD,5661.428571428572,5602.160857171244,5676.638095238095,SELL,SELL,SELL
2015-06-22,5450.0,5450.0,5450.0,12.0,47.48189041261781,HOLD,14.814814814814815,9.876543209876543,BUY,-85.18518518518519,BUY,-32.77770708741579,HOLD,70.63369945167192,HOLD,5665.0,5581.872742881745,5648.447619047619,SELL,SELL,SELL
