Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-03-09,1000.0,1000.0,1000.0,"1.000,00","0,00",54.0,54.0,54.0,1000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-06,1000.0,1000.0,1000.0,"1.000,00","0,00",43.0,43.0,43.0,1000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-04,1000.0,1000.0,1000.0,"1.000,00","0,00",88.0,88.0,88.0,1000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-15,1000.0,1000.0,1000.0,"1.000,00","0,00",43.0,43.0,43.0,1000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-04,1000.0,1000.0,1000.0,"1.000,00","0,00",35.0,35.0,35.0,1000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-07-25,1000.0,1000.0,1000.0,"1.000,00","0,00",51.0,51.0,51.0,1000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-12-28,1500.0,1500.0,1500.0,"1.500,00","50,00",86.0,129.0,129.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-01-17,1500.0,1500.0,1500.0,"1.500,00","0,00",38.0,57.0,57.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-01-23,1500.0,1500.0,1500.0,"1.500,00","0,00",48.0,72.0,72.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-01-26,1500.0,1500.0,1500.0,"1.500,00","0,00",25.0,37.5,37.5,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-01-31,1500.0,1500.0,1500.0,"1.500,00","0,00",43.0,64.5,64.5,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-03-15,1500.0,1500.0,1500.0,"1.500,00","0,00",56.0,84.0,84.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-11-23,1500.0,1500.0,1500.0,"1.500,00","0,00",108.0,162.0,162.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-11-29,1500.0,1500.0,1500.0,"1.500,00","0,00",41.0,61.5,61.5,1500.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL
2017-12-01,1500.0,1500.0,1500.0,"1.500,00","0,00",45.0,67.5,67.5,1500.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL
2017-12-14,1500.0,1500.0,1500.0,"1.500,00","0,00",28.0,42.0,42.0,1500.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL
2019-03-07,1800.0,1800.0,1800.0,"1.800,00","20,00",75.0,135.0,135.0,1800.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL
2019-05-16,1800.0,1800.0,1800.0,"1.800,00","0,00",38.0,68.4,68.4,1800.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL
2019-08-06,1800.0,1800.0,1800.0,"1.800,00","0,00",27.0,48.6,48.6,1800.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL
2019-10-01,1800.0,1800.0,1800.0,"1.800,00","0,00",47.0,84.6,84.6,1800.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,105.6910569105691,SELL,100.0,SELL
2020-01-21,1800.0,1800.0,1800.0,"1.800,00","0,00",73.0,131.4,131.4,1800.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,103.70370370370371,SELL,100.0,SELL
2020-01-27,1800.0,1800.0,1800.0,"1.800,00","0,00",105.0,189.0,189.0,1800.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,105.4421768707483,SELL,100.0,SELL
