Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-11,101.0,101.0,101.0,"101,00","0,00",661.0,66.761,66.761,101.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-21,149.0,149.0,149.0,"149,00","47,52",10.0,1.490,1.490,149.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-28,101.0,101.0,101.0,"101,00","-32,21",667.0,67.367,67.367,101.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-26,103.0,103.0,103.0,"103,00","1,98",48.544,5.000.032,5.000.032,103.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-11,100.0,100.0,100.0,"100,00","-2,91",984.0,98.400,98.400,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-15,100.0,100.0,100.0,"100,00","0,00",200.0,20.000,20.000,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-12,49.0,49.0,49.0,"49,00","-51,00",10.0,490,490,49.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-13,49.0,49.0,49.0,"49,00","0,00",140.384,6.878.816,6.878.816,49.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-14,49.0,49.0,49.0,"49,00","0,00",12.149,595.301,595.301,49.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-08-16,99.0,99.0,99.0,"99,00","102,04",50.0,4.950,4.950,99.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-06-01,97.0,97.0,97.0,"97,00","-2,02",50.0,4.850,4.850,97.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
