Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-19,700.0,700.0,700.0,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-21,650.0,650.0,650.0,96.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-28,631.0,650.0,631.0,925.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-11,631.0,631.0,631.0,83.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-18,582.0,600.0,582.0,287.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-25,565.0,565.0,565.0,135.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-18,565.0,565.0,565.0,153.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-25,485.0,485.0,485.0,57.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-01,485.0,485.0,485.0,344.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-08,471.0,471.0,471.0,95.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-15,471.0,471.0,471.0,59.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-06,490.0,490.0,490.0,36.118,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-03,490.0,490.0,490.0,44.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-29,504.0,504.0,504.0,13.0,19.52896511448894,BUY,14.410480349344978,,BUY,-85.58951965065502,BUY,,HOLD,2.318389070231646,BUY
2015-09-02,518.0,518.0,518.0,55.0,26.638399521197982,BUY,26.256983240223462,,HOLD,-73.74301675977654,HOLD,,HOLD,4.908462751642489,BUY
2015-09-09,503.0,503.0,503.0,100.0,24.174099003469323,BUY,17.877094972067038,19.514852853878494,BUY,-82.12290502793296,BUY,,HOLD,4.964368470403187,BUY
2015-10-21,503.0,503.0,503.0,292.0,24.174099003469323,BUY,20.0,21.3780260707635,HOLD,-80.0,HOLD,,HOLD,11.153986404779602,BUY
2015-10-28,526.0,526.0,503.0,241.115,34.88598536226658,HOLD,42.63565891472868,26.837584628931907,HOLD,-57.36434108527132,HOLD,,HOLD,32.58253247782106,HOLD
2015-11-11,550.0,550.0,453.0,315.584,43.80672404292803,HOLD,86.60714285714286,49.74760059062385,SELL,-13.392857142857142,SELL,,HOLD,32.90764478652483,HOLD
2015-11-18,550.0,550.0,550.0,466.0,43.80672404292803,HOLD,86.60714285714286,71.9499815430048,SELL,-13.392857142857142,SELL,9.565991182299872,HOLD,60.273959525082624,HOLD
2015-11-25,599.0,599.0,599.0,9.0,57.57076009535426,HOLD,100.0,91.07142857142857,SELL,-0.0,SELL,84.46990361883971,HOLD,60.56916710321706,HOLD
2015-12-02,519.0,550.0,519.0,1053.0,40.24054663313481,HOLD,45.205479452054796,77.27087410306588,HOLD,-54.794520547945204,HOLD,-2.7106752770468483,HOLD,35.006818307650775,HOLD
2015-12-09,550.0,550.0,519.0,570.086,46.90973838459055,HOLD,66.43835616438356,70.54794520547945,HOLD,-33.56164383561644,HOLD,25.18477113222779,HOLD,47.80098976020408,HOLD
2015-12-16,580.0,580.0,551.0,741.3,52.44122073532607,HOLD,86.98630136986301,66.21004566210046,SELL,-13.013698630136986,SELL,97.93956993708113,HOLD,60.273486285054176,HOLD
2015-12-30,613.0,613.0,595.0,702.0,57.6662719291433,HOLD,100.0,84.47488584474887,SELL,-0.0,SELL,166.1324786324787,SELL,67.425096808022,HOLD
2016-01-20,700.0,700.0,601.0,1188.0,67.73158841641589,HOLD,100.0,95.66210045662099,SELL,-0.0,SELL,233.22053017484484,SELL,75.45754783129485,HOLD
2016-01-27,660.0,660.0,660.0,201.625,60.5977562862509,HOLD,83.80566801619433,94.60188933873144,SELL,-16.194331983805668,SELL,184.50094506432532,SELL,72.39130098611372,HOLD
2016-02-03,640.0,640.0,640.0,460.0,57.345493660816786,HOLD,75.7085020242915,86.50472334682861,HOLD,-24.291497975708502,HOLD,130.67552602436322,SELL,66.35844794945648,HOLD
2016-02-10,615.0,640.0,615.0,457.0,53.48157521961138,HOLD,65.58704453441295,75.03373819163293,HOLD,-34.412955465587046,HOLD,94.38131313131326,HOLD,61.15775128897253,HOLD
2016-02-17,640.0,640.0,640.0,5.0,56.6287122670693,HOLD,75.7085020242915,72.33468286099865,HOLD,-24.291497975708502,HOLD,100.49257105943154,SELL,62.00626734036972,HOLD
2016-02-24,601.0,601.0,601.0,170.0,50.84928517850723,HOLD,59.91902834008097,67.0715249662618,HOLD,-40.08097165991903,HOLD,46.61192668159578,HOLD,60.37099579049969,HOLD
2016-03-02,630.0,630.0,600.0,457.54499999999996,54.56274132154522,HOLD,71.65991902834008,69.09581646423753,HOLD,-28.34008097165992,HOLD,63.168984407922494,HOLD,61.93049425121592,HOLD
2016-03-09,630.0,630.0,630.0,66.0,54.56274132154522,HOLD,61.32596685082873,64.30163807308325,HOLD,-38.67403314917127,HOLD,68.30002149151089,HOLD,64.92214779225037,HOLD
2016-03-16,600.0,600.0,600.0,53.0,50.02798365569572,HOLD,44.751381215469614,59.245755698212804,HOLD,-55.248618784530386,HOLD,24.860303341316108,HOLD,61.92337223731587,HOLD
2016-03-23,600.0,600.0,600.0,811.0,50.02798365569572,HOLD,44.751381215469614,50.27624309392265,HOLD,-55.248618784530386,HOLD,20.559290655753763,HOLD,61.867608810067324,HOLD
2016-04-06,582.0,582.0,582.0,1005.0,47.29287707677186,HOLD,34.806629834254146,41.43646408839779,HOLD,-65.19337016574586,HOLD,-12.858152558038379,HOLD,61.40848478432565,HOLD
2016-04-13,595.0,595.0,590.0,500.0,49.442690354244036,HOLD,29.530201342281877,36.362737464001874,HOLD,-70.46979865771812,HOLD,-2.0057665789142662,HOLD,61.29378701207991,HOLD
2016-04-20,600.0,600.0,595.0,621.0,50.28263538593674,HOLD,15.254237288135593,26.530356154890537,BUY,-84.7457627118644,BUY,-0.1449905756124534,HOLD,60.7500606394616,HOLD
2016-05-25,600.0,600.0,599.0,1.103,50.28263538593674,HOLD,15.254237288135593,20.012891972851023,BUY,-84.7457627118644,BUY,-7.065669160432342,HOLD,55.565589923416454,HOLD
2016-07-13,600.0,600.0,600.0,300.0,50.28263538593674,HOLD,23.076923076923077,17.86179921773142,HOLD,-76.92307692307692,HOLD,-13.47708894878705,HOLD,45.134017055138,HOLD
2016-07-20,600.0,600.0,600.0,500.0,50.28263538593674,HOLD,31.03448275862069,23.121881041226455,HOLD,-68.96551724137932,HOLD,-13.633909287256905,HOLD,47.56023811576498,HOLD
2016-08-03,600.0,600.0,600.0,300.0,50.28263538593674,HOLD,31.03448275862069,28.381962864721487,HOLD,-68.96551724137932,HOLD,-25.98057762643475,HOLD,53.97982937035422,HOLD
2016-08-17,600.0,600.0,600.0,3.045,50.28263538593674,HOLD,31.03448275862069,31.03448275862069,HOLD,-68.96551724137932,HOLD,-38.83495145631075,HOLD,62.089007068278605,HOLD
2016-08-24,618.0,618.0,600.0,32.345,54.52537731069223,HOLD,75.0,45.68965517241379,HOLD,-25.0,HOLD,-6.080857340678752,HOLD,62.417912148784154,HOLD
2016-08-31,605.0,605.0,605.0,7.0,51.13159936031917,HOLD,47.916666666666664,51.31704980842911,HOLD,-52.083333333333336,HOLD,-30.88918878392574,HOLD,65.78610217127739,HOLD
2016-09-07,605.0,605.0,605.0,257.0,51.13159936031917,HOLD,47.916666666666664,56.944444444444436,HOLD,-52.083333333333336,HOLD,-24.057621293554227,HOLD,59.44751624499245,HOLD
2016-09-21,610.0,611.0,610.0,2.5,52.45172577690536,HOLD,77.77777777777777,57.87037037037036,HOLD,-22.22222222222222,HOLD,12.999071494893395,HOLD,58.358232094691374,HOLD
2016-09-28,600.0,610.0,600.0,160.0,49.567689300971914,HOLD,50.0,58.56481481481481,HOLD,-50.0,HOLD,-19.14414414414434,HOLD,55.93022172766922,HOLD
2016-10-05,600.0,600.0,600.0,162.0,49.567689300971914,HOLD,50.0,59.25925925925926,HOLD,-50.0,HOLD,-38.16793893129747,HOLD,52.64158672257584,HOLD
2016-10-12,610.0,610.0,610.0,2.0,52.590923745228764,HOLD,71.42857142857143,57.14285714285714,HOLD,-28.571428571428573,HOLD,63.8820638820639,HOLD,81.48794763464932,SELL
2016-10-19,610.0,610.0,610.0,5.0,52.590923745228764,HOLD,65.21739130434783,62.215320910973084,HOLD,-34.78260869565217,HOLD,57.021677662581986,HOLD,74.3808493199079,HOLD
2016-10-26,610.0,610.0,601.0,500.0,52.590923745228764,HOLD,57.89473684210526,64.8468998583415,HOLD,-42.10526315789474,HOLD,39.17416622551664,HOLD,28.836503975605922,HOLD
