Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-19,700.0,700.0,700.0,"700,00","-1,27",80.0,56.000,56.000,700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-22,650.0,650.0,650.0,"650,00","-7,14",96.0,62.400,62.400,650.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-30,650.0,650.0,650.0,"650,00","0,00",32.0,20.800,20.800,650.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-03,631.0,631.0,631.0,"631,00","-2,92",893.0,563.483,563.483,631.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-11,631.0,631.0,631.0,"631,00","0,00",83.0,52.373,52.373,631.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-18,600.0,600.0,600.0,"600,00","-4,91",67.0,40.200,40.200,600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-19,600.0,600.0,600.0,"600,00","0,00",120.0,72.000,72.000,600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-23,582.0,582.0,582.0,"582,00","-3,00",100.0,58.200,58.200,582.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-02,565.0,565.0,565.0,"565,00","-2,92",100.0,56.500,56.500,565.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-03,565.0,565.0,565.0,"565,00","0,00",35.0,19.775,19.775,565.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-18,565.0,565.0,565.0,"565,00","0,00",7.0,3.955,3.955,565.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-20,565.0,565.0,565.0,"565,00","0,00",55.0,31.075,31.075,565.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-24,565.0,565.0,565.0,"565,00","0,00",91.0,51.415,51.415,565.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-25,485.0,485.0,485.0,"485,00","-14,16",57.0,27.645,27.645,485.0,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,0.0,BUY,596.7142857142857,588.416802069297,570.952380952381,SELL,SELL,SELL
2015-04-03,485.0,485.0,485.0,"485,00","0,00",344.0,166.840,166.840,485.0,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,0.0,BUY,581.3571428571429,574.6278951267241,556.0571428571428,SELL,SELL,SELL
2015-04-08,471.0,471.0,471.0,"471,00","-2,89",95.0,44.745,44.745,471.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY,568.5714285714286,560.8108424431608,541.3428571428572,SELL,SELL,SELL
2015-04-16,471.0,471.0,471.0,"471,00","0,00",59.0,27.789,27.789,471.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY,555.7857142857143,548.8360634507394,528.3333333333333,SELL,SELL,SELL
2015-05-07,490.0,490.0,490.0,"490,00","4,03",1.118,547.820,547.820,490.0,13.323908367118136,BUY,11.875,3.9583333333333335,BUY,-88.125,BUY,,HOLD,0.24044296069897086,BUY,545.7142857142857,540.9912549906409,519.5619047619049,SELL,SELL,SELL
