Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-19,700.0,700.0,700.0,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-18,631.0,650.0,631.0,1104.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-17,565.0,600.0,565.0,429.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-19,471.0,565.0,471.0,701.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-18,490.0,490.0,490.0,36.118,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-18,490.0,490.0,490.0,44.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-17,504.0,504.0,504.0,13.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-16,503.0,518.0,503.0,155.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-15,543.0,543.0,453.0,748.6990000000001,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-14,525.0,599.0,519.0,2195.636,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-14,613.0,613.0,550.0,1445.75,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-01-13,640.0,700.0,601.0,1949.625,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-02-12,630.0,640.0,600.0,1055.545,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-03-13,582.0,600.0,582.0,1664.0,44.533103923182864,HOLD,52.22672064777328,,HOLD,-47.77327935222672,HOLD,,HOLD,56.16564672541461,HOLD,563.3571428571429,589.1737191068386,565.5333333333333,BUY,SELL,BUY
2016-04-12,600.0,600.0,582.0,1326.0,47.76683646425799,HOLD,59.51417004048583,,HOLD,-40.48582995951417,HOLD,,HOLD,60.74831184188746,HOLD,556.2142857142857,590.6172232259268,570.4190476190477,BUY,BUY,BUY
2016-05-12,600.0,600.0,599.0,1.103,47.76683646425799,HOLD,59.51417004048583,57.08502024291497,HOLD,-40.48582995951417,HOLD,,HOLD,67.00933825084337,HOLD,554.0,591.8682601291365,576.2571428571428,BUY,BUY,BUY
2016-07-11,600.0,600.0,600.0,1100.0,47.76683646425799,HOLD,59.51417004048583,59.51417004048583,HOLD,-40.48582995951417,HOLD,,HOLD,72.3037922225742,HOLD,556.5,592.9524921119183,582.3904761904762,BUY,BUY,BUY
2016-08-10,605.0,618.0,600.0,299.39,48.80238746365621,HOLD,61.53846153846154,60.1889338731444,HOLD,-38.46153846153846,HOLD,,HOLD,76.61561147680604,HOLD,566.0714285714286,594.558826496996,588.8571428571429,BUY,BUY,BUY
