Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-12,719.0,719.0,700.0,"713,86","2,13",111.0,79.239,79.239,719.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-13,750.0,750.0,750.0,"750,00","5,06",95.0,71.250,71.250,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-13,750.0,750.0,750.0,"750,00","5,06",95.0,71.250,71.250,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-14,772.0,772.0,693.0,"698,81","-6,83",136.0,95.038,95.038,772.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-17,768.0,768.0,768.0,"768,00","9,90",10.0,7.680,7.680,768.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-20,710.0,730.0,710.0,"713,32","-7,12",182.0,129.824,129.824,710.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-21,767.0,767.0,767.0,"767,00","7,53",20.0,15.340,15.340,767.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-24,840.0,840.0,750.0,"761,25","-0,75",160.0,121.800,121.800,840.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-25,837.0,837.0,837.0,"837,00","9,95",60.0,50.220,50.220,837.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-27,837.0,837.0,836.0,"836,20","-0,10",264.0,220.757,220.757,837.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-04,753.0,753.0,753.0,"753,00","-9,95",25.0,18.825,18.825,753.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
