Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-12,790.0,840.0,693.0,1208.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-12,749.0,749.0,690.0,368.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-11,676.0,696.0,676.0,173.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-10,601.0,656.0,601.0,442.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-12,600.0,655.0,590.0,2259.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-11,554.0,600.0,554.0,415.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-11,561.0,600.0,561.0,951.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-10,600.0,600.0,560.0,167.095,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-10,600.0,618.0,600.0,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-09,630.0,630.0,615.0,506.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-08,610.0,610.0,555.0,301.283,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-08,583.0,592.0,583.0,51.505,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-07,570.0,585.0,570.0,866.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-07,600.0,600.0,550.0,764.0,33.43438047581212,HOLD,17.24137931034483,,BUY,-82.75862068965517,BUY,,HOLD,38.33726391678382,HOLD,623.1428571428571,629.3609850737377,599.8761904761906,SELL,SELL,BUY
2016-01-06,600.0,615.0,600.0,335.0,33.434380475812105,HOLD,25.12562814070352,,HOLD,-74.87437185929649,HOLD,,HOLD,40.80947689257253,HOLD,609.5714285714286,625.446187063906,596.7904761904762,SELL,SELL,BUY
2016-02-05,615.0,615.0,585.0,260.0,37.86994147971679,HOLD,44.52054794520548,28.962518465417944,HOLD,-55.47945205479452,HOLD,,HOLD,43.097658363184294,HOLD,600.0,624.0533621220519,597.5142857142857,BUY,SELL,BUY
2016-03-06,629.0,629.0,629.0,115.0,41.769963849215166,HOLD,74.52830188679245,48.05815932423382,HOLD,-25.471698113207548,HOLD,,HOLD,45.03941629298984,HOLD,596.6428571428571,624.7129138391117,601.3809523809524,BUY,BUY,BUY
2016-04-05,611.0,611.0,611.0,233.0,38.42983650412832,HOLD,58.095238095238095,59.04802930907868,HOLD,-41.904761904761905,HOLD,,HOLD,46.32311326333074,HOLD,597.3571428571429,622.8845253272302,603.2952380952381,BUY,SELL,BUY
2016-05-05,596.0,596.0,595.0,195.325,35.85664552219204,HOLD,57.5,63.374513327343514,HOLD,-42.5,HOLD,,HOLD,63.99514753328425,HOLD,597.0714285714286,619.2999219502663,603.1142857142858,SELL,SELL,SELL
2016-06-04,561.0,579.0,561.0,65.0,30.692512772064305,HOLD,13.75,43.11507936507937,BUY,-86.25,BUY,-91.55341900095527,HOLD,68.06293099859903,HOLD,597.5714285714286,611.5265990235641,598.3047619047619,SELL,SELL,SELL
2016-07-04,620.0,620.0,602.0,185.0,45.05748854952335,HOLD,87.5,52.916666666666664,SELL,-12.5,SELL,14.248704663212433,HOLD,62.95909855116397,HOLD,601.7857142857143,612.6563858204223,601.295238095238,BUY,BUY,BUY
2016-08-03,764.0,764.0,615.0,2004.0,64.43340340353657,HOLD,100.0,67.08333333333333,SELL,-0.0,SELL,286.1297539149889,SELL,75.18984641328176,HOLD,613.5,632.8355343776993,622.9238095238095,BUY,BUY,BUY
2016-09-02,710.0,762.0,660.0,2027.0,56.40082266128785,HOLD,74.76635514018692,87.42211838006232,HOLD,-25.233644859813083,HOLD,255.25940826418574,SELL,51.38880642937536,HOLD,621.3571428571429,643.1241297940061,635.7904761904763,BUY,BUY,BUY
2016-10-02,813.0,813.0,720.0,2757.0,65.28943326770829,HOLD,100.0,91.58878504672897,SELL,-0.0,SELL,293.155357804968,SELL,64.41736198496012,HOLD,634.4285714285714,665.7742458214719,661.3428571428572,BUY,BUY,BUY
2016-11-01,937.0,1073.0,837.0,2265.0,72.54598897746767,SELL,73.9961759082218,82.92084368280291,HOLD,-26.003824091778203,HOLD,338.69118015983935,SELL,74.37351971564617,HOLD,657.7857142857143,701.9376797119423,701.6857142857143,BUY,BUY,BUY
2016-12-01,908.0,933.0,870.0,638.0,68.91723384620843,HOLD,68.45124282982792,80.81580624601656,HOLD,-31.548757170172085,HOLD,209.19302598029083,SELL,70.04232458345705,HOLD,681.0,729.41265575035,735.047619047619,BUY,BUY,BUY
2016-12-31,1101.0,1101.0,900.0,3207.0,77.11977673480122,SELL,100.0,80.81580624601656,SELL,-0.0,SELL,228.4428100431144,SELL,81.04390667844487,SELL,718.9285714285714,778.9576349836367,791.047619047619,BUY,BUY,BUY
2017-01-30,1195.0,1323.0,1101.0,1152.0,79.90169017962488,SELL,83.2020997375328,83.88444752245357,SELL,-16.79790026246719,SELL,244.60887691538767,SELL,82.4053783789663,SELL,761.4285714285714,834.4299503191519,854.5238095238096,BUY,BUY,BUY
2017-03-01,1200.0,1340.0,1200.0,732.0,80.04070318294802,SELL,82.02824133504492,88.41011369085925,SELL,-17.971758664955072,SELL,199.81975274779106,SELL,83.30694557288379,SELL,804.2857142857143,883.1726236099316,913.0,BUY,BUY,BUY
2017-03-31,1080.0,1100.0,1026.0,317.0,67.90195047280042,HOLD,66.62387676508344,77.28473927922039,HOLD,-33.37612323491656,HOLD,109.96136620459944,SELL,81.31846717024663,SELL,837.5,909.4162737952742,949.7619047619047,BUY,BUY,BUY
2017-04-30,1389.0,1389.0,972.0,2533.0,77.40460627334073,SELL,100.0,82.88403936670944,SELL,-0.0,SELL,144.38133352240354,SELL,84.66206106647435,SELL,891.7857142857143,973.360770622571,1023.2952380952381,BUY,BUY,BUY
2017-05-30,1930.0,1930.0,1460.0,3417.184,85.49904129147892,SELL,100.0,88.87462558836114,SELL,-0.0,SELL,234.44690209239067,SELL,89.18705193101108,SELL,986.0,1100.9126678728949,1161.7238095238095,BUY,BUY,BUY
2017-06-29,2250.0,2300.0,1921.0,3944.119,88.19326594117254,SELL,97.12478435882691,99.04159478627564,SELL,-2.875215641173088,SELL,252.1980770680428,SELL,92.42703711033829,SELL,1104.142857142857,1254.124312156509,1330.2571428571428,BUY,BUY,BUY
2017-07-29,2100.0,2200.0,2100.0,1968.0,80.63079059966302,SELL,88.22143698468787,95.11540711450493,SELL,-11.778563015312132,SELL,197.0983784541029,SELL,81.66988731725024,SELL,1214.0714285714287,1366.9077372023078,1463.0380952380951,BUY,BUY,BUY
2017-08-28,1998.0,2100.0,1940.0,1732.0,75.86676890646885,SELL,82.07715133531157,89.14112422627545,SELL,-17.922848664688427,SELL,147.20592289213562,SELL,74.34083227534923,HOLD,1312.5,1451.053372242,1567.5619047619048,BUY,BUY,BUY
2017-09-27,1900.0,2000.0,1900.0,265.0,71.49593076804463,SELL,75.60975609756098,81.96944813918681,HOLD,-24.390243902439025,HOLD,115.41556921275969,SELL,72.38272069723288,HOLD,1393.642857142857,1510.9129226097334,1645.895238095238,BUY,BUY,BUY
2017-10-27,1905.0,2000.0,1871.0,774.762,71.5858755608678,SELL,75.0,77.56230247762419,HOLD,-25.0,HOLD,100.34526095467687,SELL,72.2859470612338,HOLD,1479.0,1563.457866261769,1714.0761904761905,BUY,BUY,BUY
2017-11-26,1900.0,1998.0,1851.0,1822.758,71.34343356429044,SELL,72.65892002734108,74.42289204163403,HOLD,-27.34107997265892,HOLD,86.7938139681681,HOLD,64.40053055919876,HOLD,1556.642857142857,1608.3301507601998,1770.2095238095237,BUY,BUY,BUY
2017-12-26,2000.0,2000.0,1900.0,1253.665,73.2916710961211,SELL,79.02097902097903,75.55996634944005,HOLD,-20.97902097902098,HOLD,81.94232690184533,HOLD,64.68242226871894,HOLD,1632.5714285714287,1660.5527973255066,1829.3238095238096,BUY,BUY,BUY
2018-01-25,2050.0,2110.0,1999.0,5492.002,74.23487312369113,SELL,82.14285714285714,77.94091873039241,SELL,-17.857142857142858,SELL,82.85283728975244,HOLD,73.28701481073735,HOLD,1714.142857142857,1712.479091015439,1884.9809523809524,BUY,BUY,BUY
2018-02-24,2050.0,2230.0,2003.0,2496.888,74.23487312369113,SELL,81.17469879518072,80.77951165300563,SELL,-18.825301204819276,SELL,79.57755775577562,HOLD,74.26004751846995,HOLD,1781.9285714285713,1757.4818788800471,1929.7619047619048,BUY,BUY,BUY
2018-03-26,2111.0,2111.0,2000.0,3415.0,75.46102327484425,SELL,85.76807228915662,83.02854274239816,SELL,-14.231927710843374,SELL,70.21770011953541,HOLD,64.6114019678482,HOLD,1847.357142857143,1804.6176283627076,1973.638095238095,BUY,BUY,BUY
2018-04-25,2360.0,2430.0,2099.0,3146.0,79.70646812837448,SELL,95.19890260631001,87.38055789688245,SELL,-4.801097393689986,SELL,93.86494601552205,HOLD,68.07274466635444,HOLD,1930.2142857142858,1878.66861124768,2041.9904761904763,BUY,BUY,BUY
2018-05-25,2650.0,2650.0,2250.0,5289.0,83.32488724154068,SELL,100.0,93.65565829848889,SELL,-0.0,SELL,119.315496837893,SELL,73.85363793310756,HOLD,2042.357142857143,1981.5127964146561,2137.961904761905,BUY,BUY,BUY
2018-06-24,2425.0,2650.0,2352.0,4641.0,72.52069307629932,SELL,81.09243697478992,92.09711319369997,SELL,-18.907563025210084,SELL,108.7546000387371,SELL,63.00220614603493,HOLD,2116.3571428571427,2040.6444235593688,2188.9809523809527,BUY,BUY,BUY
2018-07-24,2390.0,2450.0,2201.0,2012.0,70.9789311710097,SELL,67.459324155194,82.85058704332796,HOLD,-32.54067584480601,HOLD,86.02835073423306,HOLD,56.82729985568921,HOLD,2149.214285714286,2087.2251670847863,2225.4666666666667,BUY,BUY,BUY
2018-08-23,2300.0,2480.0,2260.0,2845.0,67.03253949934373,HOLD,56.195244055068834,68.24900172835092,HOLD,-43.804755944931166,HOLD,84.86238532110085,HOLD,47.79376187738642,HOLD,2152.785714285714,2115.595144806815,2245.5714285714284,BUY,BUY,BUY
2018-09-22,2300.0,2400.0,2261.0,3703.6279999999997,67.03253949934373,HOLD,56.195244055068834,59.949937421777214,HOLD,-43.804755944931166,HOLD,75.15591634095765,HOLD,45.38066178881131,HOLD,2167.0714285714284,2140.182458832573,2265.2,BUY,BUY,BUY
2018-10-22,2301.0,2626.0,2301.0,1152.025,67.05614276178244,HOLD,56.32040050062578,56.23696287025448,HOLD,-43.67959949937422,HOLD,91.86944641666136,HOLD,48.96868223600946,HOLD,2188.714285714286,2161.6247976548966,2283.057142857143,BUY,BUY,BUY
2018-11-21,2117.0,2300.0,2117.0,100.0,58.72487406824169,HOLD,33.29161451814768,48.60241969128077,HOLD,-66.70838548185232,HOLD,22.01318027210898,HOLD,49.136298270156544,HOLD,2204.214285714286,2155.6748246342436,2273.495238095238,SELL,SELL,SELL
2018-12-21,2145.0,2163.0,2037.0,1738.445,59.548503872401184,HOLD,36.79599499374218,42.13600333750521,HOLD,-63.20400500625782,HOLD,-14.794496950663863,HOLD,47.91940471299976,HOLD,2221.3571428571427,2154.251514683011,2265.6000000000004,SELL,SELL,SELL
2019-01-20,2220.0,2250.0,2143.0,1351.0,61.75021606982358,HOLD,42.666666666666664,37.584758726185505,HOLD,-57.333333333333336,HOLD,13.31503786146259,HOLD,51.59577406394794,HOLD,2244.214285714286,2163.017979391943,2265.4190476190474,SELL,BUY,SELL
2019-02-19,2300.0,2371.0,2200.0,2544.0,64.0009804773821,HOLD,46.236559139784944,41.899740266731264,HOLD,-53.763440860215056,HOLD,46.29025124781504,HOLD,53.38203246481441,HOLD,2265.6428571428573,2181.2822488063507,2272.8571428571427,BUY,BUY,BUY
2019-03-21,2251.0,2350.0,2251.0,1887.0,61.609644849553604,HOLD,38.61538461538461,42.50620347394541,HOLD,-61.38461538461539,HOLD,39.740671770466925,HOLD,44.39781474478157,HOLD,2280.0,2190.577948965504,2270.904761904762,SELL,BUY,SELL
2019-04-20,2250.0,2300.0,2230.0,868.0,61.559093270651815,HOLD,38.46153846153846,41.10449407223601,HOLD,-61.53846153846154,HOLD,25.712849242260948,HOLD,39.72402927933893,HOLD,2294.285714285714,2198.500889103437,2266.904761904762,SELL,BUY,SELL
2019-05-20,2130.0,2290.0,2130.0,1046.0,55.65742175475223,HOLD,15.171288743882545,30.74940394026854,BUY,-84.82871125611746,BUY,-13.869299482839464,HOLD,42.23081917490311,HOLD,2295.6428571428573,2189.367437222979,2245.0,SELL,SELL,SELL
2019-06-19,2100.0,2200.0,2067.0,1665.0,54.25698604549854,HOLD,10.277324632952691,21.303383946124566,BUY,-89.7226753670473,BUY,-50.70102311481618,HOLD,34.40052880583667,HOLD,2277.0714285714284,2177.451778926582,2218.914285714286,SELL,SELL,SELL
2019-07-19,2250.0,2341.0,2070.0,2769.0,59.715038801467735,HOLD,34.74714518760196,20.065252854812396,HOLD,-65.25285481239804,HOLD,-10.02141327623137,HOLD,27.193399239793578,HOLD,2248.5,2187.1248750697046,2215.304761904762,BUY,BUY,BUY
2019-08-18,2200.0,2297.0,2111.0,946.0,57.26233320973874,HOLD,27.67402376910017,24.232831196551604,HOLD,-72.32597623089983,HOLD,-29.866073791752832,HOLD,31.77821495418526,HOLD,2232.4285714285716,2188.841558393744,2208.8380952380953,SELL,BUY,SELL
2019-09-17,2310.0,2355.0,2180.0,1850.0,61.0524230976184,HOLD,46.34974533106961,36.25697142925725,HOLD,-53.65025466893039,HOLD,14.318063055216994,HOLD,39.70112165507544,HOLD,2226.714285714286,2204.996017274578,2219.1809523809525,BUY,BUY,BUY
2019-10-17,2350.0,2350.0,2150.0,898.0,62.359630704976645,HOLD,53.140916808149406,42.3882286361064,HOLD,-46.859083191850594,HOLD,9.725872598687296,HOLD,47.37358617119415,HOLD,2230.285714285714,2224.329881637968,2235.6190476190477,BUY,BUY,BUY
2019-11-16,2390.0,2390.0,2250.0,1318.0,63.67268331229856,HOLD,59.9320882852292,53.140916808149406,HOLD,-40.0679117147708,HOLD,50.08234449558693,HOLD,59.98879195927332,HOLD,2236.714285714286,2246.4192307529056,2256.9142857142856,BUY,BUY,BUY
2019-12-16,2500.0,2500.0,2210.0,1429.894,67.07426643077963,HOLD,100.0,71.0243350311262,SELL,-0.0,SELL,89.56045035663078,HOLD,60.56594844801883,HOLD,2250.9285714285716,2280.2299999858515,2292.019047619048,BUY,BUY,BUY
2020-01-15,2240.0,2570.0,2240.0,552.0,54.164272739781126,HOLD,38.08630393996248,66.00613074173056,HOLD,-61.91369606003752,HOLD,60.29206016089528,HOLD,59.17191117022731,HOLD,2259.714285714286,2274.865999987738,2290.5619047619043,SELL,SELL,SELL
2020-02-14,2000.0,2300.0,1950.0,1979.7069999999999,45.465219855763785,HOLD,8.064516129032258,48.716940022998244,BUY,-91.93548387096774,BUY,-151.52933168843325,BUY,58.61251060238689,HOLD,2249.3571428571427,2238.217199989373,2255.9333333333334,SELL,SELL,SELL
2020-03-15,1800.0,2000.0,1550.0,1934.252,39.73771596003746,HOLD,24.50980392156863,23.553541330187787,HOLD,-75.49019607843137,HOLD,-297.9827248392529,BUY,51.8064249451373,HOLD,2219.3571428571427,2179.78823999079,2196.019047619048,SELL,SELL,SELL
2020-04-14,2015.0,2015.0,1800.0,1467.0,47.407807107945736,HOLD,45.588235294117645,26.054185114906176,HOLD,-54.411764705882355,HOLD,-163.1758034026464,BUY,48.60808091771156,HOLD,2199.0,2157.8164746586845,2168.7714285714287,SELL,SELL,SELL
2020-05-14,2015.0,2089.0,1980.0,2426.158,47.407807107945736,HOLD,45.588235294117645,38.56209150326797,HOLD,-54.411764705882355,HOLD,-98.72968068265159,HOLD,58.78104456189244,HOLD,2182.1428571428573,2138.7742780375265,2144.238095238095,SELL,SELL,SELL
