Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-20,22850.0,22850.0,22850.0,"22.850,00","1,56",10.0,228.500,228.500,22850.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-22,19000.0,19000.0,19000.0,"19.000,00","-16,85",1.0,19.000,19.000,19000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-11,18500.0,18500.0,18500.0,"18.500,00","-2,63",11.0,203.500,203.500,18500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-09,18000.0,18000.0,18000.0,"18.000,00","-2,70",6.0,108.000,108.000,18000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-10,17499.0,17499.0,17499.0,"17.499,00","-2,78",34.0,594.966,594.966,17499.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-13,17498.0,17498.0,17498.0,"17.498,00","-0,01",3.0,52.494,52.494,17498.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-30,17000.0,17000.0,17000.0,"17.000,00","-2,85",18.0,306.000,306.000,17000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-31,17000.0,17000.0,17000.0,"17.000,00","0,00",28.0,476.000,476.000,17000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-02,17000.0,17000.0,17000.0,"17.000,00","0,00",3.0,51.000,51.000,17000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-03,17000.0,17000.0,17000.0,"17.000,00","0,00",12.0,204.000,204.000,17000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-15,17510.0,17510.0,17510.0,"17.510,00","3,00",15.0,262.650,262.650,17510.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-16,18000.0,18000.0,18000.0,"18.000,00","2,80",22.0,396.000,396.000,18000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-22,18000.0,18000.0,18000.0,"18.000,00","0,00",2.0,36.000,36.000,18000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-28,21600.0,21600.0,21600.0,"21.600,00","20,00",1.0,21.600,21.600,21600.0,63.05723612742241,HOLD,78.63247863247864,,HOLD,-21.367521367521366,HOLD,,HOLD,34.63224400649625,HOLD
2015-05-20,21000.0,21000.0,21000.0,"21.000,00","-2,78",27.0,567.000,567.000,21000.0,57.746989633399146,HOLD,86.95652173913044,,SELL,-13.043478260869565,SELL,,HOLD,26.874498757511233,HOLD
2015-05-21,21500.0,21500.0,21500.0,"21.500,00","2,38",20.0,430.000,430.000,21500.0,60.71591848755672,HOLD,97.82608695652173,87.80502910937695,SELL,-2.1739130434782608,SELL,,HOLD,37.73523983672138,HOLD
2015-06-02,21000.0,21000.0,21000.0,"21.000,00","-2,33",9.0,189.000,189.000,21000.0,56.444716465156745,HOLD,86.95652173913044,90.57971014492755,SELL,-13.043478260869565,SELL,,HOLD,37.92213026563424,HOLD
2015-09-07,19010.0,19010.0,19010.0,"19.010,00","-9,48",3.0,57.030,57.030,19010.0,43.36832418876517,HOLD,43.69565217391305,76.15942028985508,HOLD,-56.30434782608695,HOLD,,HOLD,38.59403352405848,HOLD
