Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-12-23,3900.0,3900.0,3900.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-10,2350.0,2350.0,2350.0,36.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-15,2280.0,2280.0,2280.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-07-18,14000.0,14000.0,14000.0,52.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-07-25,14000.0,14000.0,14000.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-02-06,13580.0,13580.0,13580.0,4.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-03-06,14250.0,14250.0,14250.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-04-10,14250.0,14250.0,14250.0,12.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-04-17,14640.0,14640.0,14640.0,32.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-09-04,14640.0,14640.0,14640.0,84.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-10-02,14640.0,14640.0,14640.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-12-11,14640.0,14640.0,14640.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-02-05,14640.0,14640.0,14640.0,28.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-07-30,14640.0,14640.0,14640.0,32.0,87.41811793358619,SELL,100.0,,SELL,-0.0,SELL,,HOLD,88.51077206500523,SELL,11889.285714285714,12202.837800037838,13779.333333333334,BUY,BUY,BUY
2020-02-25,14640.0,14640.0,14640.0,136.0,87.41811793358619,SELL,100.0,,SELL,-0.0,SELL,,HOLD,88.51077206500523,SELL,12656.42857142857,12527.792760032793,14146.095238095239,BUY,BUY,BUY
2020-11-10,11000.0,11000.0,11000.0,90.0,54.97638968840133,HOLD,70.55016181229773,90.18338727076592,HOLD,-29.449838187702266,HOLD,,HOLD,53.25893308816736,HOLD,13274.285714285714,12324.087058695088,13925.238095238095,SELL,SELL,SELL
2021-05-04,11000.0,11000.0,11000.0,120.0,54.97638968840133,HOLD,0.0,56.850053937432584,BUY,-100.0,BUY,,HOLD,53.68971863151593,HOLD,13897.142857142857,12147.542117535742,13622.0,SELL,SELL,SELL
2021-06-22,11000.0,11000.0,11000.0,62.0,54.97638968840133,HOLD,0.0,23.516720604099245,BUY,-100.0,BUY,,HOLD,31.61193150191545,HOLD,13682.857142857143,11994.53650186431,13235.714285714284,SELL,SELL,SELL
2021-08-17,10000.0,10000.0,10000.0,116.0,48.766590078792206,HOLD,0.0,0.0,BUY,-100.0,BUY,,HOLD,17.9650546137958,BUY,13397.142857142857,11728.598301615735,12744.666666666666,SELL,SELL,SELL
2021-12-28,10000.0,10000.0,10000.0,248.0,48.766590078792206,HOLD,0.0,0.0,BUY,-100.0,BUY,-35.39317676862061,HOLD,18.33571995609121,BUY,13141.42857142857,11498.11852806697,12291.714285714288,SELL,SELL,SELL
2023-04-11,7838.0,7838.0,7838.0,80.0,38.0032480299892,HOLD,0.0,0.0,BUY,-100.0,BUY,-91.07740032455595,HOLD,14.43466686386158,BUY,12683.42857142857,11010.102724324708,11584.590476190479,SELL,SELL,SELL
2023-06-27,7838.0,7838.0,7838.0,116.0,38.0032480299892,HOLD,0.0,0.0,BUY,-100.0,BUY,-109.3316799241851,BUY,14.43466686386158,BUY,12225.42857142857,10587.155694414747,10938.533333333333,SELL,SELL,SELL
