Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2018-01-30,126.0,126.0,126.0,1.172,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-05-08,126.0,126.0,126.0,1.052,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-03-16,309.0,309.0,309.0,1.391,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-12-07,309.0,309.0,309.0,1.196,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-12-14,309.0,309.0,309.0,101.725,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-04-25,309.0,309.0,309.0,2.477,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-06-06,309.0,309.0,309.0,923.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-06-27,309.0,309.0,309.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-08-08,309.0,309.0,309.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2024-06-11,309.0,309.0,309.0,297.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
