Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-01-13,945.0,945.0,945.0,"945,00","0,00",114.0,107.730,107.730,945.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-08,945.0,945.0,945.0,"945,00","0,00",101.0,95.445,95.445,945.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-30,945.0,945.0,945.0,"945,00","0,00",143.0,135.135,135.135,945.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-16,945.0,945.0,945.0,"945,00","0,00",47.0,44.415,44.415,945.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-03-29,810.0,810.0,810.0,"810,00","-14,29",1.855,1.502.550,1.502.550,810.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-05-19,945.0,945.0,945.0,"945,00","16,67",96.0,90.720,90.720,945.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-04-06,945.0,945.0,945.0,"945,00","0,00",205.0,193.725,193.725,945.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-08-15,945.0,945.0,945.0,"945,00","0,00",149.0,140.805,140.805,945.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-11-29,945.0,945.0,945.0,"945,00","0,00",176.0,166.320,166.320,945.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-06-12,945.0,945.0,945.0,"945,00","0,00",79.0,74.655,74.655,945.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-04-11,945.0,945.0,945.0,"945,00","0,00",105.0,99.225,99.225,945.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-06-25,973.0,973.0,973.0,"973,00","2,96",810.0,788.130,788.130,973.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-03-04,1002.0,1002.0,1002.0,"1.002,00","2,98",1.165,1.167.330,1.167.330,1002.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
