Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-17,90.0,90.0,90.0,218.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-17,90.0,90.0,90.0,250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-13,60.0,60.0,60.0,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-13,59.0,59.0,59.0,1.126,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-12,60.0,60.0,60.0,2.1,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-12,60.0,60.0,60.0,110.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-11,60.0,60.0,60.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-10,60.0,60.0,60.0,10.456,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-03-11,200.0,200.0,120.0,700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-07-09,190.0,190.0,131.0,430.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-08-08,199.0,199.0,195.0,944.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-07,168.0,168.0,168.0,151.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-06,121.0,166.0,121.0,289.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-12-06,157.0,159.0,157.0,317.06600000000003,60.52242984778837,HOLD,69.50354609929079,,HOLD,-30.49645390070922,HOLD,,HOLD,68.06607392725594,HOLD
2017-02-04,279.0,279.0,157.0,1657.0,74.79860434039733,SELL,100.0,,SELL,-0.0,SELL,,HOLD,81.75989770129931,SELL
2017-03-06,160.0,288.0,160.0,945.0,54.20705375997772,HOLD,44.10480349344978,71.20278319758019,HOLD,-55.89519650655022,HOLD,,HOLD,67.68429053622216,HOLD
2017-04-05,170.0,170.0,160.0,390.0,55.32018068196303,HOLD,48.47161572052402,64.19213973799127,HOLD,-51.52838427947598,HOLD,,HOLD,65.61978748493362,HOLD
2017-05-05,165.0,165.0,165.0,368.0,54.605459173704794,HOLD,46.05263157894737,46.209683597640385,HOLD,-53.94736842105263,HOLD,,HOLD,62.32535433483697,HOLD
2017-06-04,150.0,150.0,150.0,1024.0,52.41751794346938,HOLD,39.473684210526315,44.66597716999923,HOLD,-60.526315789473685,HOLD,,HOLD,55.2910152545504,HOLD
2017-07-04,200.0,200.0,154.0,183.0,58.40090262100145,HOLD,61.40350877192982,48.9766081871345,HOLD,-38.59649122807018,HOLD,66.82883113557801,HOLD,56.37379242407512,HOLD
2017-08-03,260.0,260.0,260.0,150.0,64.2159729932648,HOLD,87.71929824561404,62.86549707602339,SELL,-12.280701754385966,SELL,146.21463374687795,SELL,57.55995741088581,HOLD
2017-09-02,143.0,143.0,143.0,100.0,49.64299427286824,HOLD,13.69047619047619,54.27109440267335,BUY,-86.30952380952381,BUY,-0.8046276965901282,HOLD,56.9917834621029,HOLD
2017-10-02,150.0,152.0,150.0,374.0,50.368695430608426,HOLD,17.365269461077844,39.59168129905602,BUY,-82.63473053892216,BUY,3.654891139914536,HOLD,54.971955683259466,HOLD
2017-11-01,155.0,155.0,155.0,1580.0,50.91285012672164,HOLD,20.35928143712575,17.13834236289326,HOLD,-79.64071856287426,HOLD,3.383396600099045,HOLD,64.65053845058172,HOLD
2017-12-01,155.0,155.0,151.0,1060.0,50.91285012672164,HOLD,20.35928143712575,19.36127744510978,HOLD,-79.64071856287426,HOLD,-7.547648495227226,HOLD,53.46860134235213,HOLD
2017-12-31,218.0,218.0,160.0,1987.0,57.69137930251424,HOLD,58.08383233532934,32.93413173652694,HOLD,-41.91616766467066,HOLD,72.14640854755103,HOLD,63.84437306685024,HOLD
2018-01-30,205.0,230.0,199.0,1337.0,55.973711233673235,HOLD,42.758620689655174,40.40057815403676,HOLD,-57.241379310344826,HOLD,90.23941068139968,HOLD,69.77885632725437,HOLD
