Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-17,90.0,90.0,90.0,"90,00","0,00",218.0,19.62,19.620,90.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-24,90.0,90.0,90.0,"90,00","0,00",250.0,22.5,22.500,90.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-02,60.0,60.0,60.0,"60,00","-33,33",500.0,30.0,30.000,60.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-02,59.0,59.0,59.0,"59,00","-1,67",1.126,66.434,66.434,59.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-03,60.0,60.0,60.0,"60,00","1,69",2.1,126.0,126.000,60.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-25,60.0,60.0,60.0,"60,00","0,00",100.0,6.0,6.000,60.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-30,60.0,60.0,60.0,"60,00","0,00",10.0,600.0,600,60.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-01-28,60.0,60.0,60.0,"60,00","0,00",100.0,6.0,6.000,60.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-03-01,60.0,60.0,60.0,"60,00","0,00",10.456,627.36,627.360,60.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-03-28,120.0,120.0,120.0,"120,00","100,00",200.0,24.0,24.000,120.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-03-29,200.0,200.0,200.0,"200,00","66,67",500.0,100.0,100.000,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-07-18,131.0,131.0,131.0,"131,00","-34,50",400.0,52.4,1.166.400,131.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-07-19,190.0,190.0,190.0,"190,00","45,04",30.0,5.7,5.700,190.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-08-12,195.0,195.0,195.0,"195,00","2,63",444.0,86.58,86.580,195.0,69.75809983525531,HOLD,96.45390070921985,,SELL,-3.5460992907801416,SELL,,HOLD,72.40748071131912,HOLD,102.5,122.15250943222685,123.40952380952382,BUY,BUY,BUY
2016-08-15,199.0,199.0,199.0,"199,00","2,05",500.0,99.5,99.500,199.0,70.28655708593251,SELL,99.29078014184397,,SELL,-0.7092198581560284,SELL,,HOLD,79.2991615479097,HOLD,110.28571428571429,132.39884150792994,136.27619047619046,BUY,BUY,BUY
2016-11-02,168.0,168.0,168.0,"168,00","-15,58",151.0,25.368,25.368,168.0,61.340449338745586,HOLD,77.30496453900709,91.01654846335697,HOLD,-22.69503546099291,HOLD,,HOLD,74.55177147432666,HOLD,115.85714285714286,137.14566264020596,143.9714285714286,BUY,BUY,BUY
2016-11-09,166.0,166.0,166.0,"166,00","-1,19",104.0,17.264,17.264,166.0,60.80275176840239,HOLD,75.88652482269504,84.16075650118204,HOLD,-24.113475177304963,HOLD,,HOLD,76.86194451128476,HOLD,123.42857142857143,140.99290762151182,150.65714285714287,BUY,BUY,BUY
2016-11-14,166.0,166.0,166.0,"166,00","0,00",100.0,16.6,16.600,166.0,60.80275176840239,HOLD,75.71428571428571,76.30192502532928,HOLD,-24.285714285714285,HOLD,,HOLD,76.87437034297145,HOLD,131.07142857142858,144.32718660531026,156.33333333333331,BUY,BUY,BUY
2016-12-02,121.0,121.0,121.0,"121,00","-27,11",85.0,10.285,10.285,121.0,49.483803404218264,HOLD,43.57142857142857,65.05741303613644,HOLD,-56.42857142857143,HOLD,,HOLD,74.98984794477282,HOLD,135.42857142857142,141.21689505793557,154.9904761904762,SELL,SELL,SELL
2016-12-19,159.0,159.0,159.0,"159,00","31,40",100.0,15.9,15.900,159.0,56.797651933061154,HOLD,70.71428571428571,63.333333333333336,HOLD,-29.285714285714285,HOLD,52.3224043715847,HOLD,75.89983455263994,HOLD,142.5,143.5879757168775,158.13333333333333,BUY,BUY,BUY
2016-12-20,158.0,158.0,158.0,"158,00","-0,63",2.066,326.428,326.428,158.0,56.565555503125715,HOLD,70.0,61.42857142857142,HOLD,-30.0,HOLD,46.02851323828921,HOLD,75.84318121644286,HOLD,149.5,145.5095789546272,160.20000000000002,BUY,BUY,SELL
2016-12-21,157.0,157.0,157.0,"157,00","-0,63",215.0,33.755,33.755,157.0,56.31771755373525,HOLD,69.28571428571429,70.0,HOLD,-30.714285714285715,HOLD,40.44759264962529,HOLD,70.40865815235335,HOLD,156.42857142857142,147.04163509401025,161.20000000000002,BUY,BUY,SELL
2017-02-07,157.0,157.0,157.0,"157,00","0,00",205.0,32.185,32.185,157.0,56.31771755373525,HOLD,46.25,61.845238095238095,HOLD,-53.75,HOLD,35.82046262054961,HOLD,70.40865815235335,HOLD,163.35714285714286,148.36941708147555,161.27619047619046,SELL,BUY,SELL
