Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-27,1840.0,2300.0,1840.0,197.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-26,1720.0,1840.0,1710.0,257.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-25,1711.0,1800.0,1711.0,92.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-27,1750.0,1800.0,1750.0,230.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-26,1745.0,1802.0,1745.0,175.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-26,1750.0,1750.0,1710.0,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-25,1710.0,1711.0,1710.0,160.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-24,1680.0,1680.0,1680.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-23,1699.0,1699.0,1650.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-23,1600.0,1600.0,1600.0,616.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-21,1601.0,1601.0,1600.0,251.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-20,1700.0,1700.0,1700.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-03-21,1700.0,1800.0,1700.0,55.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-07-19,1700.0,1700.0,1600.0,96.0,41.15146280270843,HOLD,14.285714285714286,,BUY,-85.71428571428571,BUY,,HOLD,27.352179341104673,HOLD
2016-08-18,1799.0,1800.0,1799.0,55.0,56.846512414304954,HOLD,82.91666666666667,,SELL,-17.083333333333332,SELL,,HOLD,29.273537660238574,HOLD
2016-09-17,1530.0,1745.0,1530.0,205.0,31.928696332324776,HOLD,0.0,32.40079365079365,BUY,-100.0,BUY,,HOLD,30.26951962470251,HOLD
