Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-27,2290.0,2290.0,2290.0,"2.290,00","-2,97",19.0,43.510,43.510,2290.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-02,2300.0,2300.0,2300.0,"2.300,00","0,44",170.0,391.000,391.000,2300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-23,1840.0,1840.0,1840.0,"1.840,00","-20,00",8.0,14.720,14.720,1840.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-26,1840.0,1840.0,1840.0,"1.840,00","0,00",6.0,11.040,11.040,1840.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-05,1785.0,1785.0,1785.0,"1.785,00","-2,99",33.0,58.905,58.905,1785.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-10,1732.0,1732.0,1732.0,"1.732,00","-2,97",8.0,13.856,13.856,1732.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-11,1732.0,1732.0,1732.0,"1.732,00","0,00",21.0,36.372,36.372,1732.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-12,1732.0,1732.0,1732.0,"1.732,00","0,00",135.0,233.820,233.820,1732.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-17,1710.0,1710.0,1710.0,"1.710,00","-1,27",14.0,23.940,23.940,1710.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-24,1720.0,1720.0,1720.0,"1.720,00","0,58",40.0,68.800,68.800,1720.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-12,1800.0,1800.0,1800.0,"1.800,00","4,65",5.0,9.000,9.000,1800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-16,1746.0,1746.0,1746.0,"1.746,00","-3,00",55.0,96.030,96.030,1746.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-19,1711.0,1711.0,1711.0,"1.711,00","-2,00",30.0,51.330,51.330,1711.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-23,1711.0,1711.0,1711.0,"1.711,00","0,00",2.0,3.422,3.422,1711.0,17.541997866074496,BUY,0.1694915254237288,,BUY,-99.83050847457628,BUY,,HOLD,64.43268859412217,HOLD,1832.0714285714287,1840.553507415469,1758.152380952381,SELL,SELL,SELL
2015-04-08,1750.0,1750.0,1750.0,"1.750,00","2,28",20.0,35.000,35.000,1750.0,24.864681328356355,BUY,6.779661016949152,,BUY,-93.22033898305085,BUY,,HOLD,66.0651130830692,HOLD,1793.5,1828.47970642674,1747.209523809524,SELL,SELL,BUY
