Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-12-16,2000.0,2000.0,2000.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-12-25,1800.0,1800.0,1800.0,262.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-01-24,1800.0,1800.0,1800.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-05-23,1800.0,1800.0,1800.0,19.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-06-22,1800.0,1800.0,1800.0,968.402,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-07-22,1800.0,1800.0,1800.0,968.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-08-21,1800.0,1800.0,1800.0,1.491,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-09-20,1801.0,1801.0,1800.0,1182.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-10-20,1981.0,1981.0,1981.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-11-19,2250.0,2250.0,2179.0,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-12-19,2317.0,2317.0,2317.0,183.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-07-17,2317.0,2317.0,2317.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-04-13,2200.0,2200.0,2200.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-05-08,2266.0,2266.0,2266.0,1.189,69.96544355710219,HOLD,90.13539651837525,,SELL,-9.864603481624759,SELL,,HOLD,83.65041376675825,SELL
2024-07-31,2199.0,2199.0,2199.0,403.0,62.83035595744562,HOLD,77.17601547388782,,HOLD,-22.823984526112184,HOLD,,HOLD,65.89179705574699,HOLD
