Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-12-16,2000.0,2000.0,2000.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-12-25,1800.0,1800.0,1800.0,262.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-01-24,1800.0,1800.0,1800.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-05-23,1800.0,1800.0,1800.0,19.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-06-22,1800.0,1800.0,1800.0,968.402,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-07-22,1800.0,1800.0,1800.0,968.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-08-21,1800.0,1800.0,1800.0,1.491,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-09-20,1801.0,1801.0,1800.0,1182.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-10-20,1981.0,1981.0,1981.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-11-19,2250.0,2250.0,2179.0,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-12-19,2317.0,2317.0,2317.0,183.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-07-17,2317.0,2317.0,2317.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-04-13,2200.0,2200.0,2200.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2023-05-08,2266.0,2266.0,2266.0,1.189,69.96544355710219,HOLD,90.13539651837525,,SELL,-9.864603481624759,SELL,,HOLD,83.65041376675825,SELL,1995.142857142857,2081.836500345692,2085.2571428571428,BUY,BUY,BUY
2024-07-31,2199.0,2199.0,2199.0,403.0,62.83035595744562,HOLD,77.17601547388782,,HOLD,-22.823984526112184,HOLD,,HOLD,65.89179705574699,HOLD,2009.357142857143,2097.4583002995996,2112.4380952380952,BUY,BUY,BUY
2024-10-29,3000.0,6050.0,3000.0,16.0,83.92997610773938,SELL,28.235294117647058,65.18223536997004,HOLD,-71.76470588235294,HOLD,,HOLD,74.72280660202256,HOLD,2095.0714285714284,2217.7971935929863,2244.5238095238096,BUY,BUY,BUY
