Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-13,305.0,305.0,305.0,1162.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-27,450.0,450.0,450.0,180.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-04,410.0,410.0,409.0,783.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-18,357.0,357.0,357.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-22,367.0,367.0,367.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-29,367.0,367.0,367.0,971.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-12,367.0,367.0,367.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-19,375.0,375.0,375.0,5.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-09,310.0,310.0,310.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-25,250.0,250.0,250.0,576.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-13,265.0,265.0,265.0,1.467,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-01,300.0,300.0,300.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-22,299.0,300.0,299.0,776.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-29,270.0,299.0,270.0,51.167,40.82834689383904,HOLD,10.0,,BUY,-90.0,BUY,,HOLD,13.596750457311984,BUY,335.14285714285717,311.7885079312505,313.7238095238095,SELL,SELL,SELL
2015-11-05,290.0,290.0,290.0,300.0,45.13474816245077,HOLD,20.0,,HOLD,-80.0,HOLD,,HOLD,21.20898514194215,HOLD,334.07142857142856,308.8833735404171,307.70476190476194,SELL,SELL,SELL
2015-11-19,345.0,345.0,290.0,114.0,54.86329587519115,HOLD,59.375,29.791666666666668,HOLD,-40.625,HOLD,,HOLD,17.55554844342818,BUY,326.57142857142856,313.69892373502813,309.1619047619048,BUY,BUY,BUY
2015-12-24,345.0,345.0,345.0,10.0,54.863295875191156,HOLD,76.0,51.791666666666664,HOLD,-24.0,HOLD,,HOLD,26.999209953209657,HOLD,321.92857142857144,317.87240057035774,311.6190476190476,BUY,BUY,BUY
2015-12-31,345.0,345.0,345.0,50.0,54.86329587519115,HOLD,76.0,70.45833333333333,HOLD,-24.0,HOLD,,HOLD,28.630896637341536,HOLD,321.07142857142856,321.4894138276434,314.6952380952381,BUY,BUY,BUY
2016-03-03,340.0,340.0,311.0,140.0,53.78052384358449,HOLD,72.0,74.66666666666667,HOLD,-28.0,HOLD,,HOLD,25.478749814977434,HOLD,319.14285714285717,323.9574919839576,317.2190476190476,BUY,BUY,BUY
2016-03-10,338.0,339.0,338.0,71.0,53.327158567576205,HOLD,70.4,72.8,HOLD,-29.6,HOLD,7.814088598402251,HOLD,28.22512127988601,HOLD,317.07142857142856,325.8298263860966,319.7333333333333,BUY,BUY,BUY
2016-03-17,335.0,335.0,335.0,30.0,52.61072902198625,HOLD,68.0,70.13333333333334,HOLD,-32.0,HOLD,-0.6349206349206761,HOLD,27.79654037504551,HOLD,314.7857142857143,327.05251620128377,322.12380952380954,BUY,BUY,BUY
2016-03-31,300.0,325.0,300.0,752.265,45.01284020780329,HOLD,52.63157894736842,63.67719298245614,HOLD,-47.36842105263158,HOLD,-40.83862596462475,HOLD,20.416268338115188,HOLD,309.42857142857144,323.44551404111263,320.15238095238095,SELL,SELL,SELL
2016-04-28,299.0,299.0,299.0,500.0,44.81370588904883,HOLD,51.578947368421055,57.40350877192983,HOLD,-48.421052631578945,HOLD,-52.17263867516662,HOLD,18.02193222374862,BUY,308.64285714285717,320.1861121689643,318.7619047619048,SELL,SELL,SELL
2016-05-05,300.0,300.0,300.0,70.0,45.07538040948001,HOLD,43.75,49.32017543859649,HOLD,-56.25,HOLD,-44.5564892623716,HOLD,22.88615763370524,HOLD,312.2142857142857,317.49463054643576,317.6095238095238,SELL,SELL,SELL
2016-05-12,299.0,299.0,299.0,200.0,44.846376840351695,HOLD,38.666666666666664,44.66520467836258,HOLD,-61.333333333333336,HOLD,-41.4813057318543,HOLD,21.409078921996084,HOLD,314.64285714285717,315.028679806911,315.8476190476191,SELL,SELL,SELL
2016-05-19,300.0,300.0,300.0,1.157,45.14649475416514,HOLD,40.0,40.80555555555555,HOLD,-60.0,HOLD,-34.032996458495276,HOLD,18.868238940163806,BUY,314.64285714285717,313.0248558326562,313.8952380952381,SELL,SELL,SELL
2016-05-26,300.0,301.0,300.0,460.0,45.14649475416514,HOLD,40.0,39.55555555555555,HOLD,-60.0,HOLD,-27.81041911476704,HOLD,37.81127881805119,HOLD,314.7142857142857,311.28820838830205,311.9428571428572,SELL,SELL,SELL
2016-06-02,300.0,300.0,300.0,100.0,45.14649475416514,HOLD,18.181818181818183,32.72727272727273,BUY,-81.81818181818181,BUY,-21.198318149965015,HOLD,37.103958290191215,HOLD,316.85714285714283,309.7831139365285,309.98095238095243,SELL,SELL,SELL
