Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-24,1300.0,1300.0,1300.0,"1.300,00","0,00",100.0,130.000,130.000,1300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-20,1300.0,1300.0,1300.0,"1.300,00","0,00",30.0,39.000,39.000,1300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-27,1300.0,1300.0,1300.0,"1.300,00","0,00",10.0,13.000,13.000,1300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-30,1300.0,1300.0,1300.0,"1.300,00","0,00",65.0,84.500,84.500,1300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-27,1147.0,1147.0,1147.0,"1.147,00","-11,77",50.0,57.350,57.350,1147.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-24,1150.0,1150.0,1150.0,"1.150,00","0,26",201.0,231.150,231.150,1150.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-02,1499.0,1499.0,1499.0,"1.499,00","30,35",5.0,7.495,7.495,1499.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-18,1499.0,1499.0,1499.0,"1.499,00","0,00",500.0,749.500,749.500,1499.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-06-02,1300.0,1300.0,1300.0,"1.300,00","-13,28",50.0,65.000,65.000,1300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-09-05,1205.0,1205.0,1205.0,"1.205,00","-7,31",60.0,72.300,72.300,1205.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-09-06,1200.0,1200.0,1200.0,"1.200,00","-0,41",127.0,152.400,152.400,1200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-20,1200.0,1200.0,1200.0,"1.200,00","0,00",31.0,37.200,37.200,1200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-14,1330.0,1330.0,1330.0,"1.330,00","10,83",50.0,66.500,66.500,1330.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-15,1201.0,1201.0,1201.0,"1.201,00","-9,70",150.0,180.150,180.150,1201.0,44.035652524548595,HOLD,15.340909090909092,,BUY,-84.6590909090909,BUY,,HOLD,36.660879803446896,HOLD
2016-11-16,1330.0,1330.0,1330.0,"1.330,00","10,74",270.0,359.100,359.100,1330.0,52.78522601273061,HOLD,51.98863636363637,,HOLD,-48.01136363636363,HOLD,,HOLD,55.75120966557415,HOLD
2016-11-17,1500.0,1500.0,1500.0,"1.500,00","12,78",25.0,37.500,37.500,1500.0,61.3589298695419,HOLD,100.0,55.77651515151515,SELL,-0.0,SELL,,HOLD,57.10141625540606,HOLD
2016-11-18,1650.0,1650.0,1650.0,"1.650,00","10,00",50.0,82.500,82.500,1650.0,67.04529801294834,HOLD,100.0,83.99621212121212,SELL,-0.0,SELL,,HOLD,59.8000678640736,HOLD
2016-12-01,1650.0,1650.0,1650.0,"1.650,00","0,00",117.0,193.050,193.050,1650.0,67.04529801294834,HOLD,100.0,100.0,SELL,-0.0,SELL,,HOLD,59.8000678640736,HOLD
2016-12-02,1330.0,1330.0,1330.0,"1.330,00","-19,39",292.0,388.360,388.360,1330.0,49.15004528645442,HOLD,36.0,78.66666666666667,HOLD,-64.0,HOLD,,HOLD,47.748340137172704,HOLD
2016-12-22,1463.0,1463.0,1463.0,"1.463,00","10,00",22.0,32.186,32.186,1463.0,54.57672622890613,HOLD,58.44444444444444,64.81481481481481,HOLD,-41.55555555555556,HOLD,66.56706507304114,HOLD,40.54621746862294,HOLD
