Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-01-26,485.0,485.0,400.0,223.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-09,425.0,427.0,425.0,131.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-02,425.0,425.0,425.0,331.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-09,501.0,501.0,500.0,502.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-16,750.0,750.0,599.0,821.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-30,500.0,500.0,500.0,521.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-06,506.0,506.0,501.0,547.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-20,517.0,517.0,511.0,259.48,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-27,518.0,518.0,518.0,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-04,489.0,510.0,489.0,592.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-11,505.0,505.0,504.0,127.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-18,525.0,526.0,520.0,786.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-25,526.0,526.0,522.0,420.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-01,531.0,532.0,525.0,175.0,53.40112227099733,HOLD,37.42857142857143,,HOLD,-62.57142857142857,HOLD,,HOLD,73.92154922935481,HOLD,514.5,514.7006280312088,521.152380952381,BUY,BUY,BUY
2015-06-08,530.0,530.0,530.0,50.0,53.25619075002789,HOLD,32.30769230769231,,HOLD,-67.6923076923077,HOLD,,HOLD,74.15947320537278,HOLD,517.7142857142857,516.7405442937143,523.2190476190476,BUY,BUY,BUY
2015-06-29,515.0,515.0,515.0,330.0,51.019407909720066,HOLD,27.692307692307693,32.476190476190474,HOLD,-72.3076923076923,HOLD,,HOLD,71.35436081979186,HOLD,524.1428571428571,516.508471721219,522.8571428571428,SELL,SELL,SELL
2015-10-26,400.0,400.0,400.0,77.0,37.882714179847206,HOLD,0.0,20.0,BUY,-100.0,BUY,,HOLD,74.04952738349493,HOLD,522.3571428571429,500.97400882505656,506.30476190476185,SELL,SELL,SELL
2015-11-02,400.0,400.0,400.0,226.0,37.882714179847206,HOLD,0.0,9.230769230769232,BUY,-100.0,BUY,,HOLD,71.59533707407009,HOLD,515.1428571428571,487.51080764838235,489.99047619047616,SELL,SELL,SELL
2015-11-09,400.0,400.0,400.0,75.0,37.882714179847206,HOLD,0.0,0.0,BUY,-100.0,BUY,,HOLD,63.76286707313217,HOLD,490.14285714285717,475.8426999619314,474.6380952380952,SELL,SELL,SELL
2015-11-30,400.0,400.0,400.0,110.0,37.882714179847206,HOLD,0.0,0.0,BUY,-100.0,BUY,-115.21963403377316,BUY,72.87598342770514,HOLD,483.0,465.7303399670072,462.6190476190476,SELL,SELL,SELL
2015-12-21,380.0,380.0,380.0,132.0,35.73061612722593,HOLD,0.0,0.0,BUY,-100.0,BUY,-124.18979763495135,BUY,65.90138451617702,HOLD,474.0,454.2996279714062,448.8857142857143,SELL,SELL,SELL
2016-01-04,383.0,383.0,383.0,238.0,36.31504779025611,HOLD,1.9736842105263157,0.6578947368421052,BUY,-98.02631578947368,BUY,-112.53500806246285,BUY,64.96959762853783,HOLD,464.42857142857144,444.79301090855205,436.752380952381,SELL,SELL,SELL
2016-01-11,380.0,380.0,380.0,95.0,35.96286464943593,HOLD,0.0,0.6578947368421052,BUY,-100.0,BUY,-108.0206985769728,BUY,60.95169820253614,HOLD,454.57142857142856,436.1539427874118,425.4952380952381,SELL,SELL,SELL
2016-01-25,391.0,391.0,391.0,85.0,38.32469847109134,HOLD,7.2368421052631575,3.070175438596491,BUY,-92.76315789473684,BUY,-84.08664791750373,HOLD,76.60092598405168,HOLD,447.57142857142856,430.13341708242353,417.01904761904757,SELL,SELL,SELL
2016-02-08,380.0,380.0,380.0,95.0,36.86061868265947,HOLD,0.0,2.4122807017543857,BUY,-100.0,BUY,-85.40333369490557,HOLD,73.0425890550125,HOLD,438.64285714285717,423.44896147143373,408.0095238095239,SELL,SELL,SELL
2016-02-15,380.0,380.0,380.0,50.0,36.86061868265947,HOLD,0.0,2.4122807017543857,BUY,-100.0,BUY,-76.561403508772,HOLD,58.943691531090735,HOLD,428.2857142857143,417.6557666085759,400.1904761904762,SELL,SELL,SELL
2016-02-22,350.0,350.0,350.0,200.0,32.886820369257805,HOLD,0.0,0.0,BUY,-100.0,BUY,-97.27589943095055,HOLD,38.25164393681963,HOLD,415.7142857142857,408.63499772743245,389.752380952381,SELL,SELL,SELL
2016-03-07,360.0,360.0,360.0,93.0,35.38730663975973,HOLD,5.555555555555555,1.8518518518518519,BUY,-94.44444444444444,BUY,-80.08568269762304,HOLD,31.92652893005632,HOLD,403.5,402.1503313637748,382.32380952380953,SELL,SELL,SELL
2016-03-28,354.0,360.0,354.0,215.0,34.55541135931678,HOLD,2.4242424242424243,2.6599326599326596,BUY,-97.57575757575758,BUY,-78.77972184836248,HOLD,25.15764462908693,HOLD,390.92857142857144,395.7302871819382,375.72380952380945,SELL,SELL,SELL
2016-04-04,351.0,351.0,351.0,20.0,34.123465839519085,HOLD,2.0,3.3265993265993266,BUY,-98.0,BUY,-79.34731934731934,HOLD,33.98035683152206,HOLD,379.2142857142857,389.7662488910131,370.40000000000003,SELL,SELL,SELL
2016-05-09,361.0,361.0,361.0,80.0,36.952537492816774,HOLD,22.0,8.808080808080808,HOLD,-78.0,HOLD,-65.2499494029548,HOLD,40.36341315281551,HOLD,376.42857142857144,385.93074903887805,367.97142857142853,SELL,SELL,SELL
2016-05-23,380.0,380.0,380.0,60.0,42.04515693029869,HOLD,60.0,28.0,HOLD,-40.0,HOLD,-39.178043230944276,HOLD,43.16423911722479,HOLD,375.0,385.139982500361,368.44761904761907,BUY,SELL,BUY
2016-05-30,397.0,397.0,396.0,138.0,46.2301294089039,HOLD,94.0,58.666666666666664,SELL,-6.0,SELL,-8.058838508665415,HOLD,48.92347221168104,HOLD,374.7857142857143,386.72131816697953,371.3809523809524,BUY,BUY,BUY
2016-06-13,397.0,397.0,397.0,70.0,46.2301294089039,HOLD,100.0,84.66666666666667,SELL,-0.0,SELL,5.823103556814543,HOLD,51.422449687411415,HOLD,374.57142857142856,388.0918090780489,374.34285714285716,BUY,BUY,BUY
2016-07-04,400.0,400.0,400.0,480.0,47.013220168086605,HOLD,100.0,98.0,SELL,-0.0,SELL,38.471842683384146,HOLD,68.19560491886187,HOLD,376.0,389.6795678676424,377.7333333333333,BUY,BUY,BUY
2016-07-11,401.0,413.0,401.0,28.203,47.28879495570026,HOLD,80.95238095238095,93.65079365079366,SELL,-19.047619047619047,SELL,101.65912518853683,SELL,64.1711768052045,HOLD,377.2857142857143,391.1889588186234,381.0666666666666,BUY,BUY,BUY
2016-07-18,397.0,397.0,397.0,7.0,46.25257361506875,HOLD,74.60317460317461,85.18518518518518,HOLD,-25.396825396825395,HOLD,66.81904761904765,HOLD,67.75411442772685,HOLD,378.5,391.9637643094736,383.6952380952381,BUY,BUY,BUY
2016-07-25,408.0,408.0,408.0,80.0,49.52795986809466,HOLD,92.06349206349206,82.53968253968254,SELL,-7.936507936507937,SELL,112.1987393400073,SELL,67.72193297078354,HOLD,379.7142857142857,394.1019290682105,387.62857142857143,BUY,BUY,BUY
2016-09-05,420.0,420.0,420.0,50.0,52.90004539510447,HOLD,100.0,88.8888888888889,SELL,-0.0,SELL,150.32340631593496,SELL,73.09561804337379,HOLD,382.57142857142856,397.55500519244913,393.0,BUY,BUY,BUY
2016-09-12,408.0,408.0,408.0,20.0,49.34934676059692,HOLD,82.85714285714286,91.64021164021165,SELL,-17.142857142857142,SELL,96.21923711409619,HOLD,72.08338382467315,HOLD,384.57142857142856,398.94767116678923,396.39047619047614,BUY,BUY,BUY
2016-10-24,601.0,601.0,420.0,431.0,76.57847344787231,SELL,100.0,94.28571428571429,SELL,-0.0,SELL,408.30640170528756,SELL,87.43829659780121,SELL,402.5,425.887981677884,425.247619047619,BUY,BUY,BUY
2016-10-31,601.0,601.0,601.0,30.0,76.57847344787231,SELL,100.0,94.28571428571429,SELL,-0.0,SELL,362.45687944561473,SELL,87.17489974923588,SELL,419.7142857142857,449.23625078749944,451.7142857142857,BUY,BUY,BUY
2016-11-07,701.0,701.0,701.0,149.0,82.29723335789963,SELL,100.0,100.0,SELL,-0.0,SELL,320.6295032233598,SELL,97.651612629831,SELL,444.5,482.80475068249956,489.2190476190476,BUY,BUY,BUY
2016-11-14,700.0,951.0,700.0,538.0,82.08140122065589,SELL,57.45762711864407,85.81920903954801,HOLD,-42.54237288135593,HOLD,263.9218387286038,SELL,99.07243960505158,SELL,469.42857142857144,511.7641172581663,523.2857142857143,BUY,BUY,BUY
2016-11-21,701.0,701.0,701.0,440.0,82.13186673941745,SELL,56.21716287215411,71.22492999693273,HOLD,-43.78283712784589,HOLD,155.82812376355145,SELL,78.1080853983245,HOLD,493.7142857142857,536.9955682904108,554.1619047619048,BUY,BUY,BUY
2016-11-28,700.0,700.0,700.0,82.0,81.88351234813872,SELL,54.77477477477478,56.14985492185766,HOLD,-45.22522522522522,HOLD,127.069065905121,SELL,74.77191372157735,HOLD,516.5714285714286,558.729492518356,581.6666666666667,BUY,BUY,BUY
2016-12-12,700.0,700.0,700.0,353.0,81.88351234813872,SELL,54.69314079422383,55.228359480384235,HOLD,-45.30685920577617,HOLD,107.80181579718078,SELL,73.81206299246321,HOLD,538.2142857142857,577.5655601825752,606.1238095238095,BUY,BUY,BUY
2016-12-19,700.0,700.0,700.0,62.0,81.88351234813872,SELL,54.69314079422383,54.72035212107414,HOLD,-45.30685920577617,HOLD,93.72592449922958,HOLD,73.2962704409068,HOLD,559.8571428571429,593.8901521582318,627.6952380952381,BUY,BUY,BUY
2016-12-26,700.0,700.0,700.0,66.0,81.88351234813874,SELL,54.69314079422383,54.69314079422383,HOLD,-45.30685920577617,HOLD,83.05348513391765,HOLD,69.09013146093534,HOLD,581.2857142857143,608.0381318704675,646.3809523809524,BUY,BUY,BUY
2017-01-02,700.0,700.0,700.0,200.0,81.88351234813872,SELL,54.69314079422383,54.69314079422383,HOLD,-45.30685920577617,HOLD,74.73143390938814,HOLD,68.79775212043016,HOLD,602.6428571428571,620.2997142877385,662.2095238095238,BUY,BUY,BUY
2017-01-09,750.0,750.0,750.0,193.0,85.1382963197993,SELL,62.98342541436464,57.456569000937435,HOLD,-37.01657458563536,HOLD,88.08505720559339,HOLD,72.28621669066305,HOLD,627.8571428571429,637.59308571604,681.8571428571428,BUY,BUY,BUY
2017-01-16,800.0,800.0,750.0,154.0,87.54757382311473,SELL,72.19152854511971,63.289364917902724,HOLD,-27.808471454880294,HOLD,94.03790597748109,HOLD,73.98265092671153,HOLD,655.8571428571429,659.2473409539014,704.8095238095237,BUY,BUY,BUY
2017-01-23,800.0,800.0,800.0,205.0,87.54757382311473,SELL,72.19152854511971,69.12216083486801,HOLD,-27.808471454880294,HOLD,93.8266397988034,HOLD,76.33663727587032,HOLD,683.0,678.0143621600479,724.0285714285714,BUY,BUY,BUY
2017-02-06,824.0,824.0,800.0,429.0,88.57833542887772,SELL,76.08286252354048,73.48863987125996,HOLD,-23.91713747645951,HOLD,93.90980939098095,HOLD,80.96968400194271,SELL,712.7142857142857,697.4791138720415,742.8285714285714,BUY,BUY,BUY
