Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2016-11-02,3239.0,3239.0,3239.0,"3.239,00","2,99",97.0,314.183,314.183,3239.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-08,3142.0,3142.0,3142.0,"3.142,00","-2,99",3.0,9.426,9.426,3142.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-11-14,2800.0,2800.0,2800.0,"2.800,00","-10,88",1.0,2.8,33.448.800,2800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-03-14,2716.0,2716.0,2716.0,"2.716,00","-3,00",31.0,84.196,84.196,2716.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-04-05,2797.0,2797.0,2797.0,"2.797,00","2,98",116.0,324.452,324.452,2797.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-05-22,3000.0,3000.0,3000.0,"3.000,00","7,26",29.0,87.0,87.000,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-06-05,2911.0,2911.0,2911.0,"2.911,00","-2,97",5.0,14.555,14.555,2911.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-09-04,3276.0,3276.0,3276.0,"3.276,00","12,54",36.0,117.936,117.936,3276.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-02-06,2851.0,2851.0,2851.0,"2.851,00","-12,97",1.0,2.851,1.962.851,2851.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-03-21,3010.0,3010.0,3010.0,"3.010,00","5,58",1.0,3.01,3.010,3010.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-11-26,3000.0,3000.0,3000.0,"3.000,00","-0,33",40.0,120.0,120.000,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-11-27,3000.0,3000.0,3000.0,"3.000,00","0,00",15.0,45.0,45.000,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-12-17,3090.0,3090.0,3090.0,"3.090,00","3,00",42.0,129.78,129.780,3090.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-12-23,3182.0,3182.0,3182.0,"3.182,00","2,98",40.0,127.28,127.280,3182.0,53.78428939227319,HOLD,83.21428571428571,,SELL,-16.785714285714285,SELL,,HOLD,77.1493013683369,HOLD,3001.0,3055.491108131107,3017.4666666666662,BUY,BUY,BUY
2020-12-29,3301.0,3301.0,3301.0,"3.301,00","3,74",18.0,59.418,59.418,3301.0,58.02893593305212,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,78.40333091962346,HOLD,3005.4285714285716,3088.2256270469593,3057.4666666666667,BUY,BUY,BUY
2021-03-09,3301.0,3301.0,3301.0,"3.301,00","0,00",100.0,330.1,330.100,3301.0,58.02893593305212,HOLD,100.0,94.40476190476191,SELL,-0.0,SELL,,HOLD,79.09190349564605,HOLD,3016.785714285714,3116.5955434406983,3096.8761904761905,BUY,BUY,BUY
2021-09-09,2900.0,2900.0,2900.0,"2.900,00","-12,15",115.0,333.5,333.500,2900.0,42.70170007745322,HOLD,31.45299145299145,77.15099715099714,HOLD,-68.54700854700855,HOLD,,HOLD,60.462200974659154,HOLD,3023.9285714285716,3087.716137648605,3081.3047619047616,SELL,SELL,SELL
2023-12-27,2987.0,2987.0,2987.0,"2.987,00","3,00",20.0,59.74,59.740,2987.0,46.03222949307072,HOLD,37.698412698412696,56.38380138380139,HOLD,-62.301587301587304,HOLD,,HOLD,65.8645530843292,HOLD,3043.285714285714,3074.287319295458,3076.3809523809523,SELL,SELL,SELL
2024-03-20,3076.0,3076.0,3076.0,"3.076,00","2,98",21.0,64.596,64.596,3076.0,49.28014679467646,HOLD,50.0,39.71713471713472,HOLD,-50.0,HOLD,,HOLD,57.94227921540888,HOLD,3063.214285714286,3074.5156767227304,3080.742857142857,BUY,BUY,SELL
2024-03-22,3168.0,3168.0,3168.0,"3.168,00","2,99",20.0,63.36,63.360,3168.0,52.46484239500462,HOLD,70.44444444444444,52.714285714285715,HOLD,-29.555555555555557,HOLD,60.5344545991591,HOLD,57.03514332689188,HOLD,3075.214285714286,3086.9802531596997,3094.714285714286,BUY,BUY,BUY
2024-03-27,3168.0,3168.0,3168.0,"3.168,00","0,00",20.0,63.36,63.360,3168.0,52.46484239500462,HOLD,70.44444444444444,63.629629629629626,HOLD,-29.555555555555557,HOLD,63.91389246082764,HOLD,57.80275199242514,HOLD,3093.5714285714284,3097.78288607174,3107.085714285714,BUY,BUY,BUY
