Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2016-11-02,3239.0,3239.0,3239.0,97.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-07,3142.0,3142.0,3142.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-11-08,2800.0,2800.0,2800.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-03-14,2716.0,2716.0,2716.0,31.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-04-04,2797.0,2797.0,2797.0,116.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-05-16,3000.0,3000.0,3000.0,29.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-05-30,2911.0,2911.0,2911.0,5.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-29,3276.0,3276.0,3276.0,36.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-02-06,2851.0,2851.0,2851.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-03-20,3010.0,3010.0,3010.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-11-25,3000.0,3000.0,3000.0,55.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-12-16,3090.0,3090.0,3090.0,42.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-12-23,3301.0,3301.0,3182.0,58.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-03-03,3301.0,3301.0,3301.0,100.0,57.100607672646966,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,80.90563574149868,SELL,3031.0,3104.753330353329,3069.7428571428563,BUY,BUY,BUY
2021-09-08,2900.0,2900.0,2900.0,115.0,43.37839976268851,HOLD,31.45299145299145,,HOLD,-68.54700854700855,HOLD,,HOLD,65.86350113076976,HOLD,3006.785714285714,3077.4528863062187,3052.2761904761905,SELL,SELL,SELL
2023-12-27,2987.0,2987.0,2987.0,20.0,46.38863013163826,HOLD,46.324786324786324,59.25925925925926,HOLD,-53.675213675213676,HOLD,,HOLD,67.30603488790781,HOLD,2995.714285714286,3065.3925014653896,3049.638095238095,SELL,SELL,SELL
2024-03-20,3168.0,3168.0,3076.0,41.0,52.09479484322929,HOLD,77.26495726495726,51.680911680911684,HOLD,-22.735042735042736,HOLD,,HOLD,69.53654688442303,HOLD,3022.0,3079.0735012700043,3072.609523809524,BUY,BUY,BUY
2024-03-27,3168.0,3168.0,3168.0,20.0,52.09479484322929,HOLD,73.61111111111111,65.73361823361823,HOLD,-26.38888888888889,HOLD,,HOLD,73.53068537232078,HOLD,3054.285714285714,3090.930367767337,3092.0761904761903,BUY,BUY,BUY
