Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-12,500.0,500.0,500.0,120.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-21,500.0,500.0,500.0,60.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-25,500.0,500.0,500.0,43.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-01,500.0,500.0,500.0,130.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-22,500.0,500.0,500.0,14.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-27,608.0,608.0,603.0,243.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-09,720.0,720.0,720.0,98.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-28,800.0,800.0,800.0,102.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-06-08,1000.0,1000.0,1000.0,254.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-08-17,1200.0,1200.0,1200.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-26,1200.0,1200.0,1200.0,225.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-02,1200.0,1200.0,1200.0,363.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-09,1200.0,1200.0,1200.0,1244.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-16,1200.0,1200.0,1200.0,936.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL
2016-12-14,1200.0,1200.0,1200.0,5.6209999999999996,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL
2016-12-21,1200.0,1440.0,1200.0,1032.0,100.0,SELL,74.46808510638297,91.48936170212767,HOLD,-25.53191489361702,HOLD,,HOLD,100.0,SELL
