Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-10,576.0,580.0,559.0,1928.469,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-17,573.0,580.0,560.0,1155.185,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-24,570.0,570.0,570.0,1208.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-01,575.0,575.0,562.0,730.1800000000001,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-08,580.0,581.0,560.0,517.741,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-15,570.0,570.0,555.0,959.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-22,581.0,585.0,560.0,628.651,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-29,595.0,597.0,594.0,4.013,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-05,580.0,580.0,578.0,771.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-12,580.0,580.0,580.0,1632.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-19,580.0,580.0,580.0,1229.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-26,595.0,595.0,581.0,1228.307,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-02,587.0,595.0,585.0,1363.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-09,575.0,586.0,571.0,836.429,46.86690540612531,HOLD,47.61904761904762,,HOLD,-52.38095238095238,HOLD,,HOLD,43.15004788954381,HOLD
2015-02-16,580.0,580.0,560.0,1276.0,50.59888479529548,HOLD,59.523809523809526,,HOLD,-40.476190476190474,HOLD,,HOLD,38.70605611271344,HOLD
2015-02-23,575.0,579.0,565.0,704.64,47.04066888348003,HOLD,47.61904761904762,51.58730158730159,HOLD,-52.38095238095238,HOLD,,HOLD,40.15227119342773,HOLD
2015-03-02,580.0,589.0,570.0,901.302,50.76900173741898,HOLD,59.523809523809526,55.555555555555564,HOLD,-40.476190476190474,HOLD,,HOLD,48.96998190198845,HOLD
2015-03-09,575.0,590.0,569.0,1242.5,47.191187592525026,HOLD,47.61904761904762,51.58730158730159,HOLD,-52.38095238095238,HOLD,,HOLD,40.88851233039634,HOLD
2015-03-16,570.0,570.0,569.0,289.0,43.86232773809604,HOLD,35.714285714285715,47.61904761904762,HOLD,-64.28571428571429,HOLD,,HOLD,37.34304148166829,HOLD
2015-03-23,537.0,553.0,537.0,466.0,29.2147592885848,BUY,0.0,27.777777777777782,BUY,-100.0,BUY,-304.62962962962894,BUY,38.98843943291837,HOLD
2015-03-30,520.0,537.0,506.0,1550.0,24.64829195780834,BUY,15.384615384615385,17.032967032967033,BUY,-84.61538461538461,BUY,-347.32952636882817,BUY,31.34611505467764,HOLD
2015-04-06,530.0,530.0,506.0,735.409,31.437234474910596,HOLD,26.96629213483146,14.116969173148947,HOLD,-73.03370786516854,HOLD,-244.6134347275031,BUY,34.89082004905329,HOLD
2015-04-13,540.0,540.0,520.0,888.581,37.50131033742086,HOLD,38.20224719101124,26.85105157015269,HOLD,-61.79775280898876,HOLD,-147.64159214448588,BUY,41.15298632471656,HOLD
2015-04-20,515.0,530.0,515.0,1612.0,30.288845472891026,HOLD,10.112359550561798,25.093632958801496,BUY,-89.88764044943821,BUY,-159.62196323998373,BUY,28.810093244726275,HOLD
2015-04-27,515.0,525.0,515.0,484.0,30.288845472891026,HOLD,10.112359550561798,19.475655430711612,BUY,-89.88764044943821,BUY,-134.66646619555976,BUY,27.853871444327694,HOLD
2015-05-04,485.0,513.0,485.0,751.331,23.893457691213996,BUY,0.0,6.741573033707866,BUY,-100.0,BUY,-163.68767638758223,BUY,19.157120709098706,BUY
2015-05-11,520.0,520.0,472.0,189.433,39.850362396343684,HOLD,40.67796610169491,16.930108550752237,HOLD,-59.32203389830509,HOLD,-118.43503339404984,BUY,22.711980984696936,HOLD
2015-05-18,485.0,505.0,485.0,1412.0,32.50985092876864,HOLD,11.016949152542374,17.231638418079097,BUY,-88.98305084745763,BUY,-127.03524780819471,BUY,21.996536273812197,HOLD
2015-05-25,485.0,499.0,485.0,164.0,32.50985092876864,HOLD,11.016949152542374,20.903954802259886,BUY,-88.98305084745763,BUY,-115.62128165901751,BUY,24.361433259736657,HOLD
2015-06-01,467.0,490.0,467.0,729.3,29.291659653513406,BUY,0.0,7.344632768361582,BUY,-100.0,BUY,-129.5303104176823,BUY,24.595238081014628,HOLD
2015-06-08,471.0,480.0,470.0,882.06,30.927990567384768,HOLD,3.252032520325203,4.756327224289192,BUY,-96.7479674796748,BUY,-118.02717856124677,BUY,16.169738611216673,BUY
2015-06-15,473.0,473.0,460.0,748.019,31.77810803255619,HOLD,11.818181818181818,5.02340477950234,BUY,-88.18181818181819,BUY,-116.71687947332339,BUY,17.24501334867746,BUY
2015-06-22,470.0,470.0,460.0,1494.0,31.15862267950493,HOLD,10.75268817204301,8.607634170183344,BUY,-89.24731182795699,BUY,-112.18454258675071,BUY,15.729571409143375,BUY
2015-06-29,470.0,470.0,460.0,1241.0,31.15862267950493,HOLD,12.5,11.69028999674161,BUY,-87.5,BUY,-103.05279700404594,BUY,16.41406670444991,BUY
2015-07-06,469.0,469.0,455.0,464.0,30.925562154616927,HOLD,16.470588235294116,13.241092135779041,BUY,-83.52941176470588,BUY,-97.03368526897928,HOLD,18.2774946332829,BUY
2015-07-13,505.0,505.0,465.0,1033.0,46.453360231355596,HOLD,58.8235294117647,29.26470588235294,HOLD,-41.1764705882353,HOLD,-36.50939819078062,HOLD,20.175461150036355,HOLD
2015-07-20,498.0,500.0,490.0,1289.0,44.364964133414354,HOLD,57.333333333333336,44.209150326797385,HOLD,-42.666666666666664,HOLD,-20.576131687242892,HOLD,22.5743309000531,HOLD
2015-07-27,482.0,500.0,454.0,223.0,39.944578053512316,HOLD,39.436619718309856,51.8644941544693,HOLD,-60.563380281690144,HOLD,-58.540723981900456,HOLD,26.03367125119304,HOLD
2015-08-03,480.0,490.0,475.0,1032.0,39.41590609091052,HOLD,39.39393939393939,45.38796414852752,HOLD,-60.60606060606061,HOLD,-44.947617438323455,HOLD,34.659390758269936,HOLD
2015-08-10,485.0,485.0,475.0,410.0,41.50042502221314,HOLD,46.96969696969697,41.93341869398207,HOLD,-53.03030303030303,HOLD,-39.44166986810114,HOLD,37.42875930449962,HOLD
2015-08-17,480.0,490.0,475.0,630.54,40.017622904871516,HOLD,50.98039215686274,45.78134284016637,HOLD,-49.01960784313726,HOLD,-34.2338626520933,HOLD,36.11661154418146,HOLD
2015-08-24,475.0,480.0,475.0,91.635,38.53486851718564,HOLD,41.1764705882353,46.37551990493167,HOLD,-58.8235294117647,HOLD,-49.13530765234213,HOLD,42.137715580013726,HOLD
2015-08-31,470.0,470.0,460.0,488.35,37.05622400168062,HOLD,31.372549019607842,41.1764705882353,HOLD,-68.62745098039215,HOLD,-90.26007139214691,HOLD,40.60205694926863,HOLD
2015-09-07,460.0,460.0,460.0,824.799,34.22744478318495,HOLD,11.764705882352942,28.104575163398696,BUY,-88.23529411764706,BUY,-121.74738841405514,BUY,40.27158625352551,HOLD
2015-09-14,472.0,472.0,460.0,1065.722,40.13337850864355,HOLD,35.294117647058826,26.143790849673206,HOLD,-64.70588235294117,HOLD,-70.44310988475911,HOLD,51.466431981260484,HOLD
2015-09-21,485.0,485.0,475.0,1827.0,45.81023496009689,HOLD,60.78431372549019,35.947712418300654,HOLD,-39.21568627450981,HOLD,23.91681109185434,HOLD,64.41050933910651,HOLD
2015-09-28,480.0,498.0,476.0,1820.465,44.07896080747988,HOLD,50.98039215686274,49.01960784313726,HOLD,-49.01960784313726,HOLD,57.16120745022405,HOLD,80.05202219170695,SELL
2015-10-05,480.0,486.0,478.0,898.0,44.07896080747988,HOLD,50.98039215686274,54.248366013071895,HOLD,-49.01960784313726,HOLD,37.70491803278707,HOLD,73.53673301799392,HOLD
2015-10-12,480.0,489.0,480.0,1451.0,44.07896080747988,HOLD,50.98039215686274,50.98039215686274,HOLD,-49.01960784313726,HOLD,56.21805792163568,HOLD,79.4699143425263,HOLD
2015-10-19,484.0,485.0,478.0,410.0,46.113776648275795,HOLD,65.21739130434783,55.72605853935777,HOLD,-34.78260869565217,HOLD,46.414384277649205,HOLD,74.70460547014716,HOLD
2015-10-26,485.0,489.0,475.0,1121.02,46.63655599193384,HOLD,67.3913043478261,61.19636260301221,HOLD,-32.608695652173914,HOLD,47.71784232365158,HOLD,74.24504290563488,HOLD
2015-11-02,485.0,485.0,480.0,1010.0,46.63655599193384,HOLD,65.78947368421052,66.13272311212815,HOLD,-34.21052631578947,HOLD,46.390635161499446,HOLD,77.79777718205783,HOLD
2015-11-09,480.0,481.0,480.0,935.04,44.152640995842766,HOLD,52.63157894736842,61.93745232646834,HOLD,-47.36842105263158,HOLD,15.948963317384102,HOLD,69.76203112666552,HOLD
2015-11-16,480.0,480.0,470.0,2666.0,44.152640995842766,HOLD,52.63157894736842,57.017543859649116,HOLD,-47.36842105263158,HOLD,-26.385224274406358,HOLD,57.08359861333217,HOLD
2015-11-23,475.0,485.0,475.0,609.045,41.583986199561274,HOLD,39.473684210526315,48.245614035087705,HOLD,-60.526315789473685,HOLD,-18.906699547883612,HOLD,58.800113472292885,HOLD
2015-11-30,485.0,487.0,475.0,929.913,48.088666033149245,HOLD,65.78947368421052,52.63157894736842,HOLD,-34.21052631578947,HOLD,38.49518810148759,HOLD,61.5376242160595,HOLD
2015-12-07,480.0,480.0,475.0,2113.185,45.368454488218816,HOLD,52.63157894736842,52.63157894736841,HOLD,-47.36842105263158,HOLD,-2.719070572239982,HOLD,55.85051906207267,HOLD
2015-12-14,480.0,487.0,479.0,2831.0,45.368454488218816,HOLD,52.63157894736842,57.017543859649116,HOLD,-47.36842105263158,HOLD,47.94603059872202,HOLD,64.46180122586742,HOLD
2015-12-21,485.0,485.0,480.0,2825.2,48.7318428935719,HOLD,53.57142857142857,52.944862155388456,HOLD,-46.42857142857143,HOLD,65.19152985962505,HOLD,67.44559477326405,HOLD
2015-12-28,490.0,490.0,486.0,504.74,51.91960735729596,HOLD,71.42857142857143,59.21052631578947,HOLD,-28.571428571428573,HOLD,129.53543574092976,SELL,65.31779398345,HOLD
2016-01-11,485.0,495.0,485.0,2534.01,48.66119550892073,HOLD,60.0,61.666666666666664,HOLD,-40.0,HOLD,115.03183338728817,SELL,54.22513772876399,HOLD
2016-01-18,493.0,495.0,490.0,594.0,53.67111858257655,HOLD,92.0,74.47619047619048,SELL,-8.0,SELL,154.72481827622047,SELL,57.94363263745572,HOLD
2016-01-25,523.0,539.0,490.0,664.073,66.76778025023262,HOLD,76.81159420289855,76.27053140096618,HOLD,-23.18840579710145,HOLD,388.5296598256964,SELL,56.36993382235753,HOLD
2016-02-01,500.0,533.0,500.0,915.0,54.13313063761427,HOLD,43.47826086956522,70.76328502415458,HOLD,-56.52173913043478,HOLD,239.87538940809998,SELL,54.82084935163602,HOLD
2016-02-08,500.0,509.0,491.0,1779.0,54.13313063761427,HOLD,43.47826086956522,54.589371980676326,HOLD,-56.52173913043478,HOLD,114.01977894124559,SELL,47.61797690035301,HOLD
