Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-07-06,3000.0,3000.0,3000.0,16.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-05-01,3000.0,3000.0,3000.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-27,3000.0,3000.0,3000.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-12-27,3000.0,3000.0,3000.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-05-26,3000.0,3000.0,3000.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-01-21,3000.0,3000.0,3000.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-05-21,3000.0,3000.0,3000.0,2.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-11-17,3000.0,3000.0,3000.0,18.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-02-15,3000.0,3000.0,3000.0,6.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-03-17,3000.0,3000.0,3000.0,4.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-12-12,3000.0,3000.0,3000.0,4.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-02-04,3000.0,3000.0,3000.0,2.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-06-04,3000.0,3000.0,3000.0,13.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-05-30,3000.0,3000.0,3000.0,3.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2022-08-28,3000.0,3000.0,3000.0,2.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2022-12-26,3000.0,3000.0,3000.0,11.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2023-02-24,3000.0,3000.0,3000.0,3.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2023-12-21,3000.0,3000.0,3000.0,15.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-02-19,3000.0,3000.0,3000.0,17.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-05-19,3000.0,3000.0,3000.0,12.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-08-17,3000.0,3000.0,3000.0,4.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-12-15,3000.0,3000.0,3000.0,13.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
