Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-04-27,5000.0,5000.0,5000.0,"5.000,00","0,00",21.0,105.0,105.0,5000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-07-30,2500.0,2500.0,2500.0,"2.500,00","-50,00",6.0,15.0,15.0,2500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-09-13,3208.0,3208.0,3208.0,"3.208,00","28,32",13.0,41.704,41.704,3208.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-11-03,3112.0,3112.0,3112.0,"3.112,00","-2,99",49.0,152.488,152.488,3112.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-11-05,3019.0,3019.0,3019.0,"3.019,00","-2,99",75.0,226.425,226.425,3019.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-11-26,2929.0,2929.0,2929.0,"2.929,00","-2,98",16.0,46.864,46.864,2929.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-02-23,2899.0,2899.0,2899.0,"2.899,00","-1,02",6.0,17.394,17.394,2899.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-05-16,2899.0,2899.0,2899.0,"2.899,00","0,00",24.0,69.576,69.576,2899.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-06-16,2850.0,2850.0,2850.0,"2.850,00","-1,69",36.0,102.6,102.6,2850.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-09-13,2000.0,2000.0,2000.0,"2.000,00","-29,82",49.0,98.0,98.0,2000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-11-10,2060.0,2060.0,2060.0,"2.060,00","3,00",39.0,80.34,80.34,2060.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-11-29,2100.0,2100.0,2100.0,"2.100,00","1,94",27.0,56.7,56.7,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
