Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-04-27,5000.0,5000.0,5000.0,21.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-07-24,2500.0,2500.0,2500.0,6.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-08-23,3208.0,3208.0,3208.0,13.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-10-22,3019.0,3112.0,3019.0,124.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-11-21,2929.0,2929.0,2929.0,16.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-02-19,2899.0,2899.0,2899.0,6.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-04-20,2899.0,2899.0,2899.0,24.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-05-20,2850.0,2850.0,2850.0,36.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-08-18,2000.0,2000.0,2000.0,49.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-10-17,2060.0,2060.0,2060.0,39.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-11-16,2100.0,2100.0,2100.0,27.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-12-16,2500.0,2500.0,2500.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2023-01-15,2605.0,2605.0,2504.0,74.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2023-02-14,3650.0,3650.0,3050.0,110.0,51.07361209926597,HOLD,55.0,,HOLD,-45.0,HOLD,,HOLD,53.87165861867375,HOLD,2872.785714285714,3062.241620292849,2699.9714285714285,BUY,BUY,BUY
2023-06-14,2716.0,2800.0,2716.0,229.0,40.10049838056483,HOLD,43.39393939393939,,HOLD,-56.60606060606061,HOLD,,HOLD,37.39848528841647,HOLD,2709.6428571428573,3016.076070920469,2679.0666666666666,BUY,SELL,BUY
2023-11-11,2750.0,2750.0,2750.0,8.0,40.60079853508552,HOLD,45.45454545454545,47.94949494949495,HOLD,-54.54545454545455,HOLD,,HOLD,38.338471387209886,HOLD,2727.5,2980.599261464407,2684.447619047619,BUY,SELL,BUY
2024-01-10,3500.0,3500.0,3500.0,46.0,50.43519778105948,HOLD,90.9090909090909,59.91919191919192,SELL,-9.090909090909092,SELL,,HOLD,41.71083343852264,HOLD,2748.3571428571427,3049.852693269153,2787.447619047619,BUY,BUY,BUY
2024-02-09,4299.0,4299.0,4000.0,23.0,58.34712695176763,HOLD,100.0,78.7878787878788,SELL,-0.0,SELL,,HOLD,52.97870891847426,HOLD,2839.785714285714,3216.405667499933,2994.2,BUY,BUY,BUY
2024-03-10,3802.0,3802.0,3802.0,8.0,52.71072102499176,HOLD,78.38190517616356,89.76366536175148,HOLD,-21.61809482383645,HOLD,,HOLD,53.441431274037235,HOLD,2902.1428571428573,3294.4849118332754,3122.495238095238,BUY,BUY,BUY
2024-06-08,3780.0,3780.0,3600.0,65.0,52.46909852972071,HOLD,77.42496737712048,85.26895751776135,HOLD,-22.57503262287951,HOLD,80.82988369800913,HOLD,47.751260283046115,HOLD,2965.0714285714284,3359.220256922172,3239.542857142857,BUY,BUY,BUY
