Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-10,2110.0,2110.0,2100.0,"2.100,41","-0,03",730.0,1.533.300,1.533.300,2110.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-11,2113.0,2130.0,2110.0,"2.112,85","0,59",405.0,855.705,855.705,2113.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-12,2140.0,2170.0,2112.0,"2.147,89","1,66",2.654,5.700.510,5.700.510,2140.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-13,2152.0,2170.0,2150.0,"2.151,40","0,16",509.0,1.095.064,1.095.064,2152.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-13,2152.0,2170.0,2150.0,"2.151,40","0,16",509.0,1.095.064,1.095.064,2152.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-14,2152.0,2160.0,2150.0,"2.155,54","0,19",65.0,140.110,140.110,2152.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-17,2150.0,2151.0,2150.0,"2.150,22","-0,25",244.0,524.653,524.653,2150.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-18,2110.0,2150.0,2110.0,"2.146,77","-0,16",413.0,886.615,886.615,2110.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-19,2083.0,2086.0,2083.0,"2.083,47","-2,95",581.0,1.210.497,1.210.497,2083.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-20,2085.0,2100.0,2085.0,"2.091,40","0,38",50.0,104.570,104.570,2085.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-21,2100.0,2100.0,2087.0,"2.094,84","0,16",63.0,131.975,131.975,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-24,2100.0,2100.0,2100.0,"2.100,00","0,25",778.0,1.633.800,1.633.800,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-25,2125.0,2125.0,2125.0,"2.125,00","1,19",110.0,233.750,233.750,2125.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
