Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-11,262.0,262.0,250.0,875.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-11,281.0,281.0,281.0,400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-10,280.0,280.0,280.0,160.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-09,300.0,300.0,280.0,404.727,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-10,298.0,298.0,298.0,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-09,125.0,125.0,125.0,23.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-07,169.0,170.0,155.0,1983.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-07,169.0,169.0,169.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-06,180.0,180.0,165.0,840.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-06,200.0,200.0,180.0,270.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-01-05,173.0,175.0,170.0,226.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-02-04,161.0,185.0,161.0,1171.2,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-03-05,165.0,165.0,165.0,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-04-04,151.0,169.0,151.0,1500.0,32.763051723020325,HOLD,14.857142857142858,,BUY,-85.14285714285714,BUY,,HOLD,59.837891404066724,HOLD,208.14285714285714,196.00682358533433,184.3142857142857,SELL,SELL,SELL
2016-05-04,133.0,147.0,133.0,367.0,30.02734442025556,HOLD,4.571428571428571,,BUY,-95.42857142857143,BUY,,HOLD,57.644710595832066,HOLD,198.92857142857142,187.60591377395642,174.29523809523812,SELL,SELL,SELL
2016-06-03,133.0,133.0,133.0,158.0,30.02734442025556,HOLD,4.571428571428571,8.0,BUY,-95.42857142857143,BUY,,HOLD,53.00469525102746,HOLD,188.35714285714286,180.32512527076224,165.5047619047619,SELL,SELL,SELL
2016-08-02,137.0,137.0,101.0,344.0,31.501433132144356,HOLD,18.09045226130653,9.077769801387891,BUY,-81.90954773869346,BUY,,HOLD,53.078926779589146,HOLD,178.14285714285714,174.5484419013273,158.65714285714284,SELL,SELL,SELL
2016-09-01,183.0,183.0,166.0,230.0,45.67495770332035,HOLD,41.6243654822335,21.4287487716562,HOLD,-58.3756345177665,HOLD,,HOLD,50.050214707354385,HOLD,169.78571428571428,175.67531631448367,159.30476190476193,BUY,BUY,BUY
2016-10-01,169.0,169.0,169.0,310.0,42.77406423391031,HOLD,68.68686868686869,42.800562143469584,HOLD,-31.31313131313131,HOLD,,HOLD,47.09263461984067,HOLD,160.57142857142858,174.78527413921918,159.20000000000002,BUY,SELL,BUY
2016-10-31,246.0,246.0,174.0,2170.605,58.416962195769166,HOLD,100.0,70.10374472303407,SELL,-0.0,SELL,40.52863436123347,HOLD,62.01225631000483,HOLD,169.21428571428572,184.28057092065663,170.59047619047618,BUY,BUY,BUY
