Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-10,24000.0,24500.0,24000.0,"24.200,00","0,21",17.0,411.400,411.400,24000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-11,23800.0,23800.0,23500.0,"23.623,70","-2,38",27.0,637.840,637.840,23800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-12,24000.0,24000.0,23999.0,"23.999,70","1,59",10.0,239.997,239.997,24000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-13,23280.0,23500.0,23280.0,"23.392,50","-2,53",32.0,748.560,748.560,23280.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-13,23280.0,23500.0,23280.0,"23.392,50","-2,53",32.0,748.560,748.560,23280.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-14,24000.0,24001.0,23300.0,"23.917,04","2,24",48.0,1.148.018,1.148.018,24000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-17,23620.0,23620.0,23620.0,"23.620,00","-1,24",2.0,47.240,47.240,23620.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-18,23610.0,23620.0,23610.0,"23.614,44","-0,02",9.0,212.530,212.530,23610.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-20,23490.0,23500.0,23200.0,"23.369,17","-1,04",12.0,280.430,280.430,23490.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-21,23300.0,23300.0,23300.0,"23.300,00","-0,30",2.0,46.600,46.600,23300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-24,23000.0,23000.0,23000.0,"23.000,00","-1,29",15.0,345.000,345.000,23000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-27,22400.0,22400.0,22310.0,"22.334,00","-2,90",15.0,335.010,335.010,22400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-28,22360.0,22800.0,22360.0,"22.631,25","1,33",8.0,181.050,181.050,22360.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-01,22100.0,22700.0,22100.0,"22.500,00","-0,58",3.0,67.500,67.500,22100.0,20.07596284168868,BUY,0.0,,BUY,-100.0,BUY,,HOLD,36.44632815501456,HOLD,23302.85714285714,23129.356605584704,23025.047619047622,SELL,SELL,SELL
2014-12-02,22000.0,22000.0,22000.0,"22.000,00","-2,22",10.0,220.000,220.000,22000.0,19.22171620034686,BUY,0.0,,BUY,-100.0,BUY,,HOLD,34.66555344387385,HOLD,23160.0,22978.775724840078,22851.333333333332,SELL,SELL,SELL
2014-12-04,22000.0,22000.0,22000.0,"22.000,00","0,00",8.0,176.000,176.000,22000.0,19.22171620034686,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,40.40823152599345,HOLD,23031.428571428572,22848.272294861403,22696.666666666664,SELL,SELL,SELL
2014-12-05,21500.0,21800.0,21500.0,"21.660,71","-1,54",28.0,606.500,606.500,21500.0,15.417534888769623,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,31.244351530020808,HOLD,22852.85714285714,22668.50265554655,22492.47619047619,SELL,SELL,SELL
2014-12-09,21500.0,21500.0,21400.0,"21.483,33","-0,82",30.0,644.500,644.500,21500.0,15.417534888769623,BUY,3.8446751249519417,1.2815583749839805,BUY,-96.15532487504805,BUY,,HOLD,32.026980652108946,HOLD,22725.714285714286,22512.702301473677,22312.09523809524,SELL,SELL,SELL
2014-12-10,22000.0,22000.0,21300.0,"21.526,32","0,20",19.0,409.000,409.000,22000.0,31.207450787574402,HOLD,25.9163272861903,9.920334137047414,HOLD,-74.0836727138097,HOLD,,HOLD,38.22190723887271,HOLD,22634.285714285714,22444.34199461052,22215.333333333332,SELL,SELL,SELL
2014-12-11,22150.0,22150.0,21560.0,"21.891,67","1,70",12.0,262.700,262.700,22150.0,35.120479615212716,HOLD,36.63793103448276,22.132977815208335,HOLD,-63.36206896551724,HOLD,-77.71836007130115,HOLD,23.414189043363763,HOLD,22502.14285714286,22405.096395329118,22150.7619047619,SELL,SELL,SELL
2014-12-12,22000.0,22100.0,21999.0,"22.049,60","0,72",10.0,220.496,220.496,22000.0,33.09328164351109,HOLD,30.17241379310345,30.90889070459217,HOLD,-69.82758620689656,HOLD,-63.721747828453054,HOLD,28.104457522068486,HOLD,22386.428571428572,22351.08354261857,22083.809523809523,SELL,SELL,SELL
