Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2016-05-12,201.0,201.0,201.0,24.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-01,600.0,600.0,600.0,46.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-08,600.0,600.0,600.0,85.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-05-31,600.0,600.0,600.0,144.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-07-05,608.0,608.0,608.0,144.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-07-12,608.0,608.0,608.0,43.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-16,590.0,590.0,590.0,109.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-23,590.0,590.0,590.0,258.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-30,590.0,590.0,590.0,584.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-09-06,607.0,607.0,590.0,21.036,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-10-11,607.0,607.0,607.0,28.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-12-06,607.0,607.0,607.0,85.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-05-09,607.0,607.0,607.0,39.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-09-12,607.0,607.0,607.0,67.0,94.40272052505989,SELL,99.75429975429975,,SELL,-0.2457002457002457,SELL,,HOLD,69.24550554937139,HOLD,573.0,540.4104548127902,598.7523809523809,BUY,BUY,BUY
2019-10-17,607.0,607.0,607.0,19.0,94.40272052505989,SELL,94.44444444444444,,SELL,-5.555555555555555,SELL,,HOLD,69.24550554937139,HOLD,602.0,549.2890608377515,603.2857142857142,BUY,BUY,BUY
2021-01-07,607.0,607.0,607.0,85.0,94.40272052505989,SELL,94.44444444444444,96.21439621439622,SELL,-5.555555555555555,SELL,,HOLD,64.56898609583658,HOLD,602.5,556.9838527260514,603.952380952381,BUY,BUY,BUY
2021-03-25,607.0,607.0,607.0,33.0,94.40272052505989,SELL,94.44444444444444,94.44444444444444,SELL,-5.555555555555555,SELL,,HOLD,64.56898609583658,HOLD,603.0,563.6526723625778,604.5523809523809,BUY,BUY,BUY
2021-04-01,607.0,607.0,607.0,99.0,94.40272052505989,SELL,94.44444444444444,94.44444444444444,SELL,-5.555555555555555,SELL,,HOLD,64.56898609583658,HOLD,603.5,569.4323160475675,605.0857142857144,BUY,BUY,BUY
2021-04-08,607.0,607.0,607.0,48.0,94.40272052505989,SELL,94.44444444444444,94.44444444444444,SELL,-5.555555555555555,SELL,,HOLD,31.552810960337382,HOLD,603.4285714285714,574.4413405745585,605.5523809523809,BUY,BUY,BUY
2021-04-15,607.0,607.0,607.0,247.0,94.40272052505989,SELL,100.0,96.29629629629629,SELL,-0.0,SELL,42.0394210488035,HOLD,31.552810960337382,HOLD,603.3571428571429,578.7824951646173,606.0285714285715,BUY,BUY,BUY
2021-04-22,607.0,607.0,607.0,80.0,94.40272052505989,SELL,100.0,98.14814814814815,SELL,-0.0,SELL,49.278193856506824,HOLD,100.0,SELL,604.5714285714286,582.5448291426684,606.5142857142857,BUY,BUY,BUY
2021-05-06,607.0,607.0,607.0,172.0,94.40272052505989,SELL,100.0,100.0,SELL,-0.0,SELL,45.71682201509049,HOLD,100.0,SELL,605.7857142857143,585.8055185903127,606.8380952380953,BUY,BUY,BUY
2021-05-13,607.0,607.0,607.0,59.0,94.40272052505989,SELL,100.0,100.0,SELL,-0.0,SELL,42.602187679907196,HOLD,100.0,SELL,607.0,588.6314494449376,607.0,HOLD,BUY,HOLD
2021-05-20,607.0,607.0,607.0,18.0,94.40272052505989,SELL,,,HOLD,,HOLD,39.84450923226449,HOLD,100.0,SELL,607.0,591.080589518946,607.0,HOLD,BUY,HOLD
2021-05-27,607.0,607.0,607.0,40.0,94.40272052505989,SELL,,,HOLD,,HOLD,40.75158613958002,HOLD,,HOLD,607.0,593.2031775830866,607.0,HOLD,BUY,HOLD
2021-06-03,607.0,607.0,607.0,133.0,94.40272052505989,SELL,,,HOLD,,HOLD,41.66666666666599,HOLD,,HOLD,607.0,595.0427539053418,607.0,HOLD,BUY,HOLD
2021-06-10,607.0,607.0,607.0,44.0,94.40272052505989,SELL,,,HOLD,,HOLD,39.215686274510006,HOLD,,HOLD,607.0,596.6370533846296,607.0,HOLD,BUY,HOLD
2021-06-24,607.0,607.0,607.0,36.0,94.40272052505989,SELL,,,HOLD,,HOLD,37.03703703703693,HOLD,,HOLD,607.0,598.0187796000123,607.0,HOLD,BUY,HOLD
2021-07-01,607.0,607.0,607.0,112.0,94.40272052505989,SELL,,,HOLD,,HOLD,35.08771929824376,HOLD,,HOLD,607.0,599.216275653344,607.0,HOLD,BUY,HOLD
2021-07-08,607.0,607.0,607.0,172.0,94.40272052505989,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,607.0,600.2541055662315,607.0,HOLD,BUY,HOLD
2021-07-15,607.0,607.0,607.0,43.0,94.40272052505989,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,607.0,601.1535581574007,607.0,HOLD,BUY,HOLD
