Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-14,610.0,701.0,610.0,85.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-26,550.0,550.0,550.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-09,550.0,550.0,550.0,6.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-16,550.0,550.0,550.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-30,580.0,581.0,566.0,218.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-13,580.0,580.0,580.0,190.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-27,580.0,580.0,580.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-20,540.0,540.0,540.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-03,524.0,524.0,524.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-17,500.0,500.0,500.0,261.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-24,520.0,520.0,500.0,168.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-08,500.0,500.0,500.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-15,540.0,540.0,540.0,129.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-22,491.0,491.0,491.0,13.0,32.03652265755184,HOLD,0.0,,BUY,-100.0,BUY,,HOLD,62.567325385391726,HOLD,543.9285714285714,540.5283788585795,530.0,SELL,SELL,SELL
2015-05-29,500.0,500.0,500.0,100.0,34.981474500557056,HOLD,10.0,,BUY,-90.0,BUY,,HOLD,65.33651273528027,HOLD,536.0714285714286,535.1245950107689,524.1428571428571,SELL,SELL,SELL
2015-06-12,501.0,501.0,501.0,200.0,35.31685354084449,HOLD,11.11111111111111,7.037037037037037,BUY,-88.88888888888889,BUY,,HOLD,70.31022154355927,HOLD,532.5714285714286,530.574649009333,519.4666666666666,SELL,SELL,SELL
2015-06-19,501.0,501.0,501.0,214.0,35.31685354084449,HOLD,11.11111111111111,10.74074074074074,BUY,-88.88888888888889,BUY,,HOLD,70.31022154355927,HOLD,529.0714285714286,526.6313624747553,515.2571428571429,SELL,SELL,SELL
2015-06-26,530.0,530.0,530.0,35.0,44.8795227912746,HOLD,43.333333333333336,21.85185185185185,HOLD,-56.666666666666664,HOLD,,HOLD,71.00813767089004,HOLD,527.6428571428571,527.0805141447879,515.3809523809524,BUY,BUY,BUY
2015-07-03,503.0,503.0,503.0,114.0,39.085803017120234,HOLD,13.48314606741573,22.64253017062006,BUY,-86.51685393258427,BUY,,HOLD,60.31415791116196,HOLD,522.1428571428571,523.8697789254828,512.0952380952381,SELL,SELL,SELL
2015-08-07,550.0,550.0,550.0,141.0,50.955031552638395,HOLD,66.29213483146067,41.03620474406991,HOLD,-33.70786516853933,HOLD,31.571053618297647,HOLD,58.43170014164821,HOLD,520.0,527.3538084020851,515.8095238095239,BUY,BUY,BUY
2015-08-21,534.0,534.0,534.0,100.0,47.55774609097535,HOLD,72.88135593220339,50.885545610359934,HOLD,-27.11864406779661,HOLD,9.184372858122066,HOLD,54.224948599548355,HOLD,516.7142857142857,528.239967281807,517.6761904761905,BUY,BUY,BUY
