Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-13,18500.0,18500.0,18500.0,"18.500,00","-6,57",1.0,18.500,18.500,18500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-13,18500.0,18500.0,18500.0,"18.500,00","-6,57",1.0,18.500,18.500,18500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-14,18000.0,18000.0,18000.0,"18.000,00","-2,70",32.0,576.000,576.000,18000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-17,18500.0,18500.0,18500.0,"18.500,00","2,78",10.0,185.000,185.000,18500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-18,18600.0,18600.0,18600.0,"18.600,00","0,54",11.0,204.600,204.600,18600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-19,18999.0,18999.0,18999.0,"18.999,00","2,15",15.0,284.985,284.985,18999.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-21,19000.0,19000.0,19000.0,"19.000,00","0,01",50.0,950.000,950.000,19000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-24,19570.0,19570.0,19570.0,"19.570,00","3,00",5.0,97.850,97.850,19570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-25,19567.0,19567.0,19567.0,"19.567,00","-0,02",14.0,273.938,273.938,19567.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-27,19800.0,19800.0,19800.0,"19.800,00","1,19",15.0,297.000,297.000,19800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-01,19210.0,19210.0,19210.0,"19.210,00","-2,98",23.0,441.830,441.830,19210.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-05,19211.0,19211.0,19211.0,"19.211,00","0,01",30.0,576.330,576.330,19211.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-12,19200.0,19200.0,19200.0,"19.200,00","-0,06",20.0,384.000,384.000,19200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-13,19211.0,19211.0,19211.0,"19.211,00","0,06",35.0,672.385,672.385,19211.0,60.05268255077196,HOLD,67.27777777777777,,HOLD,-32.72222222222222,HOLD,,HOLD,66.10445399782117,HOLD,18990.571428571428,19071.849111330674,19186.219047619048,BUY,BUY,BUY
2015-01-15,19500.0,19750.0,19500.0,"19.721,30","2,66",270.0,5.324.750,5.324.750,19500.0,66.03450865436773,HOLD,83.33333333333333,,SELL,-16.666666666666668,SELL,,HOLD,83.62135140994141,SELL,19062.0,19128.935896486586,19254.142857142855,BUY,BUY,BUY
2015-01-16,20000.0,20200.0,20000.0,"20.058,82","1,71",17.0,341.000,341.000,20000.0,73.44369684004182,SELL,90.9090909090909,80.506734006734,SELL,-9.090909090909092,SELL,,HOLD,84.14982394347325,SELL,19169.14285714286,19245.07777695504,19379.209523809524,BUY,BUY,BUY
2015-01-20,20001.0,21820.0,20001.0,"20.980,46","4,59",13.0,272.746,272.746,20001.0,73.45616811978846,SELL,45.21084337349398,73.15108920530606,HOLD,-54.78915662650602,HOLD,,HOLD,89.2856572232827,SELL,19312.071428571428,19345.867406694368,19490.12380952381,BUY,BUY,BUY
2015-01-22,21000.0,21000.0,21000.0,"21.000,00","0,09",3.0,63.000,63.000,21000.0,82.36565793548269,SELL,74.53416149068323,70.2180319244227,HOLD,-25.46583850931677,HOLD,,HOLD,89.15677808181721,SELL,19490.64285714286,19566.41841913512,19715.180952380953,BUY,BUY,BUY
2015-01-30,19800.0,19800.0,19800.0,"19.800,00","-5,71",5.0,99.000,99.000,19800.0,57.42969399936859,HOLD,28.39418645870259,49.379730440959925,HOLD,-71.60581354129741,HOLD,,HOLD,88.05632844844364,SELL,19576.35714285714,19597.562629917105,19756.42857142857,BUY,BUY,BUY
2015-02-02,19800.0,19800.0,19800.0,"19.800,00","0,00",23.0,455.400,455.400,19800.0,57.42969399936859,HOLD,28.368794326241133,43.765714091875644,HOLD,-71.63120567375887,HOLD,53.5990167862936,HOLD,87.70729076174686,SELL,19633.571428571428,19624.55427926149,19786.24761904762,BUY,BUY,BUY
2015-02-04,20350.0,20350.0,20350.0,"20.350,00","2,78",6.0,122.100,122.100,20350.0,63.33078617460471,HOLD,43.89312977099237,33.55203685197869,HOLD,-56.10687022900763,HOLD,104.86435211534818,SELL,86.56686296090096,SELL,19730.0,19721.28037535996,19881.77142857143,BUY,BUY,BUY
2015-02-05,20390.0,20390.0,20390.0,"20.390,00","0,20",2.0,40.780,40.780,20390.0,63.72462589246686,HOLD,45.41984732824427,39.22725714182592,HOLD,-54.58015267175573,HOLD,99.99692340824839,HOLD,86.48040322285054,SELL,19788.571428571428,19810.44299197863,19969.771428571432,BUY,BUY,BUY
2015-02-06,20000.0,20000.0,20000.0,"20.000,00","-1,91",3.0,60.000,60.000,20000.0,57.2664820150165,HOLD,30.53435114503817,39.94910941475826,HOLD,-69.46564885496183,HOLD,48.256456894969006,HOLD,88.61856843410811,SELL,19819.5,19835.717259714813,19997.961904761905,BUY,BUY,BUY
