Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-10-27,1600.0,1600.0,1600.0,"1.600,00","0,00",72.0,115.200,115.200,1600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-03-16,2000.0,2000.0,2000.0,"2.000,00","25,00",453.0,906.000,906.000,2000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-06-02,2000.0,2000.0,2000.0,"2.000,00","0,00",371.0,742.000,742.000,2000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-12-27,2000.0,2000.0,2000.0,"2.000,00","0,00",621.0,1.242.000,1.242.000,2000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-06-19,1600.0,1600.0,1600.0,"1.600,00","-20,00",500.0,800.000,800.000,1600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-07-05,1600.0,1600.0,1600.0,"1.600,00","0,00",500.0,800.000,800.000,1600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-08-14,1600.0,1600.0,1600.0,"1.600,00","0,00",500.0,800.000,800.000,1600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-10-08,1600.0,1600.0,1600.0,"1.600,00","0,00",500.0,800.000,800.000,1600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-11-21,1600.0,1600.0,1600.0,"1.600,00","0,00",500.0,800.000,800.000,1600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-12-19,1600.0,1600.0,1600.0,"1.600,00","0,00",600.0,960.000,960.000,1600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-01-23,1600.0,1600.0,1600.0,"1.600,00","0,00",400.0,640.000,640.000,1600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-05-20,1600.0,1600.0,1600.0,"1.600,00","0,00",600.0,960.000,960.000,1600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-07-17,1600.0,1600.0,1600.0,"1.600,00","0,00",700.0,1.120.000,1.120.000,1600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-08-13,1600.0,1600.0,1600.0,"1.600,00","0,00",700.0,1.120.000,1.120.000,1600.0,44.46468326249747,HOLD,0.0,,BUY,-100.0,BUY,,HOLD,53.10668229777257,HOLD
2019-09-19,1600.0,1600.0,1600.0,"1.600,00","0,00",41.0,65.600,65.600,1600.0,44.46468326249747,HOLD,0.0,,BUY,-100.0,BUY,,HOLD,53.10668229777257,HOLD
2022-02-22,1600.0,1600.0,1600.0,"1.600,00","0,00",206.0,329.600,329.600,1600.0,44.46468326249747,HOLD,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY
