Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-08-19,7.0,7.0,7.0,24.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-30,7.0,7.0,7.0,47.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-06,7.0,7.0,7.0,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-02,7.0,7.0,7.0,211.117,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-01-18,7.0,7.0,7.0,107.462,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-01-25,7.0,7.0,7.0,84.515,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-02-15,7.0,7.0,7.0,38.897,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-07-19,10.0,10.0,10.0,390.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-08-09,19.0,19.0,19.0,2.319,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-08-16,19.0,19.0,19.0,2.4770000000000003,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-08-30,19.0,19.0,19.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-10-04,8.0,8.0,8.0,36.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-03-07,8.0,8.0,8.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-05-23,10.0,10.0,10.0,2.0,51.660737568643675,HOLD,25.0,,HOLD,-75.0,HOLD,,HOLD,93.22681400854785,SELL
2018-08-15,10.0,10.0,10.0,600.0,51.660737568643675,HOLD,25.0,,HOLD,-75.0,HOLD,,HOLD,93.22681400854785,SELL
2018-09-26,10.0,10.0,10.0,51.0,51.660737568643675,HOLD,25.0,25.0,HOLD,-75.0,HOLD,,HOLD,93.22681400854785,SELL
2019-02-06,10.0,10.0,10.0,200.0,51.660737568643675,HOLD,25.0,25.0,HOLD,-75.0,HOLD,,HOLD,93.22681400854785,SELL
2019-02-13,10.0,10.0,10.0,43.174,51.660737568643675,HOLD,25.0,25.0,HOLD,-75.0,HOLD,,HOLD,93.22681400854785,SELL
2019-03-13,12.0,12.0,12.0,36.0,57.87974537057574,HOLD,41.666666666666664,30.555555555555554,HOLD,-58.333333333333336,HOLD,,HOLD,93.85148912450116,SELL
2019-04-03,12.0,12.0,12.0,17.35,57.87974537057574,HOLD,41.666666666666664,36.11111111111111,HOLD,-58.333333333333336,HOLD,38.418079096045176,HOLD,93.85148912450116,SELL
2019-05-01,12.0,12.0,12.0,13.0,57.879745370575726,HOLD,36.36363636363637,39.898989898989896,HOLD,-63.63636363636363,HOLD,32.547699214365856,HOLD,93.85148912450116,SELL
2019-08-21,12.0,12.0,12.0,33.0,57.879745370575726,HOLD,36.36363636363637,38.131313131313135,HOLD,-63.63636363636363,HOLD,27.210884353741477,HOLD,63.26816408417203,HOLD
2019-09-04,12.0,12.0,12.0,960.0,57.879745370575726,HOLD,36.36363636363637,36.36363636363637,HOLD,-63.63636363636363,HOLD,22.144522144522124,HOLD,61.08108108108108,HOLD
2019-09-18,12.0,12.0,12.0,37.0,57.879745370575726,HOLD,36.36363636363637,36.36363636363637,HOLD,-63.63636363636363,HOLD,17.094017094017072,HOLD,61.08108108108108,HOLD
2019-10-30,20.0,20.0,20.0,13.0,76.63576645671282,SELL,100.0,57.575757575757585,SELL,-0.0,SELL,181.92090395480233,SELL,71.2,HOLD
2020-03-04,17.0,17.0,17.0,529.0,64.95484220736789,HOLD,75.0,70.45454545454545,HOLD,-25.0,HOLD,95.5380577427822,HOLD,7.336424523441522,BUY
2020-03-11,17.0,17.0,17.0,28.0,64.95484220736789,HOLD,70.0,81.66666666666667,HOLD,-30.0,HOLD,81.08108108108111,HOLD,7.336424523441522,BUY
2020-04-15,19.0,19.0,19.0,524.0,68.64945481244253,HOLD,90.0,78.33333333333333,SELL,-10.0,SELL,103.13075506445672,SELL,54.21312560460262,HOLD
2020-05-27,25.0,25.0,25.0,2.087,76.61457171168826,SELL,100.0,86.66666666666667,SELL,-0.0,SELL,187.86367414796345,SELL,54.33443312213496,HOLD
2020-06-10,24.0,24.0,24.0,228.0,73.27319369813097,SELL,93.33333333333333,94.44444444444444,SELL,-6.666666666666667,SELL,154.5559400230681,SELL,42.51977186727292,HOLD
2020-07-15,28.0,28.0,28.0,25.025,77.50023826107001,SELL,100.0,97.77777777777777,SELL,-0.0,SELL,184.28184281842823,SELL,44.07689668337143,HOLD
2022-09-28,28.0,28.0,28.0,34.0,77.50023826107001,SELL,100.0,97.77777777777777,SELL,-0.0,SELL,153.28467153284674,SELL,44.07689668337143,HOLD
2022-10-26,28.0,28.0,28.0,96.0,77.50023826107001,SELL,100.0,100.0,SELL,-0.0,SELL,132.42009132420097,SELL,43.1270303876228,HOLD
2022-12-21,20.0,20.0,20.0,621.0,55.55294767736592,HOLD,50.0,83.33333333333333,HOLD,-50.0,HOLD,36.2573099415205,HOLD,28.97688809930291,HOLD
