Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-08-19,7.0,7.0,7.0,"7,00","-30,00",24.0,168,168,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-01-04,7.0,7.0,7.0,"7,00","0,00",47.0,329,329,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-01-12,7.0,7.0,7.0,"7,00","0,00",500.0,3.500,3.500,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-08,7.0,7.0,7.0,"7,00","0,00",211.117,1.477.819,1.477.819,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-01-20,7.0,7.0,7.0,"7,00","0,00",71.0,497.000,497.000,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-01-23,7.0,7.0,7.0,"7,00","0,00",10.0,70.000,70.000,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-01-24,7.0,7.0,7.0,"7,00","0,00",26.462,185.234,185.234,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-01-25,7.0,7.0,7.0,"7,00","0,00",46.308,324.156,324.156,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-01-26,7.0,7.0,7.0,"7,00","0,00",38.207,267.449,267.449,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-02-17,7.0,7.0,7.0,"7,00","0,00",38.897,272.279,272.279,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-07-25,10.0,10.0,10.0,"10,00","42,86",390.0,3.900,3.900,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-08-14,19.0,19.0,19.0,"19,00","90,00",2.319,44.061,44.061,19.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-08-18,19.0,19.0,19.0,"19,00","0,00",1.477,28.063,28.063,19.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-08-22,19.0,19.0,19.0,"19,00","0,00",1.0,19.000,19.000,19.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL,9.785714285714286,11.44882962962963,11.771428571428572,BUY,BUY,BUY
2017-09-01,19.0,19.0,19.0,"19,00","0,00",1.0,19.000,19.000,19.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL,10.642857142857142,12.455652345679013,13.0,BUY,BUY,BUY
2017-10-04,8.0,8.0,8.0,"8,00","-57,89",36.0,288,288,8.0,44.33840902716616,HOLD,8.333333333333334,69.44444444444444,BUY,-91.66666666666667,BUY,,HOLD,93.19480508433125,SELL,10.714285714285714,11.861565366255146,12.647619047619047,SELL,SELL,SELL
2018-03-07,8.0,8.0,8.0,"8,00","0,00",1.0,8.000,8.000,8.0,44.33840902716616,HOLD,8.333333333333334,38.88888888888889,BUY,-91.66666666666667,BUY,,HOLD,93.19480508433125,SELL,10.785714285714286,11.346689984087794,12.285714285714285,SELL,SELL,SELL
2018-05-29,10.0,10.0,10.0,"10,00","25,00",2.0,20.000,20.000,10.0,50.18523754475395,HOLD,25.0,13.888888888888891,HOLD,-75.0,HOLD,,HOLD,93.22681400854785,SELL,11.0,11.167131319542754,12.180952380952382,SELL,SELL,SELL
2018-08-16,10.0,10.0,10.0,"10,00","0,00",600.0,6.000,6.000,10.0,50.18523754475395,HOLD,25.0,19.444444444444443,HOLD,-75.0,HOLD,,HOLD,93.22681400854785,SELL,11.214285714285714,11.011513810270387,12.04761904761905,SELL,SELL,SELL
2018-09-28,10.0,10.0,10.0,"10,00","0,00",51.0,510,510,10.0,50.18523754475397,HOLD,25.0,25.0,HOLD,-75.0,HOLD,-1.8726591760299565,HOLD,93.22681400854785,SELL,11.428571428571429,10.876645302234335,11.885714285714284,SELL,SELL,SELL
2019-02-06,10.0,10.0,10.0,"10,00","0,00",200.0,2.000,2.000,10.0,50.18523754475397,HOLD,25.0,25.0,HOLD,-75.0,HOLD,-4.761904761904762,HOLD,93.22681400854785,SELL,11.642857142857142,10.759759261936424,11.695238095238095,SELL,SELL,SELL
