Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-13,8200.0,9100.0,8000.0,588.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-13,8299.0,8370.0,8050.0,162.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-12,7600.0,8250.0,7600.0,261.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-11,7560.0,7720.0,7400.0,624.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-13,8000.0,8000.0,7200.0,240.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-12,8060.0,8300.0,7850.0,97.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-12,7700.0,8070.0,7700.0,210.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-11,7790.0,8000.0,7700.0,146.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-11,7801.0,8000.0,7761.0,121.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-10,8240.0,8345.0,7801.0,305.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-09,8150.0,8300.0,8100.0,381.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-09,7400.0,8400.0,7400.0,346.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-08,8000.0,8242.0,7200.0,1184.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-08,8244.0,8244.0,8243.0,9.0,54.19486494893278,HOLD,54.94736842105263,,HOLD,-45.05263157894737,HOLD,,HOLD,61.29580099519906,HOLD
2016-01-07,8244.0,8244.0,8244.0,3.0,54.19486494893278,HOLD,87.0,,SELL,-13.0,SELL,,HOLD,61.325629540433084,HOLD
2016-02-06,8203.0,8446.0,8000.0,252.0,53.275004891839295,HOLD,80.4975922953451,74.14832023879924,SELL,-19.502407704654896,SELL,,HOLD,59.95124639531478,HOLD
2016-03-07,8991.0,9022.0,8202.0,104.0,65.42244874739411,HOLD,98.29857299670691,88.59872176401734,SELL,-1.7014270032930845,SELL,,HOLD,64.95843786236443,HOLD
2016-04-06,9000.0,9261.0,8991.0,44.0,65.5326646649826,HOLD,87.33624454148472,88.71080327784557,SELL,-12.663755458515285,SELL,,HOLD,76.66296929824631,HOLD
2016-05-06,9037.0,9900.0,9036.0,172.0,66.0123049995581,HOLD,68.03703703703704,84.55728485840956,HOLD,-31.962962962962962,HOLD,,HOLD,76.44598019131975,HOLD
2016-06-05,9500.0,9681.0,8800.0,223.0,71.37951852842288,SELL,85.18518518518519,80.1861555879023,SELL,-14.814814814814815,SELL,190.45489211149524,SELL,77.52092052417356,HOLD
2016-07-05,9501.0,9785.0,9501.0,523.0,71.3900272115883,SELL,85.22222222222223,79.48148148148148,SELL,-14.777777777777779,SELL,187.727577630165,SELL,85.073880462781,SELL
