Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-10,379.0,409.0,379.0,"384,13","-6,31",849.0,326.126,326.126,379.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-11,409.0,409.0,381.0,"390,21","1,58",5.398,2.106.346,2.106.346,409.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-12,415.0,416.0,415.0,"415,07","6,37",2.687,1.115.305,1.115.305,415.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-13,415.0,415.0,410.0,"414,44","-0,15",901.0,373.410,373.410,415.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-13,415.0,415.0,410.0,"414,44","-0,15",901.0,373.410,373.410,415.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-17,375.0,400.0,375.0,"383,21","-7,54",329.0,126.075,126.075,375.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-18,399.0,399.0,388.0,"389,65","1,68",40.0,15.586,15.586,399.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-19,378.0,378.0,378.0,"378,00","-2,99",200.0,75.600,75.600,378.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-24,341.0,341.0,341.0,"341,00","-9,79",1.791,610.731,610.731,341.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-25,340.0,340.0,335.0,"337,53","-1,02",790.0,266.650,266.650,340.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-28,369.0,371.0,369.0,"370,18","9,67",170.0,62.930,62.930,369.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-01,360.0,360.0,360.0,"360,00","-2,75",312.0,112.320,112.320,360.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-02,350.0,350.0,350.0,"350,00","-2,78",732.0,256.200,256.200,350.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-04,345.0,345.0,345.0,"345,00","-1,43",1.555,536.475,536.475,345.0,38.483493739939476,HOLD,12.345679012345679,,BUY,-87.65432098765432,BUY,,HOLD,6.336380191727116,BUY
2014-12-05,350.0,350.0,345.0,"347,25","0,65",1.888,655.600,655.600,350.0,40.819840265754564,HOLD,18.51851851851852,,BUY,-81.48148148148148,BUY,,HOLD,6.383995328970457,BUY
2014-12-09,359.0,359.0,359.0,"359,00","3,38",30.0,10.770,10.770,359.0,44.87798792845996,HOLD,29.62962962962963,20.16460905349794,HOLD,-70.37037037037037,HOLD,,HOLD,7.003122250193144,BUY
2014-12-10,350.0,350.0,350.0,"350,00","-2,51",282.0,98.700,98.700,350.0,41.791766220219216,HOLD,18.75,22.299382716049383,BUY,-81.25,BUY,,HOLD,6.435215470934921,BUY
2014-12-11,360.0,360.0,360.0,"360,00","2,86",170.0,61.200,61.200,360.0,46.21742107537484,HOLD,31.25,26.543209876543212,HOLD,-68.75,HOLD,,HOLD,13.896487203380815,BUY
2014-12-12,375.0,375.0,360.0,"361,27","0,35",415.0,149.925,149.925,375.0,52.10044411243047,HOLD,61.53846153846154,37.179487179487175,HOLD,-38.46153846153846,HOLD,,HOLD,24.53984427000293,HOLD
2014-12-15,372.0,372.0,351.0,"351,96","-2,58",524.0,184.428,184.428,372.0,50.90121610356024,HOLD,57.8125,50.20032051282052,HOLD,-42.1875,HOLD,-22.81872088098266,HOLD,23.317055008381416,HOLD
2014-12-16,360.0,360.0,360.0,"360,00","2,28",200.0,72.000,72.000,360.0,46.309499269726146,HOLD,58.13953488372093,59.16349880739415,HOLD,-41.86046511627907,HOLD,-35.21434820647426,HOLD,21.196501962409826,HOLD
2014-12-17,370.0,370.0,370.0,"370,00","2,78",50.0,18.500,18.500,370.0,50.3305515024357,HOLD,87.5,67.81734496124031,SELL,-12.5,SELL,2.70148581719946,HOLD,23.53900533985329,HOLD
2014-12-18,361.0,370.0,361.0,"366,38","-0,98",271.0,99.289,99.289,361.0,46.92436914115603,HOLD,65.0,70.21317829457364,HOLD,-35.0,HOLD,-11.2132608998468,HOLD,21.89595550998962,HOLD
2014-12-22,372.0,372.0,370.0,"370,24","1,05",286.0,105.888,105.888,372.0,51.26554316367627,HOLD,90.0,80.83333333333333,SELL,-10.0,SELL,33.395176252318834,HOLD,33.273929932414745,HOLD
2014-12-23,370.0,370.0,370.0,"370,00","-0,06",866.0,320.420,320.420,370.0,50.45745386363719,HOLD,83.33333333333333,79.44444444444444,SELL,-16.666666666666668,SELL,44.9382716049385,HOLD,23.37697956725961,HOLD
