Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-10,292.0,301.0,292.0,403.431,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-17,290.0,290.0,280.0,559.538,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-24,282.0,286.0,282.0,141.10500000000002,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-01,282.0,289.0,280.0,388.125,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-08,289.0,289.0,281.0,660.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-15,282.0,287.0,282.0,64.4,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-22,290.0,292.0,282.0,1963.406,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-29,293.0,293.0,290.0,980.6,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-05,290.0,290.0,286.0,638.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-12,286.0,290.0,285.0,1079.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-19,287.0,292.0,285.0,401.36199999999997,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-26,292.0,292.0,285.0,1183.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-02,290.0,292.0,286.0,1601.025,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-09,285.0,290.0,285.0,1366.017,43.32318223364275,HOLD,23.80952380952381,,HOLD,-76.19047619047619,HOLD,,HOLD,50.658432580963165,HOLD
2015-02-16,281.0,282.0,281.0,1052.1,38.637843579572824,HOLD,7.6923076923076925,,BUY,-92.3076923076923,BUY,,HOLD,46.34031444907207,HOLD
2015-02-23,289.0,289.0,282.0,341.15,50.2308383876095,HOLD,69.23076923076923,33.57753357753358,HOLD,-30.76923076923077,HOLD,,HOLD,50.059182413109184,HOLD
2015-03-02,289.0,289.0,282.0,280.0,50.2308383876095,HOLD,69.23076923076923,48.71794871794871,HOLD,-30.76923076923077,HOLD,,HOLD,50.65308034242927,HOLD
2015-03-09,283.0,290.0,283.0,450.0,43.1412869967265,HOLD,16.666666666666668,51.70940170940171,BUY,-83.33333333333333,BUY,,HOLD,47.129974008594736,HOLD
