Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-18,617.0,617.0,617.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-02,630.0,630.0,620.0,137.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-09,650.0,650.0,630.0,266.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-23,650.0,650.0,650.0,107.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-30,650.0,650.0,650.0,53.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-27,650.0,650.0,650.0,300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-10,650.0,650.0,650.0,120.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-17,650.0,650.0,650.0,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-24,650.0,650.0,650.0,2.05,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-31,649.0,650.0,649.0,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-21,638.0,650.0,638.0,402.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-28,650.0,650.0,637.0,170.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-05,600.0,600.0,600.0,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-19,600.0,600.0,600.0,350.0,30.47748499726049,HOLD,0.0,,BUY,-100.0,BUY,,HOLD,46.20557115886713,HOLD
2015-06-02,551.0,551.0,551.0,200.0,18.41140723700063,BUY,0.0,,BUY,-100.0,BUY,,HOLD,41.37662439478372,HOLD
2015-06-09,560.0,560.0,560.0,450.0,24.33661866889173,BUY,9.090909090909092,3.0303030303030307,BUY,-90.9090909090909,BUY,,HOLD,49.35643180405552,HOLD
2015-06-16,601.0,601.0,601.0,226.0,44.21286932581484,HOLD,50.505050505050505,19.865319865319865,HOLD,-49.494949494949495,HOLD,,HOLD,47.84814967926273,HOLD
2015-06-23,615.0,615.0,615.0,200.0,49.12718810589494,HOLD,64.64646464646465,41.41414141414142,HOLD,-35.35353535353536,HOLD,,HOLD,50.098433354322395,HOLD
2015-06-30,605.0,615.0,605.0,660.0,46.00949465353049,HOLD,54.54545454545455,56.56565656565656,HOLD,-45.45454545454545,HOLD,,HOLD,37.83527613845128,HOLD
2015-07-07,605.0,605.0,605.0,63.0,46.00949465353049,HOLD,54.54545454545455,57.91245791245791,HOLD,-45.45454545454545,HOLD,-48.265659844119234,HOLD,36.97604698251165,HOLD
2015-07-14,650.0,650.0,650.0,40.0,59.44229956513294,HOLD,100.0,69.6969696969697,SELL,-0.0,SELL,64.79333161467731,HOLD,37.93747976996185,HOLD
2015-07-21,650.0,650.0,650.0,50.0,59.44229956513294,HOLD,100.0,84.84848484848486,SELL,-0.0,SELL,59.63340797876736,HOLD,37.93747976996185,HOLD
2015-07-28,660.0,660.0,645.0,390.0,61.886225965094276,HOLD,100.0,100.0,SELL,-0.0,SELL,69.41387462297214,HOLD,46.02699418224432,HOLD
2015-08-04,660.0,660.0,660.0,100.0,61.886225965094276,HOLD,100.0,100.0,SELL,-0.0,SELL,79.25604563348597,HOLD,51.05858752438326,HOLD
