Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-10,1500.0,1500.0,1390.0,52.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-29,1055.0,1055.0,1055.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-26,1051.0,1051.0,1051.0,11.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-02,1085.0,1085.0,1085.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-16,1085.0,1085.0,1085.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-06,1117.0,1117.0,1117.0,2.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-20,1200.0,1200.0,1150.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-11,1101.0,1101.0,1101.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-25,1100.0,1100.0,1100.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-01,1100.0,1100.0,1100.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-08,1201.0,1201.0,1201.0,61.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-20,1237.0,1237.0,1237.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-14,1500.0,1500.0,1500.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-02,1711.0,1711.0,1711.0,17.0,72.33197354861701,SELL,100.0,,SELL,-0.0,SELL,,HOLD,89.73012457307563,SELL,1217.357142857143,1314.6389408392192,1265.209523809524,BUY,BUY,BUY
2015-11-16,1900.0,1900.0,1900.0,25.0,77.43874188443375,SELL,100.0,,SELL,-0.0,SELL,,HOLD,90.94339059519339,SELL,1245.9285714285713,1392.6870820606566,1356.2285714285713,BUY,BUY,BUY
2015-12-07,1950.0,1950.0,1950.0,50.0,78.5658538143712,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,94.71106557796087,SELL,1309.857142857143,1466.9954711192358,1450.104761904762,BUY,BUY,BUY
2015-12-28,2600.0,2600.0,2600.0,62.0,87.38730053717046,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,97.76046722825917,SELL,1420.5,1618.062741636671,1622.1238095238098,BUY,BUY,BUY
2016-01-11,2700.0,2700.0,2700.0,37.0,88.19242958930673,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,97.9895563192702,SELL,1535.857142857143,1762.3210427517815,1792.7238095238095,BUY,BUY,BUY
