Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-10,5200.0,5200.0,5200.0,"5.200,00","2,31",24.0,124.800,124.800,5200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-11,5300.0,5300.0,5199.0,"5.221,96","0,42",226.0,1.180.162,1.180.162,5300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-12,5300.0,5300.0,5299.0,"5.299,88","1,49",82.0,434.590,434.590,5300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-14,5301.0,5458.0,5301.0,"5.314,58","0,28",139.0,738.726,738.726,5301.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-17,5474.0,5474.0,5474.0,"5.474,00","3,00",4.0,21.896,21.896,5474.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-18,5500.0,5500.0,5400.0,"5.481,45","0,14",11.0,60.296,60.296,5500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-19,5310.0,5310.0,5310.0,"5.310,00","-3,13",70.0,371.700,371.700,5310.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-20,5470.0,5470.0,5470.0,"5.470,00","3,01",9.0,49.230,49.230,5470.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-24,5311.0,5311.0,5311.0,"5.311,00","-2,91",200.0,1.062.200,1.062.200,5311.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-25,5300.0,5301.0,5300.0,"5.300,25","-0,20",40.0,212.010,212.010,5300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-26,5300.0,5300.0,5300.0,"5.300,00","0,00",58.0,307.400,307.400,5300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-27,5300.0,5300.0,5300.0,"5.300,00","0,00",38.0,201.400,201.400,5300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-04,5300.0,5300.0,5300.0,"5.300,00","0,00",66.0,349.800,349.800,5300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-05,5300.0,5300.0,5300.0,"5.300,00","0,00",12.0,63.600,63.600,5300.0,51.699522909552854,HOLD,33.55481727574751,,HOLD,-66.44518272425249,HOLD,,HOLD,54.78905866987018,HOLD
2014-12-15,5152.0,5152.0,5152.0,"5.152,00","-2,79",50.0,257.600,257.600,5152.0,38.778609829936244,HOLD,0.0,,BUY,-100.0,BUY,,HOLD,51.793195430601095,HOLD
2014-12-17,5120.0,5120.0,5100.0,"5.116,67","-0,69",240.0,1.228.000,1.228.000,5120.0,36.646024193226005,HOLD,5.0,12.851605758582503,BUY,-95.0,BUY,,HOLD,26.32258966752447,HOLD
2014-12-29,5150.0,5150.0,5120.0,"5.122,50","0,11",60.0,307.350,307.350,5150.0,39.97857301073581,HOLD,12.5,5.833333333333333,BUY,-87.5,BUY,,HOLD,24.311273219056744,HOLD
2014-12-30,5298.0,5299.0,5298.0,"5.298,50","3,44",10.0,52.985,52.985,5298.0,53.08866129245297,HOLD,49.5,22.333333333333332,HOLD,-50.5,HOLD,,HOLD,11.003209899910686,BUY
2015-01-05,5400.0,5400.0,5299.0,"5.349,50","0,96",10.0,53.495,53.495,5400.0,59.63278145749517,HOLD,75.0,45.666666666666664,HOLD,-25.0,HOLD,,HOLD,11.716692309698288,BUY
2015-01-08,5301.0,5301.0,5301.0,"5.301,00","-0,91",55.0,291.555,291.555,5301.0,52.04412555247529,HOLD,54.32432432432432,59.608108108108105,HOLD,-45.67567567567568,HOLD,-0.12086365716172937,HOLD,11.070165838289896,BUY
2015-01-12,5350.0,5350.0,5350.0,"5.350,00","0,92",5.0,26.750,26.750,5350.0,55.0903705878362,HOLD,67.56756756756756,65.63063063063062,HOLD,-32.432432432432435,HOLD,43.62569400520049,HOLD,12.757269538325374,BUY
2015-01-15,5300.0,5300.0,5300.0,"5.300,00","-0,93",15.0,79.500,79.500,5300.0,51.495750325436674,HOLD,66.66666666666667,62.852852852852855,HOLD,-33.333333333333336,HOLD,-11.088980998008473,HOLD,11.3886694171877,BUY
2015-01-16,5350.0,5350.0,5300.0,"5.316,67","0,31",30.0,159.500,159.500,5350.0,54.68030689397746,HOLD,83.33333333333333,72.52252252252252,SELL,-16.666666666666668,SELL,22.60036520496416,HOLD,20.214428192419945,HOLD
2015-01-22,5350.0,5350.0,5350.0,"5.350,00","0,63",94.0,502.900,502.900,5350.0,54.68030689397746,HOLD,83.33333333333333,77.77777777777779,SELL,-16.666666666666668,SELL,40.559081534198135,HOLD,33.80394752880372,HOLD
2015-01-23,5400.0,5450.0,5400.0,"5.401,46","0,96",103.0,556.350,556.350,5400.0,57.88698165330615,HOLD,85.71428571428571,84.12698412698411,SELL,-14.285714285714286,SELL,121.00616919894078,SELL,47.2538950423977,HOLD
2015-01-28,5400.0,5400.0,5350.0,"5.388,97","-0,23",68.0,366.450,366.450,5400.0,57.88698165330615,HOLD,85.71428571428571,84.92063492063492,SELL,-14.285714285714286,SELL,95.62650272392406,HOLD,42.80083287532056,HOLD
2015-01-29,5450.0,5450.0,5410.0,"5.423,33","0,64",75.0,406.750,406.750,5450.0,61.080738922540895,HOLD,100.0,90.47619047619048,SELL,-0.0,SELL,135.56851311953363,SELL,48.23452621001013,HOLD
2015-02-02,5450.0,5450.0,5450.0,"5.450,00","0,49",92.0,501.400,501.400,5450.0,61.080738922540895,HOLD,100.0,95.23809523809523,SELL,-0.0,SELL,153.8151396028624,SELL,53.64898472330437,HOLD
2015-02-04,5450.0,5450.0,5450.0,"5.450,00","0,00",50.0,272.500,272.500,5450.0,61.080738922540895,HOLD,100.0,100.0,SELL,-0.0,SELL,129.80503206067118,SELL,56.69566009749229,HOLD
2015-02-09,5450.0,5450.0,5450.0,"5.450,00","0,00",435.0,2.370.750,2.370.750,5450.0,61.080738922540895,HOLD,100.0,100.0,SELL,-0.0,SELL,112.89088863891996,SELL,77.72295904310162,HOLD
2015-02-11,5450.0,5450.0,5450.0,"5.450,00","0,00",60.0,327.000,327.000,5450.0,61.080738922540895,HOLD,100.0,100.0,SELL,-0.0,SELL,100.32534501456597,SELL,75.43324940245772,HOLD
2015-02-17,5400.0,5400.0,5400.0,"5.400,00","-0,92",55.0,297.000,297.000,5400.0,55.03501837143174,HOLD,66.88741721854305,88.96247240618102,HOLD,-33.11258278145695,HOLD,52.75839671464772,HOLD,68.12694913086293,HOLD
2015-02-19,5449.0,5449.0,5449.0,"5.449,00","0,91",17.0,92.633,92.633,5449.0,59.2878534995867,HOLD,99.33333333333333,88.74025018395879,SELL,-0.6666666666666666,SELL,85.16707416462914,HOLD,68.50523236891364,HOLD
2015-02-20,5450.0,5450.0,5400.0,"5.435,46","-0,25",306.0,1.663.250,1.663.250,5450.0,59.37230646378033,HOLD,100.0,88.74025018395879,SELL,-0.0,SELL,66.5991219182703,HOLD,48.326174098003314,HOLD
2015-02-26,5400.0,5401.0,5400.0,"5.400,03","-0,65",450.0,2.430.015,2.430.015,5400.0,53.406863994335644,HOLD,66.66666666666667,88.66666666666667,HOLD,-33.333333333333336,HOLD,33.902214022139354,HOLD,31.490875800974123,HOLD
2015-03-03,5399.0,5399.0,5399.0,"5.399,00","-0,02",1.0,5.399,5.399,5399.0,53.29153681642552,HOLD,66.0,77.55555555555556,HOLD,-34.0,HOLD,24.12756402937909,HOLD,31.825006254938216,HOLD
2015-03-04,5400.0,5400.0,5399.0,"5.399,68","0,01",102.0,550.767,550.767,5400.0,53.3999060652543,HOLD,50.0,60.88888888888889,HOLD,-50.0,HOLD,13.224338783060702,HOLD,35.437478394253716,HOLD
2015-03-09,5250.0,5250.0,5250.0,"5.250,00","-2,77",62.0,325.500,325.500,5250.0,38.84226580591638,HOLD,0.0,38.666666666666664,BUY,-100.0,BUY,-194.92161832347685,BUY,29.32350275644947,HOLD
2015-03-11,5320.0,5320.0,5250.0,"5.268,85","0,36",52.0,273.980,273.980,5320.0,46.21163474779219,HOLD,35.0,28.333333333333332,HOLD,-65.0,HOLD,-114.22348729891672,BUY,26.436113754704124,HOLD
2015-03-12,5250.0,5350.0,5250.0,"5.300,00","0,59",20.0,106.000,106.000,5250.0,40.90369334473436,HOLD,0.0,11.666666666666666,BUY,-100.0,BUY,-127.70453008789855,BUY,27.470628728107982,HOLD
2015-03-16,5300.0,5300.0,5300.0,"5.300,00","0,00",22.0,116.600,116.600,5300.0,45.70126172587734,HOLD,25.0,20.0,HOLD,-75.0,HOLD,-97.5152928049106,HOLD,24.15199641434964,HOLD
2015-03-17,5300.0,5300.0,5300.0,"5.300,00","0,00",35.0,185.500,185.500,5300.0,45.701261725877345,HOLD,25.0,16.666666666666668,HOLD,-75.0,HOLD,-97.51529280491107,HOLD,17.664130977234066,BUY
2015-03-18,5390.0,5390.0,5350.0,"5.373,53","1,39",85.0,456.750,456.750,5390.0,53.56994250968055,HOLD,70.0,40.0,HOLD,-30.0,HOLD,-8.89112565005747,HOLD,23.619235510100765,HOLD
2015-03-19,5400.0,5400.0,5400.0,"5.400,00","0,49",33.0,178.200,178.200,5400.0,54.361326707497454,HOLD,75.0,56.666666666666664,HOLD,-25.0,HOLD,17.868345339304756,HOLD,25.714224000421936,HOLD
2015-03-20,5399.0,5400.0,5399.0,"5.399,26","-0,01",19.0,102.586,102.586,5399.0,54.261725080490216,HOLD,74.5,73.16666666666667,HOLD,-25.5,HOLD,18.344607167093002,HOLD,25.31450651448918,HOLD
2015-03-23,5400.0,5400.0,5400.0,"5.400,00","0,01",610.0,3.294.000,3.294.000,5400.0,54.35179603469453,HOLD,75.0,74.83333333333333,HOLD,-25.0,HOLD,18.020370854009105,HOLD,51.73364123117083,HOLD
