Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-12,719.0,719.0,700.0,"713,86","2,13",111.0,79.239,79.239,719.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-13,750.0,750.0,750.0,"750,00","5,06",95.0,71.250,71.250,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-13,750.0,750.0,750.0,"750,00","5,06",95.0,71.250,71.250,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-14,772.0,772.0,693.0,"698,81","-6,83",136.0,95.038,95.038,772.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-17,768.0,768.0,768.0,"768,00","9,90",10.0,7.680,7.680,768.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-20,710.0,730.0,710.0,"713,32","-7,12",182.0,129.824,129.824,710.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-21,767.0,767.0,767.0,"767,00","7,53",20.0,15.340,15.340,767.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-24,840.0,840.0,750.0,"761,25","-0,75",160.0,121.800,121.800,840.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-25,837.0,837.0,837.0,"837,00","9,95",60.0,50.220,50.220,837.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-27,837.0,837.0,836.0,"836,20","-0,10",264.0,220.757,220.757,837.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-04,753.0,753.0,753.0,"753,00","-9,95",25.0,18.825,18.825,753.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-05,750.0,750.0,750.0,"750,00","-0,40",30.0,22.500,22.500,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-11,790.0,790.0,750.0,"756,00","0,80",20.0,15.120,15.120,790.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-16,690.0,690.0,690.0,"690,00","-8,73",318.0,219.420,219.420,690.0,40.647128375046805,HOLD,0.0,,BUY,-100.0,BUY,,HOLD,28.873048243814054,HOLD,766.6428571428571,759.8576208103462,770.1142857142858,SELL,SELL,SELL
2014-12-29,749.0,749.0,749.0,"749,00","8,55",50.0,37.450,37.450,749.0,49.83043051492823,HOLD,39.333333333333336,,HOLD,-60.666666666666664,HOLD,,HOLD,31.43296748778762,HOLD,768.7857142857143,758.4099380356334,767.7619047619048,SELL,SELL,SELL
2015-01-20,676.0,676.0,676.0,"676,00","-9,75",40.0,27.040,27.040,676.0,41.31314954219292,HOLD,0.0,13.111111111111112,BUY,-100.0,BUY,,HOLD,25.676506199236727,HOLD,763.5,747.421946297549,755.3904761904762,SELL,SELL,SELL
2015-01-22,696.0,696.0,696.0,"696,00","2,96",70.0,48.720,48.720,696.0,44.13069803308777,HOLD,12.195121951219512,17.176151761517616,BUY,-87.8048780487805,BUY,,HOLD,29.14144331527895,HOLD,759.6428571428571,740.5656867912091,746.3904761904761,SELL,SELL,SELL
2015-01-23,676.0,676.0,676.0,"676,00","-2,87",23.0,15.548,15.548,676.0,41.961181387707015,HOLD,0.0,4.065040650406504,BUY,-100.0,BUY,,HOLD,31.75006402974178,HOLD,752.7857142857143,731.9569285523813,735.2380952380953,SELL,SELL,SELL
2015-01-30,676.0,676.0,676.0,"676,00","0,00",40.0,27.040,27.040,676.0,41.96118138770702,HOLD,0.0,4.065040650406504,BUY,-100.0,BUY,,HOLD,31.199192581333037,HOLD,746.2142857142857,724.4960047453972,725.0,SELL,SELL,SELL
2015-02-11,656.0,656.0,656.0,"656,00","-2,96",25.0,16.400,16.400,656.0,39.697798740157864,HOLD,0.0,0.0,BUY,-100.0,BUY,-133.48765432098762,BUY,35.4473698560238,HOLD,742.3571428571429,715.3632041126775,712.9714285714286,SELL,SELL,SELL
2015-02-17,637.0,637.0,637.0,"637,00","-2,90",60.0,38.220,38.220,637.0,37.62165934028789,HOLD,0.0,0.0,BUY,-100.0,BUY,-142.30861531077517,BUY,32.721713367600785,HOLD,733.0714285714286,704.9147768976538,698.9238095238095,SELL,SELL,SELL
