Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-12,768.0,772.0,693.0,447.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-19,837.0,840.0,710.0,422.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-26,837.0,837.0,836.0,264.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-03,750.0,753.0,750.0,55.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-10,690.0,790.0,690.0,338.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-24,749.0,749.0,749.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-14,676.0,676.0,676.0,40.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-21,676.0,696.0,676.0,93.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-28,676.0,676.0,676.0,40.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-11,637.0,656.0,637.0,85.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-18,620.0,620.0,620.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-25,602.0,602.0,602.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-04,620.0,620.0,620.0,202.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-11,630.0,630.0,601.0,252.0,33.52733085584761,HOLD,12.133891213389122,,BUY,-87.86610878661088,BUY,,HOLD,65.90973688365918,HOLD,697.7142857142857,676.781934217725,661.0952380952381,SELL,SELL,SELL
2015-03-18,655.0,655.0,636.0,200.0,39.7318049436513,HOLD,22.594142259414227,,HOLD,-77.40585774058577,HOLD,,HOLD,68.7545361471293,HOLD,689.6428571428571,673.8776763220284,655.4000000000001,SELL,SELL,SELL
2015-03-25,610.0,610.0,602.0,866.0,33.644404262982775,HOLD,3.8135593220338984,12.847197598279081,BUY,-96.1864406779661,BUY,,HOLD,42.01665003649849,HOLD,673.4285714285714,665.3606528124246,644.7809523809524,SELL,SELL,SELL
2015-04-01,590.0,601.0,590.0,746.0,31.345746203061907,HOLD,0.0,8.802567193816042,BUY,-100.0,BUY,,HOLD,26.04388242318508,HOLD,655.7857142857143,655.3125657707681,633.6571428571428,SELL,SELL,SELL
2015-04-08,600.0,600.0,600.0,200.0,33.78183632064868,HOLD,5.0,2.937853107344633,BUY,-95.0,BUY,,HOLD,30.908424853508507,HOLD,645.0714285714286,647.9375570013324,626.2190476190477,SELL,SELL,SELL
2015-04-15,600.0,600.0,600.0,14.0,33.78183632064868,HOLD,6.289308176100629,3.7631027253668763,BUY,-93.71069182389937,BUY,,HOLD,35.10420179327545,HOLD,638.6428571428571,641.545882734488,620.209523809524,SELL,SELL,SELL
2015-04-22,599.0,599.0,599.0,72.0,33.64338568312699,HOLD,8.49056603773585,6.59329140461216,BUY,-91.50943396226415,BUY,-77.04295048801164,HOLD,32.9210414257428,HOLD,627.9285714285714,635.8730983698896,614.9238095238095,SELL,SELL,SELL
