Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-13,8400.0,8400.0,8400.0,"8.400,00","0,00",54.0,453.600,453.600,8400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-13,8400.0,8400.0,8400.0,"8.400,00","0,00",54.0,453.600,453.600,8400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-17,8500.0,8500.0,8500.0,"8.500,00","1,19",50.0,425.000,425.000,8500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-18,8500.0,8500.0,8500.0,"8.500,00","0,00",5.0,42.500,42.500,8500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-25,8500.0,8500.0,8500.0,"8.500,00","0,00",50.0,425.000,425.000,8500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-01,8500.0,8500.0,8500.0,"8.500,00","0,00",17.0,144.500,144.500,8500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-02,8500.0,8500.0,8500.0,"8.500,00","0,00",25.0,212.500,212.500,8500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-09,8505.0,8505.0,8505.0,"8.505,00","0,06",3.0,25.515,25.515,8505.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-15,8600.0,8600.0,8600.0,"8.600,00","1,12",27.0,232.200,232.200,8600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-16,8600.0,8600.0,8600.0,"8.600,00","0,00",11.0,94.600,94.600,8600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-18,8600.0,8600.0,8600.0,"8.600,00","0,00",15.0,129.000,129.000,8600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-22,8600.0,8600.0,8600.0,"8.600,00","0,00",10.0,86.000,86.000,8600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-24,9000.0,9000.0,9000.0,"9.000,00","4,65",30.0,270.000,270.000,9000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-25,9000.0,9000.0,9000.0,"9.000,00","0,00",4.0,36.000,36.000,9000.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL
2014-12-29,9001.0,9001.0,9001.0,"9.001,00","0,01",9.0,81.009,81.009,9001.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL
2015-01-13,9000.0,9000.0,9000.0,"9.000,00","-0,01",5.0,45.000,45.000,9000.0,99.76171392143313,SELL,99.8003992015968,99.93346640053227,SELL,-0.1996007984031936,SELL,,HOLD,95.82840467070353,SELL
2015-01-15,9000.0,9000.0,9000.0,"9.000,00","0,00",15.0,135.000,135.000,9000.0,99.76171392143313,SELL,99.8003992015968,99.86693280106454,SELL,-0.1996007984031936,SELL,,HOLD,93.11636103309654,SELL
2015-02-03,8601.0,8601.0,8601.0,"8.601,00","-4,43",8.0,68.808,68.808,8601.0,47.44551985273035,HOLD,20.159680638722556,73.25349301397206,HOLD,-79.84031936127745,HOLD,,HOLD,84.24872531597217,SELL
2015-02-09,9001.0,9001.0,9001.0,"9.001,00","4,65",12.0,108.012,108.012,9001.0,66.4438699990731,HOLD,100.0,73.3200266134398,SELL,-0.0,SELL,,HOLD,86.29717390047969,SELL
2015-02-17,8860.0,8860.0,8611.0,"8.713,53","-3,19",17.0,148.130,148.130,8860.0,58.42604721200727,HOLD,71.8562874251497,64.00532268795742,HOLD,-28.143712574850298,HOLD,32.19299328969577,HOLD,73.15476451717933,HOLD
2015-02-19,8860.0,8860.0,8860.0,"8.860,00","1,68",20.0,177.200,177.200,8860.0,58.42604721200727,HOLD,71.5725806451613,81.14295602343701,HOLD,-28.427419354838708,HOLD,52.036945406564406,HOLD,77.26640580905188,HOLD
2015-02-26,8860.0,8860.0,8860.0,"8.860,00","0,00",3.0,26.580,26.580,8860.0,58.42604721200727,HOLD,64.83790523690773,69.42225776907291,HOLD,-35.16209476309227,HOLD,45.56020455602045,HOLD,76.75374169861716,HOLD
