Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-13,8500.0,8500.0,8400.0,163.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-20,8500.0,8500.0,8500.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-27,8500.0,8500.0,8500.0,42.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-04,8505.0,8505.0,8505.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-11,8600.0,8600.0,8600.0,38.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-18,9000.0,9000.0,8600.0,55.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-25,9001.0,9001.0,9000.0,13.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-08,9000.0,9000.0,9000.0,5.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-15,9000.0,9000.0,9000.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-29,8601.0,8601.0,8601.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-05,9001.0,9001.0,9001.0,12.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-12,8860.0,8860.0,8611.0,17.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-19,8860.0,8860.0,8860.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-26,8860.0,8860.0,8860.0,95.0,58.60888669299529,HOLD,76.53910149750416,,HOLD,-23.46089850249584,HOLD,,HOLD,86.37372471315004,SELL
2015-03-05,8860.0,8860.0,8860.0,24.0,58.60888669299529,HOLD,71.8562874251497,,HOLD,-28.143712574850298,HOLD,,HOLD,86.37372471315004,SELL
2015-03-19,8860.0,8860.0,8859.0,43.0,58.6088866929953,HOLD,71.8562874251497,73.41722544926786,HOLD,-28.143712574850298,HOLD,,HOLD,65.85792662614395,HOLD
2015-04-02,8860.0,8860.0,8630.0,259.0,58.6088866929953,HOLD,71.5725806451613,71.7617184984869,HOLD,-28.427419354838708,HOLD,,HOLD,29.85296644571646,HOLD
