Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2018-01-30,126.0,126.0,126.0,"126,00","2,44",1.172,147.672,147.672,126.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-05-11,126.0,126.0,126.0,"126,00","0,00",1.052,132.552,132.552,126.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-03-16,309.0,309.0,309.0,"309,00","145,24",1.391,429.819,429.819,309.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-12-13,309.0,309.0,309.0,"309,00","0,00",1.196,369.564,369.564,309.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-12-16,309.0,309.0,309.0,"309,00","0,00",1.725,533.025,533.025,309.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-12-17,309.0,309.0,309.0,"309,00","0,00",100.0,30.9,30.9,309.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-04-25,309.0,309.0,309.0,"309,00","0,00",2.477,765.393,765.393,309.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-06-06,309.0,309.0,309.0,"309,00","0,00",923.0,285.207,285.207,309.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-07-03,309.0,309.0,309.0,"309,00","0,00",1.0,309.0,309.0,309.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-08-10,309.0,309.0,309.0,"309,00","0,00",1.0,309.0,309.0,309.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2024-06-12,309.0,309.0,309.0,"309,00","0,00",297.0,91.773,91.773,309.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
