Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2016-10-31,18510.0,18510.0,18510.0,"18.510,00","54,25",50.0,925.500,925.500,18510.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-28,18510.0,18510.0,18510.0,"18.510,00","0,00",11.0,203.610,203.610,18510.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-12-22,18510.0,18510.0,18510.0,"18.510,00","0,00",13.0,240.630,240.630,18510.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-03-24,18510.0,18510.0,18510.0,"18.510,00","0,00",273.0,5.053.230,5.053.230,18510.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-03-28,18510.0,18510.0,18510.0,"18.510,00","0,00",280.0,5.182.800,5.182.800,18510.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-05-22,18510.0,18510.0,18510.0,"18.510,00","0,00",45.0,832.950,832.950,18510.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-04-25,18510.0,18510.0,18510.0,"18.510,00","0,00",37.0,684.870,684.870,18510.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-07-05,18510.0,18510.0,18510.0,"18.510,00","0,00",14.0,259.140,259.140,18510.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-08-29,18510.0,18510.0,18510.0,"18.510,00","0,00",14.0,259.140,259.140,18510.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-09-27,18510.0,18510.0,18510.0,"18.510,00","0,00",15.0,277.650,277.650,18510.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-10-03,18510.0,18510.0,18510.0,"18.510,00","0,00",15.0,277.650,277.650,18510.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2024-07-19,18510.0,18510.0,18510.0,"18.510,00","0,00",33.0,610.830,610.830,18510.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
