Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-24,1300.0,1300.0,1300.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-23,1300.0,1300.0,1300.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-23,1300.0,1300.0,1300.0,75.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-22,1147.0,1147.0,1147.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-20,1499.0,1499.0,1150.0,206.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-17,1499.0,1499.0,1499.0,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-05-17,1300.0,1300.0,1300.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-08-15,1200.0,1205.0,1200.0,187.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-14,1200.0,1200.0,1200.0,31.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-13,1330.0,1650.0,1201.0,954.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-12-13,1463.0,1463.0,1463.0,22.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-01-12,1507.0,1507.0,1507.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-04-12,1650.0,1650.0,1650.0,55.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-06-11,1650.0,1650.0,1650.0,50.0,68.4595208819249,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,86.95842037354747,SELL
2017-07-11,2140.0,2140.0,1750.0,320.0,80.90148830350829,SELL,100.0,,SELL,-0.0,SELL,,HOLD,89.29524403827502,SELL
2018-01-07,1700.0,1700.0,1699.0,192.0,58.5618237852154,HOLD,55.68982880161128,85.22994293387042,HOLD,-44.31017119838872,HOLD,,HOLD,81.85385778733635,SELL
2018-02-06,1650.0,1650.0,1650.0,100.0,56.64755329855373,HOLD,50.65458207452165,68.78147029204432,HOLD,-49.34541792547835,HOLD,,HOLD,78.5443791032412,HOLD
2018-03-08,1820.0,1820.0,1650.0,216.0,61.28168868965337,HOLD,67.67676767676768,58.007059517633536,HOLD,-32.323232323232325,HOLD,,HOLD,81.42246609396463,SELL
2018-06-06,1751.0,1799.0,1700.0,299.0,58.54617745635718,HOLD,58.61702127659574,58.98279034262836,HOLD,-41.38297872340426,HOLD,,HOLD,71.10660564665999,HOLD
2018-07-06,1900.0,1900.0,1751.0,1031.0,62.44470670881489,HOLD,74.46808510638297,66.92062468658213,HOLD,-25.53191489361702,HOLD,115.19106950579035,SELL,76.87517676198588,HOLD
2018-08-05,1900.0,1901.0,1899.0,308.0,62.44470670881489,HOLD,74.46808510638297,69.18439716312058,HOLD,-25.53191489361702,HOLD,114.69823612880509,SELL,79.80645483803845,HOLD
2018-09-04,1900.0,1900.0,1900.0,17.0,62.44470670881489,HOLD,74.46808510638297,74.46808510638297,HOLD,-25.53191489361702,HOLD,102.08709612683127,SELL,82.74800105916896,SELL
2018-10-04,1800.0,1805.0,1700.0,140.0,57.881756819483726,HOLD,63.791267305644304,70.90914583947009,HOLD,-36.208732694355696,HOLD,56.68614723614607,HOLD,79.98797203792142,HOLD
2019-03-03,1900.0,1900.0,1900.0,318.0,60.95436539513493,HOLD,64.54948301329394,67.60294514177374,HOLD,-35.450516986706056,HOLD,91.38813115544306,HOLD,77.38731048860015,HOLD
2019-04-02,1900.0,1900.0,1900.0,117.0,60.95436539513493,HOLD,62.08530805687204,63.475352791936764,HOLD,-37.91469194312796,HOLD,85.33531840021658,HOLD,77.25615963067413,HOLD
2019-06-01,2000.0,2000.0,2000.0,900.0,64.00020083265906,HOLD,71.42857142857143,66.02112083291247,HOLD,-28.571428571428573,HOLD,106.89517150115589,SELL,82.64861944212939,SELL
2019-09-29,2000.0,2000.0,2000.0,355.0,64.00020083265906,HOLD,71.42857142857143,68.31415030467164,HOLD,-28.571428571428573,HOLD,99.59178107875475,HOLD,82.42941211218813,SELL
2019-10-29,2000.0,2001.0,2000.0,300.0,64.00020083265906,HOLD,71.42857142857143,71.42857142857143,HOLD,-28.571428571428573,HOLD,95.17976935252877,HOLD,83.78409953902478,SELL
2019-11-28,2398.0,2398.0,2398.0,4.0,74.05919440644833,SELL,100.0,80.95238095238096,SELL,-0.0,SELL,220.8649019424437,SELL,82.34706662710079,SELL
2019-12-28,2398.0,2398.0,2398.0,20.0,74.05919440644833,SELL,100.0,90.47619047619048,SELL,-0.0,SELL,197.04487413352786,SELL,86.28535077910121,SELL
2020-01-27,2200.0,2200.0,2200.0,151.0,63.77732186070282,HOLD,73.52941176470588,91.1764705882353,HOLD,-26.470588235294116,HOLD,115.357362180547,SELL,84.22161651649932,SELL
2020-03-27,2400.0,2400.0,2400.0,7.0,68.53001007900531,HOLD,100.0,91.1764705882353,SELL,-0.0,SELL,162.37177001445335,SELL,83.3547176791002,SELL
2020-05-26,2200.0,2200.0,2200.0,261.998,60.045548834284986,HOLD,71.42857142857143,81.65266106442577,HOLD,-28.571428571428573,HOLD,81.60764612179877,HOLD,82.6915285096736,SELL
2020-07-25,2100.0,2202.0,2004.0,569.0,56.29278773099189,HOLD,57.142857142857146,76.19047619047619,HOLD,-42.857142857142854,HOLD,41.36029411764706,HOLD,60.5870659908475,HOLD
2020-10-23,2160.0,2160.0,2160.0,11.0,57.98933359320019,HOLD,65.71428571428571,64.76190476190477,HOLD,-34.285714285714285,HOLD,57.546337157987644,HOLD,56.494330490448654,HOLD
2021-01-21,2300.0,2300.0,2200.0,158.0,61.72281471862379,HOLD,85.71428571428571,69.52380952380953,SELL,-14.285714285714286,SELL,83.70912538735487,HOLD,59.197090232346774,HOLD
2021-02-20,2292.0,2300.0,2258.0,490.0,61.387094034732556,HOLD,78.4,76.60952380952382,HOLD,-21.6,HOLD,79.62518287873871,HOLD,68.28485497964331,HOLD
2021-03-22,2309.0,2309.0,2309.0,85.0,61.861812412259425,HOLD,81.8,81.97142857142858,SELL,-18.2,SELL,79.93596584845244,HOLD,66.20754700197841,HOLD
2021-04-21,2500.0,2500.0,2424.0,544.0,66.80042749131945,HOLD,100.0,86.73333333333335,SELL,-0.0,SELL,125.2904062739548,SELL,72.2136221772542,HOLD
2021-05-21,2500.0,2500.0,2500.0,181.0,66.80042749131944,HOLD,100.0,93.93333333333334,SELL,-0.0,SELL,121.33451060270937,SELL,66.20059332648334,HOLD
2021-06-20,2500.0,2500.0,2500.0,50.0,66.80042749131944,HOLD,100.0,100.0,SELL,-0.0,SELL,110.26561960999162,SELL,66.20059332648334,HOLD
2021-10-18,2507.0,2507.0,2507.0,120.0,66.99605490189893,HOLD,100.0,100.0,SELL,-0.0,SELL,102.86681847375483,SELL,64.49419419218687,HOLD
