Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2016-02-03,550.0,550.0,550.0,155.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-02-10,550.0,550.0,550.0,417.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-06-29,550.0,550.0,550.0,174.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-28,550.0,550.0,550.0,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-08-02,550.0,550.0,550.0,192.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-01-17,550.0,550.0,550.0,197.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-03-21,621.0,621.0,621.0,164.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-06-20,603.0,603.0,603.0,147.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-04-03,603.0,603.0,603.0,280.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-11-06,603.0,603.0,603.0,158.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-04-07,603.0,603.0,603.0,201.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-09-22,603.0,603.0,603.0,67.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2023-08-30,603.0,603.0,603.0,225.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2023-09-06,603.0,603.0,603.0,100.0,78.55319148936171,SELL,74.64788732394366,,HOLD,-25.35211267605634,HOLD,,HOLD,53.46562721474132,HOLD,581.5714285714286,587.01227847911,593.6,BUY,BUY,BUY
2023-12-20,603.0,603.0,603.0,180.0,78.55319148936171,SELL,74.64788732394366,,HOLD,-25.35211267605634,HOLD,,HOLD,53.46562721474132,HOLD,585.3571428571429,589.1439746818954,596.4571428571429,BUY,BUY,BUY
