Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-01-26,425.0,485.0,400.0,354.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-25,750.0,750.0,425.0,1654.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-27,517.0,517.0,500.0,1327.48,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-26,525.0,526.0,489.0,1705.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-26,530.0,532.0,522.0,645.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-25,515.0,515.0,515.0,330.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-23,400.0,400.0,400.0,378.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-22,400.0,400.0,400.0,110.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-22,380.0,383.0,380.0,465.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-21,380.0,391.0,380.0,230.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-20,360.0,360.0,350.0,293.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-03-21,351.0,360.0,351.0,235.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-04-20,361.0,361.0,361.0,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-05-20,397.0,397.0,380.0,268.0,45.999109610938596,HOLD,11.75,,BUY,-88.25,BUY,,HOLD,64.67838779822202,HOLD
2016-06-19,401.0,413.0,400.0,508.203,46.570695025959694,HOLD,12.75,,BUY,-87.25,BUY,,HOLD,66.46334613174707,HOLD
2016-07-19,408.0,408.0,397.0,87.0,47.61566635226773,HOLD,31.86813186813187,18.78937728937729,HOLD,-68.13186813186813,HOLD,,HOLD,54.000055097281894,HOLD
2016-08-18,408.0,420.0,408.0,70.0,47.61566635226773,HOLD,31.86813186813187,25.495421245421245,HOLD,-68.13186813186813,HOLD,,HOLD,69.86865570435671,HOLD
2016-10-17,951.0,951.0,420.0,670.0,81.0169176520239,SELL,100.0,54.57875457875458,SELL,-0.0,SELL,,HOLD,64.59256324733983,HOLD
2016-11-16,700.0,701.0,700.0,1198.0,61.49714201828195,HOLD,58.23627287853577,63.36813491555588,HOLD,-41.76372712146423,HOLD,,HOLD,38.46052054668597,HOLD
2016-12-16,750.0,750.0,700.0,676.0,63.38942722855876,HOLD,66.55574043261231,74.93067110371602,HOLD,-33.44425956738769,HOLD,156.87792990934062,SELL,51.408091212200084,HOLD
2017-01-15,824.0,824.0,750.0,788.0,66.04889050458965,HOLD,78.86855241264558,67.88685524126456,HOLD,-21.13144758735441,HOLD,162.9128621350468,SELL,62.90000071844429,HOLD
2017-02-14,840.0,900.0,840.0,635.0,66.61360629420403,HOLD,81.53078202995009,75.65169162506932,SELL,-18.469217970049918,SELL,172.973417149431,SELL,68.11391430557099,HOLD
2017-03-16,870.0,870.0,865.0,546.0,67.69849375444369,HOLD,86.522462562396,82.30726566833056,SELL,-13.477537437603994,SELL,144.54455302284381,SELL,74.61318900928282,HOLD
2017-04-15,846.0,846.0,845.0,425.0,65.8548474905418,HOLD,82.52911813643927,83.52745424292846,SELL,-17.47088186356073,SELL,113.40354565991453,SELL,68.08932270125423,HOLD
2017-05-15,905.0,905.0,845.0,1161.0,68.15109427034733,HOLD,92.33333333333333,87.12830467738952,SELL,-7.666666666666667,SELL,109.25187986852175,SELL,75.51055900125077,HOLD
2017-06-14,910.0,950.0,910.0,425.0,68.3453748339808,HOLD,93.05084745762711,89.3044329757999,SELL,-6.9491525423728815,SELL,105.76094083148772,SELL,78.30539058017432,HOLD
2017-07-14,1133.0,1133.0,900.0,1088.0,75.51829557138873,SELL,100.0,95.12806026365348,SELL,-0.0,SELL,127.84063436804946,SELL,81.87359585167563,SELL
2017-08-13,1140.0,1170.0,1080.0,1018.0,75.7044032481042,SELL,96.11901681759379,96.38995475840697,SELL,-3.8809831824062098,SELL,132.3566673577039,SELL,84.28738675349987,SELL
2017-09-12,1039.0,1050.0,1039.0,55.0,67.70674915213446,HOLD,83.05304010349289,93.05735230702889,SELL,-16.946959896507114,SELL,99.2981484046729,HOLD,83.24034685888655,SELL
2017-10-12,912.0,940.0,912.0,464.0,59.23305748259598,HOLD,66.14173228346456,81.77126306818374,HOLD,-33.85826771653543,HOLD,60.80240664140464,HOLD,79.20609701391066,HOLD
2017-11-11,939.0,939.0,912.0,240.0,60.368654488720566,HOLD,69.2,72.79825746231916,HOLD,-30.8,HOLD,58.77445072772783,HOLD,79.69365389563069,HOLD
2017-12-11,1144.0,1144.0,964.0,870.0,67.72079375406521,HOLD,94.46808510638297,76.60327246328251,SELL,-5.531914893617022,SELL,101.08077921224667,SELL,80.68289493143172,SELL
2018-02-09,1000.0,1100.0,1000.0,987.0,59.38671626448684,HOLD,63.829787234042556,75.83262411347518,HOLD,-36.170212765957444,HOLD,80.07765830346476,HOLD,79.0419631354836,HOLD
2018-03-11,970.0,1100.0,970.0,614.0,57.79105907357669,HOLD,52.38095238095238,70.22627490712597,HOLD,-47.61904761904762,HOLD,69.24032534045894,HOLD,72.43876316129416,HOLD
2018-05-10,899.0,955.0,860.0,347.0,54.0871033833469,HOLD,17.87878787878788,44.69650916459427,BUY,-82.12121212121212,BUY,18.41616238623909,HOLD,67.83231175931672,HOLD
2018-06-09,880.0,899.0,880.0,300.0,53.10619099835156,HOLD,10.76923076923077,27.00965700965701,BUY,-89.23076923076923,BUY,-2.2186385183013737,HOLD,63.60638753372801,HOLD
2018-07-09,999.0,999.0,847.0,350.0,58.21725696427581,HOLD,47.38461538461539,25.344211344211345,HOLD,-52.61538461538461,HOLD,22.94483010595541,HOLD,62.98160742892038,HOLD
2018-08-08,1000.0,1000.0,1000.0,2041.0,58.25842901395291,HOLD,47.69230769230769,35.282051282051285,HOLD,-52.30769230769231,HOLD,54.19010583808409,HOLD,72.8357611504458,HOLD
