Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-12-25,615.0,615.0,615.0,5.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-02-23,615.0,615.0,615.0,344.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-09-07,400.0,400.0,400.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-11-02,520.0,520.0,520.0,16.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-02-15,600.0,600.0,600.0,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-04-19,600.0,600.0,600.0,157.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-11-01,700.0,700.0,700.0,95.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-11-08,700.0,700.0,700.0,64.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-03-14,700.0,700.0,700.0,182.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-05-16,700.0,700.0,700.0,737.395,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-07-15,600.0,600.0,600.0,6.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-12-30,600.0,600.0,600.0,14.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-06-02,450.0,450.0,450.0,48.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-11-03,600.0,600.0,600.0,6.0,49.45988033949241,HOLD,66.66666666666667,,HOLD,-33.333333333333336,HOLD,,HOLD,94.89960849107432,SELL,600.0,601.8732347925858,605.4761904761905,HOLD,SELL,SELL
2023-01-05,450.0,450.0,450.0,30.0,39.266606776670336,HOLD,16.666666666666668,,BUY,-83.33333333333333,BUY,,HOLD,92.65324729976153,SELL,588.2142857142857,581.6234701535743,585.4761904761906,SELL,SELL,SELL
2023-05-25,350.0,350.0,350.0,174.0,34.205454460133595,HOLD,0.0,27.777777777777782,BUY,-100.0,BUY,,HOLD,83.7140775007129,SELL,569.2857142857143,550.7403407997645,553.7142857142857,SELL,SELL,SELL
