Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2022-04-21,61.0,61.0,61.0,16.256,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-04-28,61.0,61.0,61.0,21.691,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-05-12,61.0,61.0,61.0,15.318,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-05-26,61.0,61.0,61.0,711.888,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-06-02,61.0,61.0,61.0,562.873,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-06-09,61.0,61.0,61.0,5.853,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-06-30,61.0,61.0,61.0,3.216,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-07-07,61.0,61.0,61.0,278.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-07-14,61.0,61.0,61.0,1.086,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-07-21,61.0,61.0,61.0,760.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-07-28,61.0,61.0,61.0,638.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-08-11,61.0,61.0,61.0,591.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-08-18,61.0,61.0,61.0,2.491,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-08-25,61.0,61.0,61.0,497.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2022-09-01,61.0,61.0,61.0,864.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2022-09-22,61.0,61.0,61.0,1.042,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2022-09-29,61.0,61.0,61.0,757.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2022-10-06,61.0,61.0,61.0,1.079,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2022-10-13,61.0,61.0,61.0,861.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2022-11-10,61.0,61.0,61.0,524.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2022-12-22,61.0,61.0,61.0,965.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2023-01-12,61.0,61.0,61.0,763.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2023-02-23,61.0,61.0,61.0,852.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2023-07-27,61.0,61.0,61.0,285.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2023-09-07,61.0,61.0,61.0,159.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2023-11-23,61.0,61.0,61.0,306.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2023-12-28,61.0,61.0,61.0,490.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2024-04-04,61.0,61.0,61.0,2.589,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2024-09-12,61.0,61.0,61.0,242.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
