Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2017-01-16,1200.0,1200.0,1200.0,65.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-08-07,1200.0,1200.0,1200.0,55.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-09-12,1200.0,1200.0,1200.0,22.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-11-07,1200.0,1200.0,1200.0,19.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-01-02,1200.0,1200.0,1200.0,102.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-01-16,1200.0,1200.0,1200.0,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-01-23,1200.0,1200.0,1200.0,35.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-04-10,1200.0,1200.0,1200.0,14.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-06-12,1200.0,1200.0,1200.0,12.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-11-06,1200.0,1200.0,1200.0,19.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-12-04,1200.0,1200.0,1200.0,9.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2024-08-05,1200.0,1200.0,1200.0,41.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
