Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-19,495.0,495.0,495.0,91.269,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-26,495.0,495.0,495.0,126.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-11,495.0,495.0,495.0,184.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-18,495.0,495.0,495.0,342.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-25,495.0,495.0,495.0,90.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-04,495.0,495.0,495.0,296.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-11,495.0,495.0,495.0,118.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-25,495.0,495.0,495.0,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-15,495.0,495.0,495.0,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-22,495.0,495.0,495.0,26.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-29,495.0,495.0,495.0,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-13,495.0,495.0,495.0,172.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-20,495.0,495.0,495.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-27,495.0,495.0,495.0,98.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-01,495.0,495.0,495.0,170.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-29,495.0,495.0,495.0,12.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-12,495.0,495.0,495.0,142.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-09,495.0,495.0,495.0,140.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-23,495.0,495.0,495.0,402.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-30,495.0,495.0,495.0,71.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-11,495.0,495.0,495.0,148.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-18,495.0,495.0,495.0,144.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2016-04-13,495.0,495.0,495.0,524.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2016-04-20,495.0,495.0,495.0,146.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2017-05-10,495.0,495.0,495.0,30.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2018-06-27,400.0,400.0,400.0,390.0,0.0,BUY,0.0,,BUY,-100.0,BUY,-666.6666666666667,BUY,0.0,BUY
2019-08-28,400.0,400.0,400.0,1.0,0.0,BUY,0.0,,BUY,-100.0,BUY,-333.3333333333333,BUY,0.0,BUY
2020-05-13,400.0,400.0,400.0,162.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,-222.22222222222223,BUY,0.0,BUY
2020-06-17,399.0,399.0,399.0,140.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,-168.30708661417316,BUY,0.0,BUY
2020-12-02,480.0,480.0,480.0,100.0,53.094607214234976,HOLD,84.375,28.125,SELL,-15.625,SELL,10.60304837640824,HOLD,18.4714846455784,BUY
