Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-12,2100.0,2100.0,2100.0,"2.100,00","0,00",30.0,63.0,63.0,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-02,2040.0,2040.0,2040.0,"2.040,00","-2,86",208.0,424.32,424.32,2040.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-24,2100.0,2100.0,2100.0,"2.100,00","2,94",104.0,218.4,218.4,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-16,2100.0,2100.0,2100.0,"2.100,00","0,00",50.0,105.0,105.0,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-27,2100.0,2100.0,2100.0,"2.100,00","0,00",55.0,115.5,115.5,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-11,2100.0,2100.0,2100.0,"2.100,00","0,00",49.0,102.9,102.9,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-19,2100.0,2100.0,2100.0,"2.100,00","0,00",43.0,90.3,90.3,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-04-01,2100.0,2100.0,2100.0,"2.100,00","0,00",42.0,88.2,88.2,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-04-22,2100.0,2100.0,2100.0,"2.100,00","0,00",42.0,88.2,88.2,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-08-19,2100.0,2100.0,2100.0,"2.100,00","0,00",2.0,4.2,4.2,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-09-06,2100.0,2100.0,2100.0,"2.100,00","0,00",42.0,88.2,88.2,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-09-29,2100.0,2100.0,2100.0,"2.100,00","0,00",13.0,27.3,27.3,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-04-28,2100.0,2100.0,2100.0,"2.100,00","0,00",30.0,63.0,63.0,2100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-07-03,2100.0,2100.0,2100.0,"2.100,00","0,00",109.0,228.9,228.9,2100.0,51.85185185185185,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,33.98058252427184,HOLD
2018-02-12,2100.0,2100.0,2100.0,"2.100,00","0,00",48.0,100.8,100.8,2100.0,51.85185185185185,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,33.98058252427184,HOLD
2018-02-19,2400.0,2400.0,2400.0,"2.400,00","14,29",30.0,72.0,72.0,2400.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL
2018-04-12,2400.0,2400.0,2400.0,"2.400,00","0,00",35.0,84.0,84.0,2400.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL
2018-09-18,2400.0,2400.0,2400.0,"2.400,00","0,00",48.0,115.2,115.2,2400.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL
2019-06-26,2400.0,2400.0,2400.0,"2.400,00","0,00",5.0,12.0,12.0,2400.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL
2019-07-01,2400.0,2400.0,2400.0,"2.400,00","0,00",150.0,360.0,360.0,2400.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,133.33333333333334,SELL,100.0,SELL
2019-11-28,2400.0,2400.0,2400.0,"2.400,00","0,00",50.0,120.0,120.0,2400.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,111.11111111111113,SELL,100.0,SELL
2020-05-28,2400.0,2400.0,2400.0,"2.400,00","0,00",1.0,2.4,2.4,2400.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,95.23809523809524,HOLD,100.0,SELL
2020-10-20,2400.0,2400.0,2400.0,"2.400,00","0,00",48.0,115.2,115.2,2400.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,83.33333333333333,HOLD,100.0,SELL
2021-06-04,2400.0,2400.0,2400.0,"2.400,00","0,00",49.0,117.6,117.6,2400.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,74.07407407407408,HOLD,100.0,SELL
2021-12-06,2400.0,2400.0,2400.0,"2.400,00","0,00",2.0,4.8,4.8,2400.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,66.66666666666667,HOLD,100.0,SELL
2022-06-16,2472.0,2472.0,2472.0,"2.472,00","3,00",50.0,123.6,123.6,2472.0,95.70698670602071,SELL,100.0,100.0,SELL,-0.0,SELL,89.36338473705025,HOLD,100.0,SELL
2022-09-28,2400.0,2400.0,2400.0,"2.400,00","-2,91",50.0,120.0,120.0,2400.0,72.0403568259211,SELL,80.64516129032258,93.54838709677419,SELL,-19.35483870967742,SELL,52.83224400871463,HOLD,61.97718631178707,HOLD
2022-10-04,2600.0,2600.0,2600.0,"2.600,00","8,33",50.0,130.0,130.0,2600.0,83.92877290830168,SELL,100.0,93.54838709677419,SELL,-0.0,SELL,133.04113591745423,SELL,73.07001795332137,HOLD
2022-10-20,2523.0,2523.0,2523.0,"2.523,00","-2,96",49.0,123.627,123.627,2523.0,71.35016039984909,SELL,61.5,80.71505376344085,HOLD,-38.5,HOLD,93.4590738725668,HOLD,57.20037875926476,HOLD
2022-11-11,2700.0,2700.0,2700.0,"2.700,00","7,02",200.0,540.0,540.0,2700.0,79.10315929172894,SELL,100.0,87.16666666666667,SELL,-0.0,SELL,174.65511709977542,SELL,76.5116989819972,HOLD
2022-11-11,2700.0,2700.0,2700.0,"2.700,00","7,02",200.0,540.0,540.0,2700.0,79.10315929172896,SELL,100.0,87.16666666666667,SELL,-0.0,SELL,178.45844118492954,SELL,76.5116989819972,HOLD
2022-11-25,2619.0,2619.0,2619.0,"2.619,00","-3,00",142.0,371.898,371.898,2619.0,69.168819509014,HOLD,73.0,91.0,HOLD,-27.0,HOLD,121.03351789009962,SELL,56.318637452319706,HOLD
2022-11-29,2619.0,2619.0,2619.0,"2.619,00","0,00",42.0,109.998,109.998,2619.0,69.168819509014,HOLD,73.0,82.0,HOLD,-27.0,HOLD,103.58170163680691,SELL,56.318637452319706,HOLD
2022-11-30,2619.0,2619.0,2619.0,"2.619,00","0,00",20.0,52.38,52.38,2619.0,69.168819509014,HOLD,73.0,73.0,HOLD,-27.0,HOLD,90.83273338132958,HOLD,56.318637452319706,HOLD
2022-12-05,2619.0,2619.0,2619.0,"2.619,00","0,00",49.0,128.331,128.331,2619.0,69.168819509014,HOLD,73.0,73.0,HOLD,-27.0,HOLD,79.60530490513344,HOLD,56.318637452319706,HOLD
2022-12-07,2619.0,2619.0,2619.0,"2.619,00","0,00",89.0,233.091,233.091,2619.0,69.168819509014,HOLD,73.0,73.0,HOLD,-27.0,HOLD,70.8430007733952,HOLD,56.318637452319706,HOLD
2022-12-09,2619.0,2619.0,2619.0,"2.619,00","0,00",72.0,188.568,188.568,2619.0,69.168819509014,HOLD,73.0,73.0,HOLD,-27.0,HOLD,63.77213240954592,HOLD,56.318637452319706,HOLD
2022-12-22,2619.0,2619.0,2619.0,"2.619,00","0,00",21.0,54.999,54.999,2619.0,69.16881950901399,HOLD,73.0,73.0,HOLD,-27.0,HOLD,57.74867477393197,HOLD,56.318637452319706,HOLD
2023-04-26,2619.0,2619.0,2619.0,"2.619,00","0,00",2.0,5.238,5.238,2619.0,69.16881950901399,HOLD,73.0,73.0,HOLD,-27.0,HOLD,52.2819318381918,HOLD,56.318637452319706,HOLD
2023-10-13,2619.0,2619.0,2619.0,"2.619,00","0,00",53.0,138.807,138.807,2619.0,69.168819509014,HOLD,73.0,73.0,HOLD,-27.0,HOLD,47.54219622083239,HOLD,52.11878415433383,HOLD
2024-02-02,2619.0,2619.0,2619.0,"2.619,00","0,00",48.0,125.712,125.712,2619.0,69.168819509014,HOLD,54.23728813559322,66.74576271186442,HOLD,-45.76271186440678,HOLD,43.308870163993845,HOLD,57.48482443534029,HOLD
2024-04-22,2619.0,2619.0,2619.0,"2.619,00","0,00",100.0,261.9,261.9,2619.0,69.168819509014,HOLD,54.23728813559322,60.49152542372881,HOLD,-45.76271186440678,HOLD,39.3770676995079,HOLD,52.147461432606654,HOLD
2024-09-25,2619.0,2619.0,2619.0,"2.619,00","0,00",37.0,96.903,96.903,2619.0,69.168819509014,HOLD,0.0,36.15819209039548,BUY,-100.0,BUY,35.50240356430994,HOLD,59.21714928643335,HOLD
