Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-11,3700.0,3800.0,3700.0,677.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-11,3900.0,3900.0,3700.0,651.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-10,3686.0,3800.0,3686.0,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-09,3900.0,3900.0,3600.0,759.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-11,3800.0,3900.0,3700.0,462.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-10,3500.0,3600.0,3495.0,558.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-10,3500.0,3500.0,3400.0,504.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-09,3380.0,3500.0,3150.0,383.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-09,3450.0,3450.0,3300.0,415.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-08,3600.0,3600.0,3500.0,1115.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-07,3700.0,3800.0,3600.0,834.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-07,3701.0,3798.0,3700.0,622.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-06,3748.0,3748.0,3600.0,267.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-06,3850.0,3850.0,3600.0,546.275,59.47568531435169,HOLD,93.33333333333333,,SELL,-6.666666666666667,SELL,,HOLD,69.90924775554129,HOLD,3672.5,3679.9200482854967,3661.752380952381,BUY,BUY,BUY
2016-01-05,3750.0,3850.0,3750.0,671.0,53.47320496528958,HOLD,80.0,,HOLD,-20.0,HOLD,,HOLD,72.57837516928699,HOLD,3676.0714285714284,3689.2640418474307,3672.085714285714,BUY,BUY,BUY
2016-02-04,3700.0,3850.0,3600.0,860.0,50.71707207822753,HOLD,73.33333333333333,82.22222222222221,HOLD,-26.666666666666668,HOLD,,HOLD,62.332375055731525,HOLD,3661.785714285714,3690.69550293444,3675.2761904761905,BUY,BUY,BUY
2016-03-05,3690.0,3700.0,3601.0,130.0,50.16022227579781,HOLD,72.0,75.1111111111111,HOLD,-28.0,HOLD,,HOLD,65.42444135527714,HOLD,3662.0714285714284,3690.6027692098482,3679.038095238095,BUY,SELL,BUY
2016-04-04,3700.0,3800.0,3608.0,483.0,50.74264679715743,HOLD,73.33333333333333,72.88888888888887,HOLD,-26.666666666666668,HOLD,,HOLD,64.01273798925449,HOLD,3647.785714285714,3691.855733315202,3684.095238095238,BUY,BUY,BUY
2016-05-04,3450.0,3450.0,3386.0,105.0,38.598677267729734,HOLD,42.857142857142854,62.73015873015873,HOLD,-57.142857142857146,HOLD,,HOLD,63.16544749518119,HOLD,3622.785714285714,3659.6083022065086,3657.7238095238095,SELL,SELL,SELL
2016-06-03,3360.0,3400.0,3350.0,122.0,35.32140373191571,HOLD,30.0,48.73015873015873,HOLD,-70.0,HOLD,-131.4474581949364,BUY,67.00754898084023,HOLD,3612.785714285714,3619.660528578974,3622.6857142857143,SELL,SELL,SELL
2016-07-03,3355.0,3450.0,3350.0,215.0,35.14288251942361,HOLD,29.285714285714285,34.047619047619044,HOLD,-70.71428571428571,HOLD,-106.6322837495475,BUY,72.73817274789258,HOLD,3602.4285714285716,3584.3724581017777,3588.3142857142857,SELL,SELL,SELL
2016-08-02,3453.0,3492.0,3350.0,647.0,41.39500218500532,HOLD,27.818181818181817,29.034632034632036,HOLD,-72.18181818181819,HOLD,-76.0068831329501,HOLD,78.75040698230916,HOLD,3607.6428571428573,3566.856130354874,3568.390476190476,SELL,SELL,SELL
2016-09-01,3491.0,3492.0,3401.0,571.0,43.662813900263956,HOLD,28.2,28.434632034632035,HOLD,-71.8,HOLD,-56.449267255844816,HOLD,79.2103104657826,HOLD,3610.5714285714284,3556.741979640891,3552.8380952380953,SELL,SELL,SELL
2016-10-01,3390.0,3410.0,3385.0,405.0,39.30884715193858,HOLD,8.0,21.33939393939394,BUY,-92.0,BUY,-78.66870684601949,HOLD,71.06558969075977,HOLD,3595.5714285714284,3534.5097156887723,3523.4285714285716,SELL,SELL,SELL
2016-10-31,3790.0,3914.0,3300.0,1935.0,57.41871997596784,HOLD,79.80456026058631,38.66818675352877,HOLD,-20.19543973941368,HOLD,51.38390364521046,HOLD,75.28127399435073,HOLD,3602.0,3568.575086930269,3549.3523809523813,BUY,BUY,BUY
