Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2016-05-12,201.0,201.0,201.0,"201,00","0,00",24.0,4.824,4.824,201.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-06-06,600.0,600.0,600.0,"600,00","198,51",46.0,27.6,27.6,600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-06-12,600.0,600.0,600.0,"600,00","0,00",85.0,51.0,51.0,600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-05-31,600.0,600.0,600.0,"600,00","0,00",144.0,86.4,86.4,600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-07-09,608.0,608.0,608.0,"608,00","1,33",144.0,87.552,87.552,608.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-07-13,608.0,608.0,608.0,"608,00","0,00",43.0,26.144,26.144,608.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-08-21,590.0,590.0,590.0,"590,00","-2,96",40.0,23.6,23.6,590.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-08-22,590.0,590.0,590.0,"590,00","0,00",69.0,40.71,40.71,590.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-08-23,590.0,590.0,590.0,"590,00","0,00",38.0,22.42,22.42,590.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-08-24,590.0,590.0,590.0,"590,00","0,00",85.0,50.15,50.15,590.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-08-27,590.0,590.0,590.0,"590,00","0,00",74.0,43.66,43.66,590.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-08-29,590.0,590.0,590.0,"590,00","0,00",61.0,35.99,35.99,590.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-08-31,590.0,590.0,590.0,"590,00","0,00",108.0,63.72,63.72,590.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
