Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-09-11,1250.0,1250.0,1250.0,"1.250,00","0,00",121.0,151.250,151.250,1250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-07-06,1250.0,1250.0,1250.0,"1.250,00","0,00",257.0,321.250,321.250,1250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-10-21,1250.0,1250.0,1250.0,"1.250,00","0,00",104.0,130.000,130.000,1250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-04,1250.0,1250.0,1250.0,"1.250,00","0,00",129.0,161.250,161.250,1250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-11,1250.0,1250.0,1250.0,"1.250,00","0,00",4.942,6.177.500,6.177.500,1250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-15,1250.0,1250.0,1250.0,"1.250,00","0,00",372.0,465.000,465.000,1250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-07-24,1250.0,1250.0,1250.0,"1.250,00","0,00",362.0,452.500,452.500,1250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-12-06,1250.0,1250.0,1250.0,"1.250,00","0,00",328.0,410.000,410.000,1250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-20,1250.0,1250.0,1250.0,"1.250,00","0,00",236.0,295.000,295.000,1250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-30,1250.0,1250.0,1250.0,"1.250,00","0,00",147.0,183.750,183.750,1250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-10-18,1250.0,1250.0,1250.0,"1.250,00","0,00",127.0,158.750,158.750,1250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-11-06,1250.0,1250.0,1250.0,"1.250,00","0,00",140.0,175.000,175.000,1250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-11-19,1250.0,1250.0,1250.0,"1.250,00","0,00",59.0,73.750,73.750,1250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-04-01,1250.0,1250.0,1250.0,"1.250,00","0,00",58.0,72.500,72.500,1250.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,1250.0,1250.0,1250.0,HOLD,HOLD,HOLD
2019-04-24,1250.0,1250.0,1250.0,"1.250,00","0,00",339.0,423.750,423.750,1250.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,1250.0,1250.0,1250.0,HOLD,HOLD,HOLD
2019-07-19,1250.0,1250.0,1250.0,"1.250,00","0,00",118.0,147.500,147.500,1250.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,1250.0,1250.0,1250.0,HOLD,HOLD,HOLD
2019-10-01,1250.0,1250.0,1250.0,"1.250,00","0,00",134.0,167.500,167.500,1250.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,1250.0,1250.0,1250.0,HOLD,HOLD,HOLD
2020-07-02,1550.0,1550.0,1550.0,"1.550,00","24,00",324.0,502.200,502.200,1550.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL,1271.4285714285713,1290.0,1290.0,BUY,BUY,BUY
2020-07-03,1860.0,1860.0,1860.0,"1.860,00","20,00",247.0,459.420,459.420,1860.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL,1315.0,1366.0,1368.4761904761904,BUY,BUY,BUY
2022-01-31,1900.0,1900.0,1900.0,"1.900,00","2,15",116.0,220.400,220.400,1900.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,287.58169934640523,SELL,100.0,SELL,1361.4285714285713,1437.2,1446.4761904761904,BUY,BUY,BUY
2024-07-10,1900.0,1900.0,1900.0,"1.900,00","0,00",20.0,38.000,38.000,1900.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,203.43137254901958,SELL,100.0,SELL,1407.857142857143,1498.9066666666668,1518.2857142857142,BUY,BUY,BUY
